 INPUT STRING:	وجة
          POS:	DET+NOUN
          VOC:	Al+bayAn
        GLOSS:	the+statement

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P1W20
      OFFSETS:	97-101
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W21
      OFFSETS:	102-105
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	عنوانة
     IS_TRANS:	EnwAnp
        INDEX:	P1W22
      OFFSETS:	106-112
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(EinowAnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	EinowAn+uh
        GLOSS:	address+his/its

 INPUT STRING:	نفذ
     IS_TRANS:	nf*
        INDEX:	P1W23
      OFFSETS:	115-118
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafa*_1]
   UNSPLITVOC:	(nafa*)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nafa*+(null)
        GLOSS:	penetrate/pass through/be operative+he/it [verb]

 INPUT STRING:	صبرنا
     IS_TRANS:	SbrnA
        INDEX:	P1W24
      OFFSETS:	119-124
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabor_1]
   UNSPLITVOC:	(SaborinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Sabor+nA
        GLOSS:	patience/endurance+our

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P1W25
      OFFSETS:	127-132
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	شديدة
     IS_TRANS:	$dydp
        INDEX:	P1W26
      OFFSETS:	133-138
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$idiyd_1]
   UNSPLITVOC:	($idiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$idiyd+ap
        GLOSS:	intense/strong/severe+[fem.sg.]

 INPUT STRING:	اللهجة
     IS_TRANS:	Allhjp
        INDEX:	P1W27
      OFFSETS:	139-145
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahojap_1]
   UNSPLITVOC:	(All~ahojap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lahoj+ap
        GLOSS:	the+tone/dialect/dialects/tones+[fem.sg.]

 INPUT STRING:	للمجلس
     IS_TRANS:	llmjls
        INDEX:	P1W28
      OFFSETS:	146-152
       TOKENS:	P1W32-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(lilmajolis)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+majolis
        GLOSS:	for/to+the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P1W29
      OFFSETS:	153-160
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	مطالبا
     IS_TRANS:	mTAlbA
        INDEX:	P1W30
      OFFSETS:	161-167
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTAlib_1]
   UNSPLITVOC:	(muTAlibAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muTAlib+AF
        GLOSS:	requesting+[acc.indef.]

 INPUT STRING:	اياه
     IS_TRANS:	AyAh
        INDEX:	P1W31
      OFFSETS:	168-172
       TOKENS:	P1W36-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy~A_1]
   UNSPLITVOC:	(<iy~Ah)
          POS:	PART+PRON_3MS
          VOC:	<iy~A+h
        GLOSS:	to/for/(accus.)+it/him

 INPUT STRING:	بتسليم
     IS_TRANS:	btslym
        INDEX:	P1W32
      OFFSETS:	173-179
       TOKENS:	P1W38-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoliym_1]
   UNSPLITVOC:	(bitasoliym)
          POS:	PREP+NOUN
          VOC:	bi+tasoliym
        GLOSS:	with/by+handing over/delivery/surrender

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P1W33
      OFFSETS:	180-186
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W34
      OFFSETS:	187-189
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اسرع
     IS_TRANS:	AsrE
        INDEX:	P1W35
      OFFSETS:	190-194
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asoraE_1]
   UNSPLITVOC:	(>asoraE)
          POS:	ADJ_COMP
          VOC:	>asoraE
        GLOSS:	faster/fastest

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P1W36
      OFFSETS:	195-198
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W37
      OFFSETS:	199-202
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P1W38
      OFFSETS:	203-207
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	مدنى
     IS_TRANS:	mdnY
        INDEX:	P1W39
      OFFSETS:	208-212
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[madaniy~_1]
   UNSPLITVOC:	(madaniy~)
          POS:	ADJ
          VOC:	madaniy~
        GLOSS:	civilian

 INPUT STRING:	منتخب
     IS_TRANS:	mntxb
        INDEX:	P1W40
      OFFSETS:	213-218
       TOKENS:	P1W47-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaxab_1]
   UNSPLITVOC:	(munotaxab)
          POS:	ADJ
          VOC:	munotaxab
        GLOSS:	elected/elect/voted

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W41
      OFFSETS:	219-220
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وضرورة
     IS_TRANS:	wDrwrp
        INDEX:	P1W42
      OFFSETS:	221-227
       TOKENS:	P1W49-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwrap_1]
   UNSPLITVOC:	(wiDaruwrap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Daruwr+ap
        GLOSS:	and+necessity/need/imperative+[fem.sg.]

 INPUT STRING:	محاكمة
     IS_TRANS:	mHAkmp
        INDEX:	P1W43
      OFFSETS:	228-234
       TOKENS:	P1W51-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkomap_1]
   UNSPLITVOC:	(muHAkomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAkom+ap
        GLOSS:	judicial proceeding/legal prosecution+[fem.sg.]

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W44
      OFFSETS:	235-240
       TOKENS:	P1W52-P1W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P1W45
      OFFSETS:	241-245
       TOKENS:	P1W53-P1W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	عاجل
     IS_TRANS:	EAjl
        INDEX:	P1W46
      OFFSETS:	246-250
       TOKENS:	P1W55-P1W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjil_1]
   UNSPLITVOC:	(EAjil)
          POS:	ADJ
          VOC:	EAjil
        GLOSS:	urgent/speedy/at once/immediately

 INPUT STRING:	وجدى
     IS_TRANS:	wjdY
        INDEX:	P1W47
      OFFSETS:	251-255
       TOKENS:	P1W56-P1W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~iy_1]
   UNSPLITVOC:	(wijid~iy)
          POS:	CONJ+ADJ
          VOC:	wi+jid~iy
        GLOSS:	and+serious/earnest

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W48
      OFFSETS:	256-257
       TOKENS:	P1W58-P1W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وإلا
     IS_TRANS:	w<lA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa<il~A)
          POS:	CONJ+RESTRIC_PART
          VOC:	wa+<il~A
        GLOSS:	and+except for

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P2W2
      OFFSETS:	5-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	يدخل
     IS_TRANS:	ydxl
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yadoxul)
          POS:	IV3MS+IV
          VOC:	ya+doxul
        GLOSS:	he/it+enter/be entered

 INPUT STRING:	طلاب
     IS_TRANS:	TlAb
        INDEX:	P2W4
      OFFSETS:	14-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(Tul~Ab)
          POS:	NOUN
          VOC:	Tul~Ab
        GLOSS:	student/students

 INPUT STRING:	الجامعات
     IS_TRANS:	AljAmEAt
        INDEX:	P2W5
      OFFSETS:	19-27
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmiEap_1]
   UNSPLITVOC:	(AljAmiEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jAmiE+At
        GLOSS:	the+universities+[fem.pl.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W6
      OFFSETS:	28-35
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	الموقعة
     IS_TRANS:	AlmwqEp
        INDEX:	P2W7
      OFFSETS:	36-43
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaq~iE_1]
   UNSPLITVOC:	(Almuwaq~iEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muwaq~iE+ap
        GLOSS:	the+signing/signatory+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W8
      OFFSETS:	44-47
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	البيان
     IS_TRANS:	AlbyAn
        INDEX:	P2W9
      OFFSETS:	48-54
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(AlbayAn)
          POS:	DET+NOUN
          VOC:	Al+bayAn
        GLOSS:	the+statement

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W10
      OFFSETS:	55-57
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عصيان
     IS_TRANS:	ESyAn
        INDEX:	P2W11
      OFFSETS:	58-63
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSoyAn_1]
   UNSPLITVOC:	(EiSoyAn)
          POS:	NOUN
          VOC:	EiSoyAn
        GLOSS:	mutiny/insubordination

 INPUT STRING:	مدنى
     IS_TRANS:	mdnY
        INDEX:	P2W12
      OFFSETS:	64-68
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[madaniy~_1]
   UNSPLITVOC:	(madaniy~)
          POS:	ADJ
          VOC:	madaniy~
        GLOSS:	civilian

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P2W13
      OFFSETS:	69-73
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(kabiyr)
          POS:	ADJ
          VOC:	kabiyr
        GLOSS:	large/great/important/major/senior/senior/important

 INPUT STRING:	وسوف
     IS_TRANS:	wswf
        INDEX:	P2W14
      OFFSETS:	74-78
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(wasawofa)
          POS:	CONJ+FUT_PART
          VOC:	wa+sawofa
        GLOSS:	and+will/shall

 INPUT STRING:	يتخلفوا
     IS_TRANS:	ytxlfwA
        INDEX:	P2W15
      OFFSETS:	79-86
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxal~if_1]
   UNSPLITVOC:	(yitoxal~ifuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+toxal~if+uwA
        GLOSS:	they+stay back+we

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W16
      OFFSETS:	87-89
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حضور
     IS_TRANS:	HDwr
        INDEX:	P2W17
      OFFSETS:	90-94
