 INPUT STRING:	ده
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W16
      OFFSETS:	78-79
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W17
      OFFSETS:	79-80
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	الرد
     IS_TRANS:	Alrd
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Alr~ad~)
          POS:	DET+NOUN
          VOC:	Al+rad~
        GLOSS:	the+reply/response

 INPUT STRING:	التقليدي
     IS_TRANS:	Altqlydy
        INDEX:	P3W3
      OFFSETS:	10-18
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoliydiy_1]
   UNSPLITVOC:	(Alt~aqoliydiy)
          POS:	DET+ADJ
          VOC:	Al+taqoliydiy
        GLOSS:	the+traditional/conventional

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P3W4
      OFFSETS:	19-22
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W5
      OFFSETS:	23-25
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P3W6
      OFFSETS:	26-32
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_2]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+insurgents/revolutionaries

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W7
      OFFSETS:	32-33
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W8
      OFFSETS:	33-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W9
      OFFSETS:	34-35
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W2
      OFFSETS:	4-5
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W3
      OFFSETS:	5-6
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W4
      OFFSETS:	6-7
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	خلينا
     IS_TRANS:	xlynA
        INDEX:	P4W5
      OFFSETS:	8-13
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iynA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	xal~iy+(null)+nA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+us

 INPUT STRING:	عمالين
     IS_TRANS:	EmAlyn
        INDEX:	P4W6
      OFFSETS:	14-20
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Aliyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	Eam~Al+iyn
        GLOSS:	continuing/continuous/incessant+[pl.]

 INPUT STRING:	نلف
     IS_TRANS:	nlf
        INDEX:	P4W7
      OFFSETS:	21-24
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(nilif~)
          POS:	IV1P+IV
          VOC:	ni+lif~
        GLOSS:	we+wrap/turn

 INPUT STRING:	حوالين
     IS_TRANS:	HwAlyn
        INDEX:	P4W8
      OFFSETS:	25-31
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(HwAlyn)
          POS:	NO_FUNC
          VOC:	HwAlyn
        GLOSS:	nogloss

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P4W9
      OFFSETS:	32-35
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	والحقيقة
     IS_TRANS:	wAlHqyqp
        INDEX:	P4W10
      OFFSETS:	36-44
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(wiAlHaqiyqap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Haqiyq+ap
        GLOSS:	and+the+truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	هتبان
     IS_TRANS:	htbAn
        INDEX:	P4W11
      OFFSETS:	45-50
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAn_1]
   UNSPLITVOC:	(HatibAn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+bAn
        GLOSS:	will+it/they/she+appear/be evident

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W12
      OFFSETS:	51-53
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الآخر
     IS_TRANS:	Al|xr
        INDEX:	P4W13
      OFFSETS:	54-59
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	رأي
     IS_TRANS:	r>y
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P5W3
      OFFSETS:	8-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	طاهر
     IS_TRANS:	TAhr
        INDEX:	P5W4
      OFFSETS:	12-16
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAhir_1]
   UNSPLITVOC:	(TAhir)
          POS:	NOUN_PROP
          VOC:	TAhir
        GLOSS:	Tahir

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W5
      OFFSETS:	17-20
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	أفضل
     IS_TRANS:	>fDl
        INDEX:	P5W6
      OFFSETS:	21-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P5W7
      OFFSETS:	26-29
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he/it

 INPUT STRING:	بيكتب
     IS_TRANS:	byktb
        INDEX:	P5W8
      OFFSETS:	30-35
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(biyikotib)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kotib
        GLOSS:	[present-tense]+he/it+write/be written/be fated/be destined

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W9
      OFFSETS:	36-38
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجلة
     IS_TRANS:	mjlp
        INDEX:	P5W10
      OFFSETS:	39-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majal~ap_1]
   UNSPLITVOC:	(majal~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majal~+ap
        GLOSS:	magazine/journal+[fem.sg.]

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P5W11
      OFFSETS:	44-48
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P5W12
      OFFSETS:	49-54
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_2]
   UNSPLITVOC:	(Aldiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+diyn
        GLOSS:	the+Din

 INPUT STRING:	تحيزه
     IS_TRANS:	tHyzh
        INDEX:	P5W13
      OFFSETS:	55-60
       TOKENS:	P5W15-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHay~uz_1]
   UNSPLITVOC:	(taHay~uzuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	taHay~uz+uh
        GLOSS:	bias/prejudice+his/its

 INPUT STRING:	للأطفال
     IS_TRANS:	ll>TfAl
        INDEX:	P5W14
      OFFSETS:	61-68
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(lilATofAl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ATofAl
        GLOSS:	for/to+the+child/boy/child/girl/children/infants

 INPUT STRING:	مبالغ
     IS_TRANS:	mbAlg
        INDEX:	P5W15
      OFFSETS:	69-74
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubAlag_1]
   UNSPLITVOC:	(mubAlag)
          POS:	ADJ
          VOC:	mubAlag
        GLOSS:	exaggerated

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W16
      OFFSETS:	75-78
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قادر
     IS_TRANS:	qAdr
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdir)
          POS:	ADJ.VN
          VOC:	qAdir
        GLOSS:	capable/able

 INPUT STRING:	يفهم
     IS_TRANS:	yfhm
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(yifoham)
          POS:	IV3MS+IV
          VOC:	yi+foham
        GLOSS:	he/it+understand

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P6W4
      OFFSETS:	13-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P6W5
      OFFSETS:	16-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P6W6
      OFFSETS:	19-23
       TOKENS:	P6W6-P6W6
