 INPUT STRING:	عندما
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P4W3
      OFFSETS:	10-14
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P4W4
      OFFSETS:	15-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aHomad_2]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	عز
     IS_TRANS:	Ez
        INDEX:	P5W2
      OFFSETS:	5-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~_1]
   UNSPLITVOC:	(Eiz~)
          POS:	NOUN_PROP
          VOC:	Eiz~
        GLOSS:	Izz/Ezz

 INPUT STRING:	سرقنا
     IS_TRANS:	srqnA
        INDEX:	P5W3
      OFFSETS:	8-13
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(saraqnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	saraq+(null)+nA
        GLOSS:	accuse of theft+he/it+us

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W4
      OFFSETS:	14-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	رجالة
     IS_TRANS:	rjAlp
        INDEX:	P5W5
      OFFSETS:	17-22
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rij~Alap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rij~Al+ap
        GLOSS:	man+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W6
      OFFSETS:	23-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	وصفوت
     IS_TRANS:	wSfwt
        INDEX:	P5W7
      OFFSETS:	26-31
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Safowat_1]
   UNSPLITVOC:	(waSafowat)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+Safowat
        GLOSS:	and+Safwat

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P5W8
      OFFSETS:	32-36
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W9
      OFFSETS:	37-39
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شريف
     IS_TRANS:	$ryf
        INDEX:	P5W10
      OFFSETS:	40-44
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_1]
   UNSPLITVOC:	($ariyf)
          POS:	ADJ
          VOC:	$ariyf
        GLOSS:	noble/honorable/respectable

 INPUT STRING:	وزكريا
     IS_TRANS:	wzkryA
        INDEX:	P5W11
      OFFSETS:	45-51
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zakariy~A_1]
   UNSPLITVOC:	(wizakariy~A)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+zakariy~A
        GLOSS:	and+Zakariya/Zecharia

 INPUT STRING:	عزمى
     IS_TRANS:	EzmY
        INDEX:	P5W12
      OFFSETS:	52-56
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eazomiy_1]
   UNSPLITVOC:	(Eazomiy)
          POS:	NOUN_PROP
          VOC:	Eazomiy
        GLOSS:	Azmi

 INPUT STRING:	وفتحى
     IS_TRANS:	wftHY
        INDEX:	P5W13
      OFFSETS:	57-62
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatoHiy_1]
   UNSPLITVOC:	(wifatoHiy)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+fatoHiy
        GLOSS:	and+fathy

 INPUT STRING:	سرور
     IS_TRANS:	srwr
        INDEX:	P5W14
      OFFSETS:	63-67
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suruwr_1]
   UNSPLITVOC:	(suruwr)
          POS:	NOUN_PROP
          VOC:	suruwr
        GLOSS:	Surour

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(wimano)
          POS:	CONJ+REL_PRON
          VOC:	wi+mano
        GLOSS:	and+who/whom

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	who

 INPUT STRING:	انتقى
     IS_TRANS:	AntqY
        INDEX:	P6W3
      OFFSETS:	9-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinotaqaY_1]
   UNSPLITVOC:	(AinotaqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinotaqaY+(null)
        GLOSS:	choosed+he/it

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P6W4
      OFFSETS:	15-17
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	حاشيته
     IS_TRANS:	HA$yth
        INDEX:	P6W5
      OFFSETS:	18-24
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HA$iyap_1]
   UNSPLITVOC:	(HA$iyapuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	HA$iy+ap+uh
        GLOSS:	followers/supporters+[fem.sg.]+his

 INPUT STRING:	اليس
     IS_TRANS:	Alys
        INDEX:	P6W6
      OFFSETS:	25-29
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(>alayosa)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+layosa
        GLOSS:	is/are+not

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W7
      OFFSETS:	30-32
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P6W8
      OFFSETS:	33-36
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W9
      OFFSETS:	37-39
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	نظلم
     IS_TRANS:	nZlm
        INDEX:	P6W10
      OFFSETS:	40-44
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zalam_1]
   UNSPLITVOC:	(niZolim)
          POS:	IV1P+IV
          VOC:	ni+Zolim
        GLOSS:	we+oppress/be oppressive

 INPUT STRING:	أحدا
     IS_TRANS:	>HdA
        INDEX:	P6W11
      OFFSETS:	45-49
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aHad+AF
        GLOSS:	one (of)/someone/anyone+[acc.indef.]

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P6W12
      OFFSETS:	50-55
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W13
      OFFSETS:	56-58
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	المسئول
     IS_TRANS:	Alms}wl
        INDEX:	P6W14
      OFFSETS:	59-66
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(Almaso}uwl)
          POS:	DET+NOUN
          VOC:	Al+maso}uwl
        GLOSS:	the+responsible

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P6W15
      OFFSETS:	67-72
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>aw~al_1]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ_NUM
          VOC:	Al+>aw~al
        GLOSS:	the+first

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W16
      OFFSETS:	73-75
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	خراب
     IS_TRANS:	xrAb
        INDEX:	P6W17
      OFFSETS:	76-80
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarAb_1]
   UNSPLITVOC:	(xarAb)
          POS:	NOUN
          VOC:	xarAb
        GLOSS:	ruins/destroyed

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W18
      OFFSETS:	81-84
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	egypt

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P7W3
      OFFSETS:	9-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	منطقى
     IS_TRANS:	mnTqY
        INDEX:	P7W4
      OFFSETS:	13-18
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manoTiqiy~_1]
   UNSPLITVOC:	(manoTiqiy~)
          POS:	ADJ
          VOC:	manoTiqiy~
        GLOSS:	logical

 INPUT STRING:	بأن
     IS_TRANS:	b>n
        INDEX:	P7W5
      OFFSETS:	19-22
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(bi>an~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+>an~
        GLOSS:	with/by+that

 INPUT STRING:	حاشية
     IS_TRANS:	HA$yp
        INDEX:	P7W6
      OFFSETS:	23-28
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HA$iyap_1]
   UNSPLITVOC:	(HA$iyap)
          POS:	NOUN
          VOC:	HA$iyap
        GLOSS:	followers

 INPUT STRING:	المجرم
     IS_TRANS:	Almjrm
        INDEX:	P7W7
      OFFSETS:	29-35
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujorim_1]
   UNSPLITVOC:	(Almujorim)
          POS:	DET+ADJ
          VOC:	Al+mujorim
        GLOSS:	the+criminal

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P7W8
      OFFSETS:	36-38
       TOKENS:	P7W9-P7W9
