 INPUT STRING:	الزعيم
        GLOSS:	in+he/it

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P1W11
      OFFSETS:	43-47
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P1W12
      OFFSETS:	48-52
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W13
      OFFSETS:	53-57
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P1W14
      OFFSETS:	58-61
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN
          VOC:	>abuw
        GLOSS:	father

 INPUT STRING:	حامد
     IS_TRANS:	HAmd
        INDEX:	P1W15
      OFFSETS:	62-66
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAmid_1]
   UNSPLITVOC:	(HAmid)
          POS:	NOUN_PROP
          VOC:	HAmid
        GLOSS:	Hamid

 INPUT STRING:	هيقلده
     IS_TRANS:	hyqldh
        INDEX:	P1W16
      OFFSETS:	67-73
       TOKENS:	P1W18-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~id_1]
   UNSPLITVOC:	(Hayiqal~iduh)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	Ha+yi+qal~id+uh
        GLOSS:	will+he/it+mimic+him/it

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W17
      OFFSETS:	74-75
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P1W18
      OFFSETS:	76-80
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P1W19
      OFFSETS:	81-84
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W20
      OFFSETS:	85-87
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قيادة
     IS_TRANS:	qyAdp
        INDEX:	P1W21
      OFFSETS:	88-93
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(qiyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiyAd+ap
        GLOSS:	leadership/command+[fem.sg.]

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W22
      OFFSETS:	94-100
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W23
      OFFSETS:	101-104
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	شال
     IS_TRANS:	$Al
        INDEX:	P1W24
      OFFSETS:	105-108
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	($Al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Al+(null)
        GLOSS:	lift+he/it

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P1W25
      OFFSETS:	109-114
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	فاروق
     IS_TRANS:	fArwq
        INDEX:	P1W26
      OFFSETS:	115-120
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAruwq_1]
   UNSPLITVOC:	(fAruwq)
          POS:	NOUN_PROP
          VOC:	fAruwq
        GLOSS:	Farouq

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P1W27
      OFFSETS:	121-124
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	دماغه
     IS_TRANS:	dmAgh
        INDEX:	P1W28
      OFFSETS:	125-130
       TOKENS:	P1W32-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAguh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	dimAg+uh
        GLOSS:	brain/brains+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W29
      OFFSETS:	131-132
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W30
      OFFSETS:	133-136
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	تراجع
     IS_TRANS:	trAjE
        INDEX:	P1W31
      OFFSETS:	137-142
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarAjaE_1]
   UNSPLITVOC:	(tarAjaE())
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tarAjaE+(null)
        GLOSS:	withdraw+he/it

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W32
      OFFSETS:	143-145
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W33
      OFFSETS:	146-152
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يقولوا
     IS_TRANS:	yqwlwA
        INDEX:	P2W2
      OFFSETS:	2-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwl+uwA
        GLOSS:	they+said/say/be said/say/(for example)+they

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P2W3
      OFFSETS:	9-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+you+do

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P2W5
      OFFSETS:	19-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that way

 INPUT STRING:	يقولهم
     IS_TRANS:	yqwlhm
        INDEX:	P2W6
      OFFSETS:	23-29
       TOKENS:	P2W7-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwlluhum)
          POS:	IV3MS+IV+PREP+PRON_3P
          VOC:	yi+quwl+lu+hum
        GLOSS:	he/it+say+to+they

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P2W7
      OFFSETS:	30-33
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W8
      OFFSETS:	34-37
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	60
     IS_TRANS:	60
        INDEX:	P2W9
      OFFSETS:	38-40
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(60)
          POS:	NOUN_NUM
          VOC:	60
        GLOSS:	60

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P2W10
      OFFSETS:	41-44
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W11
      OFFSETS:	45-48
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P2W12
      OFFSETS:	49-53
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	تافه
     IS_TRANS:	tAfh
        INDEX:	P2W13
      OFFSETS:	54-58
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAfih_1]
   UNSPLITVOC:	(tAfih)
          POS:	ADJ
          VOC:	tAfih
        GLOSS:	trivial/commonplace

 INPUT STRING:	ظهر
     IS_TRANS:	Zhr
        INDEX:	P2W14
      OFFSETS:	59-62
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(Zahar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Zahar+(null)
        GLOSS:	appear/emerge+he/it

 INPUT STRING:	بفلوس
     IS_TRANS:	bflws
        INDEX:	P2W15
      OFFSETS:	63-68
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(bifiluws)
          POS:	PREP+NOUN
          VOC:	bi+filuws
        GLOSS:	with/by+money

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W16
      OFFSETS:	69-70
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	اعلانات
     IS_TRANS:	AElAnAt
        INDEX:	P2W17
      OFFSETS:	71-78
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAn_1]
   UNSPLITVOC:	(<iEolAnAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<iEolAn+At
        GLOSS:	advertisements/signs/billboards+[fem.pl.]

 INPUT STRING:	ساويرس
     IS_TRANS:	sAwyrs
        INDEX:	P2W18
      OFFSETS:	79-85
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAwyrs_1]
   UNSPLITVOC:	(sAwyrs)
          POS:	NOUN
          VOC:	sAwyrs
        GLOSS:	name of a trade mark

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يسمع
     IS_TRANS:	ysmE
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(yusomaE)
          POS:	IV3MS+IV_PASS
          VOC:	yu+somaE
        GLOSS:	he/it+be heard

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	12-14
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W5
      OFFSETS:	15-21
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P3W6
      OFFSETS:	22-24
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P3W7
      OFFSETS:	25-29
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yaEomil)
          POS:	IV3MS+IV
          VOC:	ya+Eomil
        GLOSS:	he/it+do

 INPUT STRING:	تنظيمات
     IS_TRANS:	tnZymAt
        INDEX:	P3W8
      OFFSETS:	30-37
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiym_1]
   UNSPLITVOC:	(tanoZiymAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tanoZiym+At
        GLOSS:	organizations/networks+[fem.pl.]

 INPUT STRING:	سرية
     IS_TRANS:	sryp
        INDEX:	P3W9
      OFFSETS:	38-42
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sir~iy~_1]
   UNSPLITVOC:	(sir~iy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sir~iy~+ap
        GLOSS:	secret/private+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W10
      OFFSETS:	43-45
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الضباط
     IS_TRANS:	AlDbAT
        INDEX:	P3W11
      OFFSETS:	46-52
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(AlD~ub~AT)
          POS:	DET+NOUN
          VOC:	Al+Dub~AT
        GLOSS:	the+officers

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P3W12
      OFFSETS:	53-55
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يكن
     IS_TRANS:	ykn
        INDEX:	P3W13
      OFFSETS:	56-59
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakun)
          POS:	IV3MS+IV
          VOC:	ya+kun
        GLOSS:	he/it+be

 INPUT STRING:	قائدا
     IS_TRANS:	qA}dA
        INDEX:	P3W14
      OFFSETS:	60-65
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}id_1]
   UNSPLITVOC:	(qA}idAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	qA}id+AF
        GLOSS:	leader+[acc.indef.]

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P3W15
      OFFSETS:	66-70
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabad_1]
   UNSPLITVOC:	(AbadAF)
