 INPUT STRING:	قالت
        GLOSS:	Salafi/Salafist

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P1W13
      OFFSETS:	69-71
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
          VOC:	Aw
        GLOSS:	or

 INPUT STRING:	إخواني
     IS_TRANS:	<xwAny
        INDEX:	P1W14
      OFFSETS:	72-78
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAniy_1]
   UNSPLITVOC:	(<ixowAniy)
          POS:	NOUN_PROP
          VOC:	<ixowAniy
        GLOSS:	Ikhwani

 INPUT STRING:	مُبررة
     IS_TRANS:	mubrrp
        INDEX:	P1W15
      OFFSETS:	79-85
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubar~ir_1]
   UNSPLITVOC:	(mubar~irap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mubar~ir+ap
        GLOSS:	justifying+[fems.sg.]

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P1W16
      OFFSETS:	86-89
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	this

 INPUT STRING:	بأنها
     IS_TRANS:	b>nhA
        INDEX:	P1W17
      OFFSETS:	90-95
       TOKENS:	P1W19-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(bi>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+>an~a+hA
        GLOSS:	with+that+it/they/she

 INPUT STRING:	ترغب
     IS_TRANS:	trgb
        INDEX:	P1W18
      OFFSETS:	96-100
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarogab_1]
   UNSPLITVOC:	(tarogab)
          POS:	IV3FS+IV
          VOC:	ta+rogab
        GLOSS:	she+desire

 INPUT STRING:	زوجاً
     IS_TRANS:	zwjAF
        INDEX:	P1W19
      OFFSETS:	101-106
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zawoj_1]
   UNSPLITVOC:	(zawojAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	zawoj+AF
        GLOSS:	husband+[acc.indef.]

 INPUT STRING:	يخاف
     IS_TRANS:	yxAf
        INDEX:	P1W20
      OFFSETS:	107-111
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(yaxAf)
          POS:	IV3MS+IV
          VOC:	ya+xAf
        GLOSS:	he/it+fear for/be worried (of)

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P1W21
      OFFSETS:	112-117
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W22
      OFFSETS:	117-118
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	واستكملت
     IS_TRANS:	wAstkmlt
        INDEX:	P2W1
      OFFSETS:	0-8
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotakomil_1]
   UNSPLITVOC:	(wiAisotakomilit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+Aisotakomil+it
        GLOSS:	and+complete/fulfill+it/they/she [verb]

 INPUT STRING:	سمية
     IS_TRANS:	smyp
        INDEX:	P2W2
      OFFSETS:	9-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sumay~ap_1]
   UNSPLITVOC:	(sumay~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sumay~+ap
        GLOSS:	Sumaya+[fem.sg.]

 INPUT STRING:	بحسب
     IS_TRANS:	bHsb
        INDEX:	P2W3
      OFFSETS:	14-18
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(biHasab)
          POS:	PREP+NOUN
          VOC:	bi+Hasab
        GLOSS:	with/by+according to/in accordance with

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W4
      OFFSETS:	19-21
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	نشرته
     IS_TRANS:	n$rth
        INDEX:	P2W5
      OFFSETS:	22-27
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(na$arituh)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	na$ar+it+uh
        GLOSS:	publish/announce/spread+it/they/she [verb]+it/him

 INPUT STRING:	الجريدة
     IS_TRANS:	Aljrydp
        INDEX:	P2W6
      OFFSETS:	28-35
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(Aljariydap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jariyd+ap
        GLOSS:	the+newspaper/journal+[fem.sg.]

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P2W7
      OFFSETS:	36-40
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it/they

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W8
      OFFSETS:	41-43
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P2W9
      OFFSETS:	44-47
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(tilok)
          POS:	DEM_PRON_F
          VOC:	tilok
        GLOSS:	that/those

 INPUT STRING:	الحالة
     IS_TRANS:	AlHAlp
        INDEX:	P2W10
      OFFSETS:	48-54
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(AlHAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAl+ap
        GLOSS:	the+condition/case/situation+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W11
      OFFSETS:	55-57
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الممكن
     IS_TRANS:	Almmkn
        INDEX:	P2W12
      OFFSETS:	58-64
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(Almumokin)
          POS:	DET+ADJ
          VOC:	Al+mumokin
        GLOSS:	the+possible

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P2W13
      OFFSETS:	65-67
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تعتزل
     IS_TRANS:	tEtzl
        INDEX:	P2W14
      OFFSETS:	68-73
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotazal_1]
   UNSPLITVOC:	(tiEotizil)
          POS:	IV3FS+IV
          VOC:	ti+Eotizil
        GLOSS:	she/it/they+be separate/be dissociated

 INPUT STRING:	الفن
     IS_TRANS:	Alfn
        INDEX:	P2W15
      OFFSETS:	74-78
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fan~_1]
   UNSPLITVOC:	(Alfan~)
          POS:	DET+NOUN
          VOC:	Al+fan~
        GLOSS:	the+art/specialty/variety

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W16
      OFFSETS:	79-81
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P2W17
      OFFSETS:	82-85
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	زواجها
     IS_TRANS:	zwAjhA
        INDEX:	P2W18
      OFFSETS:	86-92
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(zawAjhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	zawAj+hA
        GLOSS:	marriage/wedding+her/it/their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W19
      OFFSETS:	92-93
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأضافت
     IS_TRANS:	w>DAft
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wi>aDAfit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+>aDAf+it
        GLOSS:	and+add+it/they/she [verb]

 INPUT STRING:	سمية
     IS_TRANS:	smyp
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sumay~ap_1]
   UNSPLITVOC:	(sumay~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sumay~+ap
        GLOSS:	Sumaya+[fem.sg.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P3W3
      OFFSETS:	11-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	أتمنى
     IS_TRANS:	>tmnY
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(Aatoman~aY)
          POS:	IV1S+IV
          VOC:	Aa+toman~aY
        GLOSS:	I+desire/wish for/hope

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P3W5
      OFFSETS:	20-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W6
      OFFSETS:	27-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P3W7
      OFFSETS:	30-33
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P3W8
      OFFSETS:	34-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	recent/soon

 INPUT STRING:	ولكنني
     IS_TRANS:	wlknny
        INDEX:	P3W9
      OFFSETS:	39-45
       TOKENS:	P3W10-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakinniy)
          POS:	CONJ+CONJ+PRON_1S
          VOC:	wi+lakin+niy
        GLOSS:	and+but+I

 INPUT STRING:	أرغب
     IS_TRANS:	>rgb
        INDEX:	P3W10
      OFFSETS:	46-50
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragab_1]
   UNSPLITVOC:	(>arogab)
          POS:	IV1S+IV
          VOC:	>a+rogab
        GLOSS:	I+wish/desire

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W11
      OFFSETS:	51-53
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	يرزقني
     IS_TRANS:	yrzqny
        INDEX:	P3W12
      OFFSETS:	54-60
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(yirozuqniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+rozuq+niy
        GLOSS:	he/it+bestow/endow+me

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P3W13
      OFFSETS:	61-65
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	بشريك
     IS_TRANS:	b$ryk
        INDEX:	P3W14
      OFFSETS:	66-71
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyk_1]
   UNSPLITVOC:	(bi$iriyk)
          POS:	PREP+NOUN
          VOC:	bi+$iriyk
        GLOSS:	with/by+partner/associate

 INPUT STRING:	عمري
     IS_TRANS:	Emry
        INDEX:	P3W15
      OFFSETS:	72-76
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life+my

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P3W16
      OFFSETS:	77-81
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom

 INPUT STRING:	يحبني
     IS_TRANS:	yHbny
        INDEX:	P3W17
      OFFSETS:	82-87
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(yiHib~iniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+Hib~+niy
        GLOSS:	he/it+love/like+me

 INPUT STRING:	ويخاف
     IS_TRANS:	wyxAf
        INDEX:	P3W18
      OFFSETS:	88-93
       TOKENS:	P3W25-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(wiyixAf)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+xAf
        GLOSS:	and+he/it+fear for/be worried (of)

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P3W19
      OFFSETS:	94-98
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W20
      OFFSETS:	98-99
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P3W21
      OFFSETS:	100-105
       TOKENS:	P3W29-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wimAfiyh$)
          POS:	CONJ+NEG_PART+PREP+PRON_2MS+NEG_PART
          VOC:	wi+mA+fiy+h+$
        GLOSS:	and+not+in+him/it+not

 INPUT STRING:	مانع
     IS_TRANS:	mAnE
        INDEX:	P3W22
      OFFSETS:	106-110
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAniE_1]
   UNSPLITVOC:	(mAniE)
          POS:	NOUN
          VOC:	mAniE
        GLOSS:	obstacle/impediment

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P3W23
      OFFSETS:	111-115
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	سلفيا
     IS_TRANS:	slfyA
        INDEX:	P3W24
      OFFSETS:	116-121
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
