 INPUT STRING:	لقد
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	93
     IS_TRANS:	93
        INDEX:	P3W3
      OFFSETS:	8-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(93)
          POS:	NOUN_NUM
          VOC:	93
        GLOSS:	93

 INPUT STRING:	قبطى
     IS_TRANS:	qbTY
        INDEX:	P3W4
      OFFSETS:	11-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(qiboTiy)
          POS:	ADJ
          VOC:	qiboTiy
        GLOSS:	Coptic

 INPUT STRING:	أعضاء
     IS_TRANS:	>EDA'
        INDEX:	P3W5
      OFFSETS:	16-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	members

 INPUT STRING:	مؤسسين
     IS_TRANS:	m&ssyn
        INDEX:	P3W6
      OFFSETS:	22-28
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&as~is_1]
   UNSPLITVOC:	(mu&as~isiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mu&as~is+iyn
        GLOSS:	founding/constituent+[pl.]

 INPUT STRING:	للحزب
     IS_TRANS:	llHzb
        INDEX:	P3W7
      OFFSETS:	29-34
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(lilHizob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Hizob
        GLOSS:	for/to+the+party

 INPUT STRING:	ثالثا
     IS_TRANS:	vAlvA
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(vAlivAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	vAliv+AF
        GLOSS:	third+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W2
      OFFSETS:	6-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	الغاء
     IS_TRANS:	AlgA'
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilogA'_1]
   UNSPLITVOC:	(<ilogA')
          POS:	NOUN
          VOC:	<ilogA'
        GLOSS:	cancelling

 INPUT STRING:	أى
     IS_TRANS:	>Y
        INDEX:	P4W4
      OFFSETS:	14-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شعارات
     IS_TRANS:	$EArAt
        INDEX:	P4W5
      OFFSETS:	17-23
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	($iEArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	$iEAr+At
        GLOSS:	slogans/mottos+[fem.pl.]

 INPUT STRING:	دينية
     IS_TRANS:	dynyp
        INDEX:	P4W6
      OFFSETS:	24-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	diyniy~+ap
        GLOSS:	religious+[fem.sg.]

 INPUT STRING:	للحزب
     IS_TRANS:	llHzb
        INDEX:	P4W7
      OFFSETS:	30-35
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(lilHizob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Hizob
        GLOSS:	for/to+the+party

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W8
      OFFSETS:	36-37
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W9
      OFFSETS:	38-39
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	التخلى
     IS_TRANS:	AltxlY
        INDEX:	P4W10
      OFFSETS:	40-46
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxal~iy_1]
   UNSPLITVOC:	(Alt~axal~iy)
          POS:	DET+NOUN
          VOC:	Al+taxal~iy
        GLOSS:	the+relinquishment/surrender/renunciation

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W11
      OFFSETS:	47-49
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	شعار
     IS_TRANS:	$EAr
        INDEX:	P4W12
      OFFSETS:	50-54
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	($iEAr)
          POS:	NOUN
          VOC:	$iEAr
        GLOSS:	slogan/motto/slogans/mottos

 INPUT STRING:	الاسلام
     IS_TRANS:	AlAslAm
        INDEX:	P4W13
      OFFSETS:	57-64
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisolAm_1]
   UNSPLITVOC:	(AlAisolAm)
          POS:	DET+NOUN
          VOC:	Al+AisolAm
        GLOSS:	the+Islam

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P4W14
      OFFSETS:	65-67
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P4W15
      OFFSETS:	68-72
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W16
      OFFSETS:	75-76
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W17
      OFFSETS:	77-78
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	البحث
     IS_TRANS:	AlbHv
        INDEX:	P4W18
      OFFSETS:	79-84
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHov_1]
   UNSPLITVOC:	(AlbaHov)
          POS:	DET+NOUN
          VOC:	Al+baHov
        GLOSS:	the+search/examination/research

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W19
      OFFSETS:	85-87
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وضع
     IS_TRANS:	wDE
        INDEX:	P4W20
      OFFSETS:	88-91
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoE)
          POS:	NOUN
          VOC:	waDoE
        GLOSS:	laying down/putting/placing

 INPUT STRING:	برامج
     IS_TRANS:	brAmj
        INDEX:	P4W21
      OFFSETS:	92-97
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(barAmij)
          POS:	NOUN
          VOC:	barAmij
        GLOSS:	programs

 INPUT STRING:	واقعية
     IS_TRANS:	wAqEyp
        INDEX:	P4W22
      OFFSETS:	98-104
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiEiy_1]
   UNSPLITVOC:	(wAqiEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAqiEiy~+ap
        GLOSS:	realistic+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W23
      OFFSETS:	105-106
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	علمية
     IS_TRANS:	Elmyp
        INDEX:	P4W24
      OFFSETS:	107-112
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilomiy_1]
   UNSPLITVOC:	(Eilomiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eilomiy~+ap
        GLOSS:	scientific/scholarly/academic+[fem.sg.]

 INPUT STRING:	لتنمية
     IS_TRANS:	ltnmyp
        INDEX:	P4W25
      OFFSETS:	113-119
       TOKENS:	P4W26-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanomiyap_1]
   UNSPLITVOC:	(litanomiyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+tanomiy+ap
        GLOSS:	for/to+development/growth+[fem.sg.]

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P4W26
      OFFSETS:	120-127
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P4W27
      OFFSETS:	128-132
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	NOUN
          VOC:	biEiyd
        GLOSS:	remote/distant/far

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W28
      OFFSETS:	133-135
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الشعارات
     IS_TRANS:	Al$EArAt
        INDEX:	P4W29
      OFFSETS:	136-144
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	(Al$~iEArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$iEAr+At
        GLOSS:	the+slogan/motto+[fem.pl.]

 INPUT STRING:	الخادعة
     IS_TRANS:	AlxAdEp
        INDEX:	P4W30
      OFFSETS:	145-152
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlxAdiE_1]
   UNSPLITVOC:	(AlxAdiEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xAdiE+ap
        GLOSS:	the+deceitful/deceptive+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W31
      OFFSETS:	153-157
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تستميل
     IS_TRANS:	tstmyl
        INDEX:	P4W32
      OFFSETS:	158-164
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotamAl_2]
   UNSPLITVOC:	(tastamiyl)
          POS:	IV3FS+IV
          VOC:	ta+stamiyl
        GLOSS:	it/they/she+make incline/attract/gain the affection of

 INPUT STRING:	قلوب
     IS_TRANS:	qlwb
        INDEX:	P4W33
      OFFSETS:	165-169
       TOKENS:	P4W35-P4W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(quluwb)
          POS:	NOUN
          VOC:	quluwb
        GLOSS:	heart/center/essence

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P4W34
      OFFSETS:	170-175
       TOKENS:	P4W36-P4W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	وفقط
     IS_TRANS:	wfqT
        INDEX:	P4W35
      OFFSETS:	176-180
       TOKENS:	P4W37-P4W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(wifaqaT)
          POS:	PART+ADV
          VOC:	wi+faqaT
        GLOSS:	[part.]+only

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W36
      OFFSETS:	180-181
       TOKENS:	P4W39-P4W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	رابعا
     IS_TRANS:	rAbEA
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAbiE_1]
   UNSPLITVOC:	(rAbiEAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	rAbiE+AF
        GLOSS:	fourthly/in fourth place+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P5W2
      OFFSETS:	6-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	قبول
     IS_TRANS:	qbwl
        INDEX:	P5W3
      OFFSETS:	8-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qubuwl_1]
   UNSPLITVOC:	(qubuwl)
          POS:	NOUN
          VOC:	qubuwl
        GLOSS:	reception/approval/admission/acceptance

 INPUT STRING:	فصل
     IS_TRANS:	fSl
        INDEX:	P5W4
      OFFSETS:	13-16
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faSol_1]
   UNSPLITVOC:	(faSol)
          POS:	NOUN.VN
          VOC:	faSol
        GLOSS:	detaching/separating/cutting off

 INPUT STRING:	الحزب
     IS_TRANS:	AlHzb
        INDEX:	P5W5
      OFFSETS:	17-22
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(AlHizob)
          POS:	DET+NOUN
          VOC:	Al+Hizob
        GLOSS:	the+party

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W6
      OFFSETS:	23-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P5W7
      OFFSETS:	26-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الأخوان
     IS_TRANS:	Al>xwAn
