 INPUT STRING:	بصراحة
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/whow/whom/what/whose/which

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P1W17
      OFFSETS:	94-101
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+should/imposed/prescribed

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P1W18
      OFFSETS:	102-108
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be/was/were+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W19
      OFFSETS:	109-112
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P1W20
      OFFSETS:	113-116
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qador_1]
   UNSPLITVOC:	(qador)
          POS:	NOUN
          VOC:	qador
        GLOSS:	extent/degree/amount/value/level/amounts/degrees

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P1W21
      OFFSETS:	117-121
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/big/old

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W22
      OFFSETS:	122-124
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحكمة
     IS_TRANS:	AlHkmp
        INDEX:	P1W23
      OFFSETS:	125-131
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hikomap_1]
   UNSPLITVOC:	(AlHikomap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hikom+ap
        GLOSS:	the+wisdom/maxim+[fem.sg.]

 INPUT STRING:	والمسؤولية
     IS_TRANS:	wAlms&wlyp
        INDEX:	P1W24
      OFFSETS:	132-142
       TOKENS:	P1W30-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uwliy~ap_1]
   UNSPLITVOC:	(wiAlmaso&uwliy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+maso&uwliy~+ap
        GLOSS:	and+the+responsibility/responsibilities+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W25
      OFFSETS:	143-145
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الظروف
     IS_TRANS:	AlZrwf
        INDEX:	P1W26
      OFFSETS:	146-152
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(AlZ~uruwf)
          POS:	DET+NOUN
          VOC:	Al+Zuruwf
        GLOSS:	the+charm/envelope/circumstance/condition/situation/circumstances

 INPUT STRING:	العصيبة
     IS_TRANS:	AlESybp
        INDEX:	P1W27
      OFFSETS:	153-160
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSiyb_1]
   UNSPLITVOC:	(AlEaSiybap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EaSiyb+ap
        GLOSS:	the+critical/crucial+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P1W28
      OFFSETS:	161-165
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W29
      OFFSETS:	166-169
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتمر
     IS_TRANS:	btmr
        INDEX:	P1W30
      OFFSETS:	170-174
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(bitimur~)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+mur~
        GLOSS:	[present-tense]+it/they/she+pass/go through

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P1W31
      OFFSETS:	175-179
       TOKENS:	P1W39-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her/it/them

 INPUT STRING:	الكنيسة
     IS_TRANS:	Alknysp
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(Alkiniysap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kiniys+ap
        GLOSS:	the+churches+[fem.sg.]

 INPUT STRING:	اتحرقت
     IS_TRANS:	AtHrqt
        INDEX:	P2W2
      OFFSETS:	8-14
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHaraq_1]
   UNSPLITVOC:	(AitHaraqit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AitHaraq+it
        GLOSS:	burn+it/they/she

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P2W3
      OFFSETS:	15-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	اتهدت
     IS_TRANS:	Athdt
        INDEX:	P2W4
      OFFSETS:	18-23
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aithad_1]
   UNSPLITVOC:	(Aithadit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aithad+it
        GLOSS:	destruction+it/they/she

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P2W5
      OFFSETS:	24-26
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	امر
     IS_TRANS:	Amr
        INDEX:	P2W6
      OFFSETS:	27-30
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amor)
          POS:	NOUN
          VOC:	>amor
        GLOSS:	matter/issue/matters/issues/order/command/orders/commands

 INPUT STRING:	مرفوض
     IS_TRANS:	mrfwD
        INDEX:	P2W7
      OFFSETS:	31-36
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marofuwD_1]
   UNSPLITVOC:	(marofuwD)
          POS:	ADJ
          VOC:	marofuwD
        GLOSS:	rejected/refused

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P2W8
      OFFSETS:	37-42
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmfy$)
          POS:	NO_FUNC
          VOC:	wmfy$
        GLOSS:	nogloss

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P2W9
      OFFSETS:	43-45
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	somebody/some one/one/someone

 INPUT STRING:	يقبله
     IS_TRANS:	yqblh
        INDEX:	P2W10
      OFFSETS:	46-51
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabal_1]
   UNSPLITVOC:	(yiqobaluh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+qobal+uh
        GLOSS:	he/it+agree/receive/accept+it/him

 INPUT STRING:	بالرغم
     IS_TRANS:	bAlrgm
        INDEX:	P2W11
      OFFSETS:	54-60
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(biAlr~agom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ragom
        GLOSS:	with/by+the+in spite of/despite

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P2W12
      OFFSETS:	61-64
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	بعتبر
     IS_TRANS:	bEtbr
        INDEX:	P2W13
      OFFSETS:	65-70
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtabar_1]
   UNSPLITVOC:	(biAaEtibir)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Etibir
        GLOSS:	[present-tense]+I+consider

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P2W14
      OFFSETS:	71-73
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P2W15
      OFFSETS:	74-76
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response/replies/responses/return/repulsion/in reply to/in answer to

 INPUT STRING:	فعل
     IS_TRANS:	fEl
        INDEX:	P2W16
      OFFSETS:	77-80
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEol)
          POS:	NOUN
          VOC:	fiEol
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts

 INPUT STRING:	والمفروض
     IS_TRANS:	wAlmfrwD
        INDEX:	P2W17
      OFFSETS:	82-90
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(wiAlmaforuwD)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+maforuwD
        GLOSS:	and+the+should/imposed/prescribed

 INPUT STRING:	نبحث
     IS_TRANS:	nbHv
        INDEX:	P2W18
      OFFSETS:	91-95
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(niboHav)
          POS:	IV1P+IV
          VOC:	ni+boHav
        GLOSS:	we+discuss/search (for)/be discussed/be searched (for)/search

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W19
      OFFSETS:	96-98
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P2W20
      OFFSETS:	99-104
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P2W21
      OFFSETS:	105-109
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	ادى
     IS_TRANS:	AdY
        INDEX:	P2W22
      OFFSETS:	110-113
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(>ad~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ad~aY+(null)
        GLOSS:	direct/guide/lead/be directed/be guided/be lead/perform (function)/carry out (duty)+he/it

 INPUT STRING:	لكدة
     IS_TRANS:	lkdp
        INDEX:	P2W23
      OFFSETS:	114-118
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(likidah)
          POS:	PREP+NOUN
          VOC:	li+kidah
        GLOSS:	for/to+such/like

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P2W24
      OFFSETS:	119-124
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	matter/issue/regard/respect/especially/in particular+[acc.indef.]

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P2W25
      OFFSETS:	125-129
       TOKENS:	P2W31-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	سابقة
     IS_TRANS:	sAbqp
        INDEX:	P2W26
      OFFSETS:	130-135
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAboqap_1]
   UNSPLITVOC:	(sAboqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAboq+ap
        GLOSS:	precedence/priority/precedents/antecedents/priorities+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P2W27
      OFFSETS:	136-138
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	تحدث
     IS_TRANS:	tHdv
        INDEX:	P2W28
      OFFSETS:	139-143
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(tiHoduv)
          POS:	IV3FS+IV
          VOC:	ti+Hoduv
        GLOSS:	it/they/she+happen/take place

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W29
      OFFSETS:	144-146
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P2W30
      OFFSETS:	147-150
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	هدم
     IS_TRANS:	hdm
        INDEX:	P2W31
      OFFSETS:	153-156
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadom_1]
   UNSPLITVOC:	(hadom)
          POS:	NOUN
          VOC:	hadom
        GLOSS:	demolition/razing

 INPUT STRING:	كنيسة
     IS_TRANS:	knysp
        INDEX:	P2W32
      OFFSETS:	157-162
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(kiniysap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiniys+ap
        GLOSS:	churches+[fem.sg.]

