 INPUT STRING:	بجد
     IS_TRANS:	Alhmwm
        INDEX:	P4W2
      OFFSETS:	7-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(Alhumuwm)
          POS:	DET+NOUN
          VOC:	Al+humuwm
        GLOSS:	the+concern/interest/concerns/interests

 INPUT STRING:	تتعالى
     IS_TRANS:	ttEAlY
        INDEX:	P4W3
      OFFSETS:	14-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEAlaY_1]
   UNSPLITVOC:	(titEAlaY)
          POS:	IV3FS+IV
          VOC:	ti+tEAlaY
        GLOSS:	it/they/she+be raised/be exalted

 INPUT STRING:	اللعبة
     IS_TRANS:	AllEbp
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEobap_1]
   UNSPLITVOC:	(All~iEobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liEob+ap
        GLOSS:	the+game/toy+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W2
      OFFSETS:	7-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_PROP
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W3
      OFFSETS:	10-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	بتوضح
     IS_TRANS:	btwDH
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDaH_1]
   UNSPLITVOC:	(bitiwoDaH)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+woDaH
        GLOSS:	[present-tense]+it/they/she+become clear/become evident/appear

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P5W5
      OFFSETS:	20-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	اولها
     IS_TRANS:	AwlhA
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aw~il_1]
   UNSPLITVOC:	(Aw~ilhA)
          POS:	ADJ_NUM+POSS_PRON_3FS
          VOC:	Aw~il+hA
        GLOSS:	first+its/their/her

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P6W2
      OFFSETS:	6-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[1]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W2
      OFFSETS:	1-2
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P7W3
      OFFSETS:	3-7
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P7W4
      OFFSETS:	8-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P7W5
      OFFSETS:	17-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	اطلاق
     IS_TRANS:	ATlAq
        INDEX:	P7W6
      OFFSETS:	23-28
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iTolAq_1]
   UNSPLITVOC:	(<iTolAq)
          POS:	NOUN
          VOC:	<iTolAq
        GLOSS:	releasing/launching

 INPUT STRING:	اللحية
     IS_TRANS:	AllHyp
        INDEX:	P7W7
      OFFSETS:	29-35
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHoyap_1]
   UNSPLITVOC:	(All~iHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liHoy+ap
        GLOSS:	the+beard+[fem.sg.]

 INPUT STRING:	عادة
     IS_TRANS:	EAdp
        INDEX:	P7W8
      OFFSETS:	36-40
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(EAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EAd+ap
        GLOSS:	habit/custom/practice/customs/practices/habits/usually/typically/generally+[fem.sg.]

 INPUT STRING:	وليست
     IS_TRANS:	wlyst
        INDEX:	P7W9
      OFFSETS:	41-46
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lays_1]
   UNSPLITVOC:	(wilaysit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+lays+it
        GLOSS:	and+not be+it/they/she

 INPUT STRING:	عبادة
     IS_TRANS:	EbAdp
        INDEX:	P7W10
      OFFSETS:	47-52
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EibAdap_1]
   UNSPLITVOC:	(EibAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EibAd+ap
        GLOSS:	worship/religious practice+[fem.sg.]

 INPUT STRING:	برافووووووووو
     IS_TRANS:	brAfwwwwwwwww
        INDEX:	P7W11
      OFFSETS:	54-67
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[brAfuw_1]
   UNSPLITVOC:	(brAfuw)
          POS:	FOREIGN
          VOC:	brAfuw
        GLOSS:	well done

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W2
      OFFSETS:	1-2
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ويرد
     IS_TRANS:	wyrd
        INDEX:	P8W3
      OFFSETS:	3-7
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(wiyirud~)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+rud~
        GLOSS:	and+he/it+answer/reply

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P8W4
      OFFSETS:	8-12
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	المفتى
     IS_TRANS:	AlmftY
        INDEX:	P8W5
      OFFSETS:	13-19
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufotiy_1]
   UNSPLITVOC:	(Almufotiy)
          POS:	DET+NOUN
          VOC:	Al+mufotiy
        GLOSS:	the+mufti (Muslim legal scholar)

 INPUT STRING:	ويقول
     IS_TRANS:	wyqwl
        INDEX:	P8W6
      OFFSETS:	20-25
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwl)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+quwl
        GLOSS:	and+he/it+said/say/be said/say/(for example)

 INPUT STRING:	اللحية
     IS_TRANS:	AllHyp
        INDEX:	P8W7
      OFFSETS:	27-33
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHoyap_1]
   UNSPLITVOC:	(All~iHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liHoy+ap
        GLOSS:	the+beard+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W8
      OFFSETS:	34-36
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P8W9
      OFFSETS:	37-43
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	الخلافية
     IS_TRANS:	AlxlAfyp
        INDEX:	P8W10
      OFFSETS:	44-52
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAfiy_1]
   UNSPLITVOC:	(AlxilAfiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xilAfiy~+ap
        GLOSS:	the+controversial/disputed+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P8W11
      OFFSETS:	53-55
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P8W12
      OFFSETS:	56-59
       TOKENS:	P8W15-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P8W13
      OFFSETS:	60-65
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P8W14
      OFFSETS:	66-70
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	متفق
     IS_TRANS:	mtfq
        INDEX:	P8W15
      OFFSETS:	71-75
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~afaq_1]
   UNSPLITVOC:	(mut~afaq)
          POS:	ADJ.VN
          VOC:	mut~afaq
        GLOSS:	agreed

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P8W16
      OFFSETS:	76-81
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W17
      OFFSETS:	82-84
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الائمة
     IS_TRANS:	AlA}mp
        INDEX:	P8W18
      OFFSETS:	85-91
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imAm_1]
   UNSPLITVOC:	(Al>a}im~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>a}im~+ap
        GLOSS:	the+leaders/Imams+[fem.sg.]

 INPUT STRING:	الاربعة
     IS_TRANS:	AlArbEp
        INDEX:	P8W19
      OFFSETS:	92-99
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaEap_1]
   UNSPLITVOC:	(AlArobaEap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+ArobaE+ap
        GLOSS:	the+four+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P8W20
      OFFSETS:	100-102
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	شكله
     IS_TRANS:	$klh
        INDEX:	P8W21
      OFFSETS:	103-107
       TOKENS:	P8W27-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akoluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	$akol+uh
        GLOSS:	manner/form/configuration/manners / types/forms/configurations+his/its

 INPUT STRING:	ناسى
     IS_TRANS:	nAsY
        INDEX:	P8W22
      OFFSETS:	108-112
       TOKENS:	P8W29-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAsiy_1]
   UNSPLITVOC:	(nAsiy)
          POS:	ADJ
          VOC:	nAsiy
        GLOSS:	forgetful/absentminded

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W23
      OFFSETS:	112-113
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W24
      OFFSETS:	113-114
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W25
      OFFSETS:	114-115
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W26
      OFFSETS:	115-116
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W27
      OFFSETS:	116-117
       TOKENS:	P8W34-P8W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	برافووووووووو
     IS_TRANS:	brAfwwwwwwwww
        INDEX:	P8W28
      OFFSETS:	118-131
       TOKENS:	P8W35-P8W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[brAfuw_1]
   UNSPLITVOC:	(brAfuw)
          POS:	FOREIGN
          VOC:	brAfuw
        GLOSS:	well done

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[3]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W2
      OFFSETS:	1-2
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	المحكمة
