 INPUT STRING:	ازيك
     IS_TRANS:	EAmlyn
        INDEX:	P2W3
      OFFSETS:	14-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmoliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAmol+iyn
        GLOSS:	active/operating/working+two

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W4
      OFFSETS:	21-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P3W2
      OFFSETS:	6-9
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	اخبارك
     IS_TRANS:	AxbArk
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobArik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>axobAr+ik
        GLOSS:	news/report/reports+your

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W2
      OFFSETS:	7-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	عزمك
     IS_TRANS:	Ezmk
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eazam_1]
   UNSPLITVOC:	(Eazamik)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	Eazam+(null)+ik
        GLOSS:	invite+he/it+you

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	عزمني
     IS_TRANS:	Ezmny
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eazam_1]
   UNSPLITVOC:	(Eazamoniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	Eazam+(null)+niy
        GLOSS:	invite+he/it+me

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W2
      OFFSETS:	6-9
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تكا
     IS_TRANS:	tkA
        INDEX:	P7W3
      OFFSETS:	10-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tik~A_1]
   UNSPLITVOC:	(tik~A)
          POS:	NOUN_PROP
          VOC:	tik~A
        GLOSS:	Tikka

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/working+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P8W3
      OFFSETS:	11-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	سالوني
     IS_TRANS:	sAlwny
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>aluwniy)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1S
          VOC:	sa>al+uwA+niy
        GLOSS:	ask/inquire/request/be asked+they+me

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P9W2
      OFFSETS:	7-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P9W3
      OFFSETS:	16-21
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	الورقة
     IS_TRANS:	Alwrqp
        INDEX:	P9W4
      OFFSETS:	22-28
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraqap_1]
   UNSPLITVOC:	(Alwaraqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+waraq+ap
        GLOSS:	the+sheet/leaf/documents papers sheets/paper+[fem.sg.]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P9W5
      OFFSETS:	29-32
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_PRON
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W6
      OFFSETS:	33-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العقود
     IS_TRANS:	AlEqwd
        INDEX:	P9W7
      OFFSETS:	36-42
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqod_1]
   UNSPLITVOC:	(AlEuquwd)
          POS:	DET+NOUN
          VOC:	Al+Euquwd
        GLOSS:	the+holding/concluding/convening/contract/agreement/contracts/agreements/decade

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	عزومة
     IS_TRANS:	Ezwmp
        INDEX:	P10W2
      OFFSETS:	5-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euzuwmap_1]
   UNSPLITVOC:	(Euzuwmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Euzuwm+ap
        GLOSS:	invitation/banquet+[fem.sg.]

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P10W3
      OFFSETS:	11-15
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	وبظبط
     IS_TRANS:	wbZbT
        INDEX:	P10W4
      OFFSETS:	16-21
       TOKENS:	P10W5-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZabaT_1]
   UNSPLITVOC:	(wibAaZobuT)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+ZobuT
        GLOSS:	and+[present-tense]+I+regulate/manage

 INPUT STRING:	قولتلهم
     IS_TRANS:	qwltlhm
        INDEX:	P11W1
      OFFSETS:	0-7
       TOKENS:	P11W1-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt_luhum)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_3P
          VOC:	quwl+t+li+hum
        GLOSS:	said/say/be said/(for example)+I+to/for+they

 INPUT STRING:	لمصلحة
     IS_TRANS:	lmSlHp
        INDEX:	P11W2
      OFFSETS:	8-14
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(limaSolaHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+maSolaH+ap
        GLOSS:	for/to+interest/advantage/favor/interests/advantages/department/agency/departments+[fem.sg.]

 INPUT STRING:	الجوزات
     IS_TRANS:	AljwzAt
        INDEX:	P11W3
      OFFSETS:	15-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jawoz_2]
   UNSPLITVOC:	(AljawozAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jawoz+At
        GLOSS:	the+passport+[fem.pl.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	هتعملهم
     IS_TRANS:	htEmlhm
        INDEX:	P15W1
      OFFSETS:	0-7
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(htEmlhm)
          POS:	TYPO
          VOC:	htEmlhm
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W2
      OFFSETS:	8-11
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	فراخ
     IS_TRANS:	frAx
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroxap_1]
   UNSPLITVOC:	(firAx)
          POS:	NOUN
          VOC:	firAx
        GLOSS:	hens/chickens

 INPUT STRING:	وكفته
     IS_TRANS:	wkfth
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kufotap_1]
   UNSPLITVOC:	(wikufotap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+kufot+ap
        GLOSS:	and+kufta (patties of ground lamb or beef combined with herbs and spices then fried)+[fem.sg.]

 INPUT STRING:	وجولاش
     IS_TRANS:	wjwlA$
        INDEX:	P16W3
      OFFSETS:	11-17
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwl~A$_1]
   UNSPLITVOC:	(wijuwl~A$)
          POS:	CONJ+NOUN
          VOC:	wi+juwl~A$
        GLOSS:	and+Egyptian pei

 INPUT STRING:	وبطاطس
     IS_TRANS:	wbTATs
        INDEX:	P16W4
      OFFSETS:	18-24
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baTATis_1]
   UNSPLITVOC:	(wabaTATis)
          POS:	CONJ+NOUN
          VOC:	wa+baTATis
        GLOSS:	and+potatoes

 INPUT STRING:	وعدس
     IS_TRANS:	wEds
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eadas_1]
   UNSPLITVOC:	(waEadas)
          POS:	CONJ+NOUN
          VOC:	wa+Eadas
        GLOSS:	and+lentils

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	عدس
     IS_TRANS:	Eds
        INDEX:	P18W2
      OFFSETS:	4-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eados_1]
   UNSPLITVOC:	(Eados)
          POS:	NOUN
          VOC:	Eados
        GLOSS:	lentils

 INPUT STRING:	شوربه
     IS_TRANS:	$wrbh
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwrbap_1]
   UNSPLITVOC:	($uwrbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uwrb+ap
        GLOSS:	soup+[fem.sg.]

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P20W2
      OFFSETS:	3-6
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	خارجين
     IS_TRANS:	xArjyn
        INDEX:	P20W3
      OFFSETS:	7-13
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(xArojiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAroj+iyn
        GLOSS:	outside/outer part/leaving/departing/exiting+two

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W4
      OFFSETS:	14-16
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السن
     IS_TRANS:	Alsn
        INDEX:	P20W5
      OFFSETS:	17-21
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Alsn)
          POS:	TYPO
          VOC:	Alsn
        GLOSS:	nogloss

 INPUT STRING:	السجن
     IS_TRANS:	Alsjn
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Alsijon)
          POS:	DET+NOUN
          VOC:	Al+sijon
        GLOSS:	the+prison/prisons

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	بيحبوها
     IS_TRANS:	byHbwhA
        INDEX:	P23W1
      OFFSETS:	0-7
       TOKENS:	P23W1-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biyiHib~uwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+Hib~+uwA+hA
        GLOSS:	[present-tense]+they+love/like/want+we+it/them/her

 INPUT STRING:	اها
     IS_TRANS:	AhA
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AhA_1]
   UNSPLITVOC:	(AhA)
          POS:	INTERJ
          VOC:	AhA
        GLOSS:	express realization of something

 INPUT STRING:	شكلهم
     IS_TRANS:	$klhm
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akoluhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	$akol+hum
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+their

 INPUT STRING:	اغنيى
     IS_TRANS:	AgnyY
        INDEX:	P25W2
      OFFSETS:	6-11
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AgnyY)
          POS:	TYPO
          VOC:	AgnyY
        GLOSS:	nogloss

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P25W3
      OFFSETS:	12-15
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	بيحبة
     IS_TRANS:	byHbp
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(byHbp)
          POS:	TYPO
          VOC:	byHbp
        GLOSS:	nogloss

 INPUT STRING:	اكل
     IS_TRANS:	Akl
        INDEX:	P26W2
      OFFSETS:	6-9
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(>akol)
          POS:	NOUN
          VOC:	>akol
        GLOSS:	eating/consumption/food/meal

 INPUT STRING:	الفقراء
     IS_TRANS:	AlfqrA'
        INDEX:	P26W3
      OFFSETS:	10-17
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqiyr_1]
   UNSPLITVOC:	(AlfuqarA')
          POS:	DET+NOUN
          VOC:	Al+fuqarA'
        GLOSS:	the+poor/destitute

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P26W4
      OFFSETS:	18-20
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P26W5
      OFFSETS:	21-25
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
