 INPUT STRING:	عاملين
        LEMMA:	[maTAr_1]
   UNSPLITVOC:	(AlmaTAr)
          POS:	DET+NOUN
          VOC:	Al+maTAr
        GLOSS:	the+airport/airfield/airports/airfields

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	آخدين
     IS_TRANS:	|xdyn
        INDEX:	P4W2
      OFFSETS:	3-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|xid_1]
   UNSPLITVOC:	(|xodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	|xod+iyn
        GLOSS:	taking+two

 INPUT STRING:	إحتياطتهم
     IS_TRANS:	<HtyATthm
        INDEX:	P4W3
      OFFSETS:	9-18
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(<HtyATthm)
          POS:	TYPO
          VOC:	<HtyATthm
        GLOSS:	nogloss

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P4W4
      OFFSETS:	19-21
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	مفيس
     IS_TRANS:	mfys
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mfys)
          POS:	TYPO
          VOC:	mfys
        GLOSS:	nogloss

 INPUT STRING:	HAjp
     IS_TRANS:	HAjp
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	استعديتو
     IS_TRANS:	AstEdytw
        INDEX:	P5W3
      OFFSETS:	10-18
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaEad_1]
   UNSPLITVOC:	(AisotaEadiytuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	AisotaEad+iytuwA
        GLOSS:	get ready+you

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P5W4
      OFFSETS:	19-23
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	قفلنا
     IS_TRANS:	qflnA
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaf~il_1]
   UNSPLITVOC:	(qaf~ilnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	qaf~il+nA
        GLOSS:	return/lock/be closed up/bolt/do metalwork on/let hang/let drop/be left hanging+we

 INPUT STRING:	الشنط
     IS_TRANS:	Al$nT
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$anoTap_1]
   UNSPLITVOC:	(Al$unaT)
          POS:	DET+NOUN
          VOC:	Al+$unaT
        GLOSS:	the+suitcase/suitcases

 INPUT STRING:	فضل
     IS_TRANS:	fDl
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(fiDil)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fiDil+(null)
        GLOSS:	remain/stay+he/it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W3
      OFFSETS:	7-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	لبسينه
     IS_TRANS:	lbsynh
        INDEX:	P7W4
      OFFSETS:	12-18
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(labosiynuh)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3MS
          VOC:	labos+iyn+uh
        GLOSS:	wearing+two+him

 INPUT STRING:	حتعملوا
     IS_TRANS:	HtEmlwA
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HatiEomiluwA)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+ti+Eomil+uwA
        GLOSS:	will+you+function/make/act/do+we

 INPUT STRING:	بكده
     IS_TRANS:	bkdh
        INDEX:	P8W2
      OFFSETS:	8-12
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(bikidah)
          POS:	PREP+NOUN
          VOC:	bi+kidah
        GLOSS:	with/by+this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P8W3
      OFFSETS:	13-16
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P8W4
      OFFSETS:	17-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+obligation/duty/obligations/duties

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	نصلي
     IS_TRANS:	nSly
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(niSal~iy)
          POS:	IV1P+IV
          VOC:	ni+Sal~iy
        GLOSS:	we+pray/worship/be worshiped/be prayed

 INPUT STRING:	الظهر
     IS_TRANS:	AlZhr
        INDEX:	P9W3
      OFFSETS:	11-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zuhor_1]
   UNSPLITVOC:	(AlZuhor)
          POS:	DET+NOUN
          VOC:	Al+Zuhor
        GLOSS:	the+noon/afternoon

 INPUT STRING:	ونمشي
     IS_TRANS:	wnm$y
        INDEX:	P9W4
      OFFSETS:	17-22
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(winimo$iy)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+mo$iy
        GLOSS:	and+we+go/walk

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P9W5
      OFFSETS:	23-25
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P9W6
      OFFSETS:	26-29
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W7
      OFFSETS:	30-34
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	نتجمع
     IS_TRANS:	ntjmE
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojam~aE_1]
   UNSPLITVOC:	(nitojam~aE)
          POS:	IV1P+IV
          VOC:	ni+tojam~aE
        GLOSS:	we+be gathered

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P10W2
      OFFSETS:	6-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الظهر
     IS_TRANS:	AlZhr
        INDEX:	P10W3
      OFFSETS:	10-15
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zuhor_1]
   UNSPLITVOC:	(AlZuhor)
          POS:	DET+NOUN
          VOC:	Al+Zuhor
        GLOSS:	the+noon/afternoon

 INPUT STRING:	حترجعوا
     IS_TRANS:	HtrjEwA
        INDEX:	P11W1
      OFFSETS:	0-7
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HatirojaEuwA)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+ti+rojaE+uwA
        GLOSS:	will+you+come back/go back/return back/return+we

 INPUT STRING:	مكة
     IS_TRANS:	mkp
        INDEX:	P11W2
      OFFSETS:	8-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mak~ap_1]
   UNSPLITVOC:	(mak~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	mak~+ap
        GLOSS:	Mecca+[fem.sg.]

 INPUT STRING:	الأول
     IS_TRANS:	Al>wl
        INDEX:	P11W3
      OFFSETS:	12-17
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(AlAw~il)
          POS:	DET+ADJ
          VOC:	Al+Aw~il
        GLOSS:	the+first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P11W4
      OFFSETS:	18-21
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P11W5
      OFFSETS:	22-25
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W2
      OFFSETS:	3-5
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المدينة
     IS_TRANS:	Almdynp
        INDEX:	P12W3
      OFFSETS:	6-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(Almadiynap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madiyn+ap
        GLOSS:	the+city/cities+[fem.sg.]

 INPUT STRING:	أومال
     IS_TRANS:	>wmAl
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwm~Al_1]
   UNSPLITVOC:	(>uwm~Al)
          POS:	ADV
          VOC:	>uwm~Al
        GLOSS:	so then

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P13W2
      OFFSETS:	6-9
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	REL_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	تتحركوا
     IS_TRANS:	ttHrkwA
        INDEX:	P13W3
      OFFSETS:	10-17
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ttHrkwA)
          POS:	NO_FUNC
          VOC:	ttHrkwA
        GLOSS:	nogloss

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P13W4
      OFFSETS:	18-21
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الظهر
     IS_TRANS:	AlZhr
        INDEX:	P13W5
      OFFSETS:	22-27
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zuhor_1]
   UNSPLITVOC:	(AlZuhor)
          POS:	DET+NOUN
          VOC:	Al+Zuhor
        GLOSS:	the+noon/afternoon

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W6
      OFFSETS:	28-30
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	الطيارة
     IS_TRANS:	AlTyArp
        INDEX:	P13W7
      OFFSETS:	31-38
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~Arap_1]
   UNSPLITVOC:	(AlTay~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Tay~Ar+ap
        GLOSS:	the+airoplane+[fem.sg.]

 INPUT STRING:	@
     IS_TRANS:	@
        INDEX:	P13W8
      OFFSETS:	39-40
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(@)
          POS:	PUNC
          VOC:	@
        GLOSS:	@

 INPUT STRING:	8
     IS_TRANS:	8
        INDEX:	P13W9
      OFFSETS:	40-41
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[8_1]
   UNSPLITVOC:	(8)
          POS:	ADJ_NUM
          VOC:	8
        GLOSS:	8

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W10
      OFFSETS:	41-42
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W2
      OFFSETS:	6-8
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P14W3
      OFFSETS:	9-12
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	نصلي
     IS_TRANS:	nSly
        INDEX:	P14W4
      OFFSETS:	13-17
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(niSal~iy)
          POS:	IV1P+IV
          VOC:	ni+Sal~iy
        GLOSS:	we+pray/worship/be worshiped/be prayed

 INPUT STRING:	الظهر
     IS_TRANS:	AlZhr
        INDEX:	P14W5
      OFFSETS:	18-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zuhor_1]
   UNSPLITVOC:	(AlZuhor)
          POS:	DET+NOUN
          VOC:	Al+Zuhor
        GLOSS:	the+noon/afternoon

 INPUT STRING:	ونتجمع
     IS_TRANS:	wntjmE
        INDEX:	P14W6
      OFFSETS:	24-30
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojam~aE_1]
   UNSPLITVOC:	(winitojam~aE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+tojam~aE
        GLOSS:	and+we+be gathered

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P14W7
      OFFSETS:	31-35
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P14W8
      OFFSETS:	36-40
       TOKENS:	P14W10-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her

 INPUT STRING:	ل
     IS_TRANS:	l
        INDEX:	P14W9
      OFFSETS:	41-42
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(l)
          POS:	NO_FUNC
          VOC:	l
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P14W10
      OFFSETS:	42-43
       TOKENS:	P14W13-P14W13
