 INPUT STRING:	مين
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Eamal+it
        GLOSS:	function/make/act/do+it/they/she

 INPUT STRING:	مداخله
     IS_TRANS:	mdAxlh
        INDEX:	P4W4
      OFFSETS:	14-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudAxalap_1]
   UNSPLITVOC:	(mudAxalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mudAxal+ap
        GLOSS:	interference/participation+[fem.sg.]

 INPUT STRING:	فبرنامج
     IS_TRANS:	fbrnAmj
        INDEX:	P4W5
      OFFSETS:	21-28
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(fibironAmij)
          POS:	PREP+NOUN
          VOC:	fi+bironAmij
        GLOSS:	in+program/programs

 INPUT STRING:	لاميس
     IS_TRANS:	lAmys
        INDEX:	P4W6
      OFFSETS:	29-34
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAmiys_1]
   UNSPLITVOC:	(lAmiys)
          POS:	NOUN_PROP
          VOC:	lAmiys
        GLOSS:	Lamis

 INPUT STRING:	الحديدى
     IS_TRANS:	AlHdydY
        INDEX:	P4W7
      OFFSETS:	35-42
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiydiy_1]
   UNSPLITVOC:	(AlHadiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hadiydiy
        GLOSS:	the+Hadidi

 INPUT STRING:	بتقلها
     IS_TRANS:	btqlhA
        INDEX:	P4W8
      OFFSETS:	43-49
       TOKENS:	P4W9-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiqul~ahA)
          POS:	PROG_PART+IV3FS+IV+PREP+PRON_3FS
          VOC:	bi+ti+qu+li+hA
        GLOSS:	[present-tense]+it/they/she+say+to/for+it/them/her

 INPUT STRING:	حوود
     IS_TRANS:	Hwwd
        INDEX:	P4W9
      OFFSETS:	50-54
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Hwwd)
          POS:	TYPO
          VOC:	Hwwd
        GLOSS:	nogloss

 INPUT STRING:	ايفينيينج
     IS_TRANS:	Ayfynyynj
        INDEX:	P4W10
      OFFSETS:	55-64
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ayfynyynj)
          POS:	FOREIGN
          VOC:	Ayfynyynj
        GLOSS:	nogloss

 INPUT STRING:	مدام
     IS_TRANS:	mdAm
        INDEX:	P4W11
      OFFSETS:	65-69
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAm_1]
   UNSPLITVOC:	(madAm)
          POS:	NOUN
          VOC:	madAm
        GLOSS:	madame/madam

 INPUT STRING:	لاميس
     IS_TRANS:	lAmys
        INDEX:	P4W12
      OFFSETS:	70-75
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAmiys_1]
   UNSPLITVOC:	(lAmiys)
          POS:	NOUN_PROP
          VOC:	lAmiys
        GLOSS:	Lamis

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مدام
     IS_TRANS:	mdAm
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAm_1]
   UNSPLITVOC:	(madAm)
          POS:	NOUN
          VOC:	madAm
        GLOSS:	madame/madam

 INPUT STRING:	معرفش
     IS_TRANS:	mErf$
        INDEX:	P5W3
      OFFSETS:	9-14
       TOKENS:	P5W3-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_AaEoraf$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+Eoraf+$
        GLOSS:	not+I+know+not

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W4
      OFFSETS:	15-18
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W5
      OFFSETS:	19-20
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بكلمك
     IS_TRANS:	bklmk
        INDEX:	P5W6
      OFFSETS:	21-26
       TOKENS:	P5W8-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(bAakal~imik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+kal~im+ik
        GLOSS:	[present-tense]+I+talk/speak/talk to+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W7
      OFFSETS:	27-29
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W8
      OFFSETS:	30-33
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Masr

 INPUT STRING:	الجديده
     IS_TRANS:	Aljdydh
        INDEX:	P5W9
      OFFSETS:	34-41
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiydap_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+Gidiah+[fem.sg.]

 INPUT STRING:	فباسم
     IS_TRANS:	fbAsm
        INDEX:	P5W10
      OFFSETS:	42-47
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAsim_1]
   UNSPLITVOC:	(fabAsim)
          POS:	CONJ+NOUN_PROP
          VOC:	fa+bAsim
        GLOSS:	so/and+Basem/Basim

 INPUT STRING:	مسكها
     IS_TRANS:	mskhA
        INDEX:	P5W11
      OFFSETS:	48-53
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(misikhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	misik+(null)+hA
        GLOSS:	refrain from/ceize/hold/seize+he/it+it/them/her

 INPUT STRING:	تريقه
     IS_TRANS:	tryqh
        INDEX:	P5W12
      OFFSETS:	54-59
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taroyaqap_1]
   UNSPLITVOC:	(taroyaqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	taroyaq+ap
        GLOSS:	irony+[fem.sg.]

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	at/have/possession/with+his/its

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right/against/towards/rights/law

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P7W3
      OFFSETS:	11-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	متصله
     IS_TRANS:	mtSlh
        INDEX:	P7W4
      OFFSETS:	16-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mit~iSil_1]
   UNSPLITVOC:	(mit~iSolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mit~iSol+ap
        GLOSS:	continuous/unceasing/connected+[fem.sg.]

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P7W5
      OFFSETS:	22-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tuquwl)
          POS:	IV3FS+IV
          VOC:	tu+quwl
        GLOSS:	it/they/she+said/say/be said/(for example)

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W6
      OFFSETS:	27-28
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	تثبت
     IS_TRANS:	tvbt
        INDEX:	P7W7
      OFFSETS:	29-33
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(tivobit)
          POS:	IV3FS+IV
          VOC:	ti+vobit
        GLOSS:	it/they/she+be stable/be established

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P7W8
      OFFSETS:	34-38
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P7W9
      OFFSETS:	39-42
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P7W10
      OFFSETS:	43-46
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W11
      OFFSETS:	47-48
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P7W12
      OFFSETS:	49-53
       TOKENS:	P7W14-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	بتتكلم
     IS_TRANS:	bttklm
        INDEX:	P7W13
      OFFSETS:	54-60
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~im)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tokal~im
        GLOSS:	[present-tense]+it/they/she+speak/talk/discuss

 INPUT STRING:	انجلش
     IS_TRANS:	Anjl$
        INDEX:	P7W14
      OFFSETS:	61-66
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Anjl$)
          POS:	FOREIGN
          VOC:	Anjl$
        GLOSS:	nogloss

 INPUT STRING:	لانكوتش
     IS_TRANS:	lAnkwt$
        INDEX:	P7W15
      OFFSETS:	67-74
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lAnkwt$)
          POS:	FOREIGN
          VOC:	lAnkwt$
        GLOSS:	nogloss

 INPUT STRING:	فيرى
     IS_TRANS:	fyrY
        INDEX:	P7W16
      OFFSETS:	75-79
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyrY)
          POS:	FOREIGN
          VOC:	fyrY
        GLOSS:	nogloss

 INPUT STRING:	بست
     IS_TRANS:	bst
        INDEX:	P7W17
      OFFSETS:	80-83
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bst)
          POS:	FOREIGN
          VOC:	bst
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W2
      OFFSETS:	2-4
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W3
      OFFSETS:	5-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P8W4
      OFFSETS:	10-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W5
      OFFSETS:	16-18
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مهزله
     IS_TRANS:	mhzlh
        INDEX:	P8W6
      OFFSETS:	19-24
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahozalap_1]
   UNSPLITVOC:	(mahozalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mahozal+ap
        GLOSS:	comedy/farce/comedies/farces+[fem.sg.]

 INPUT STRING:	للناس
     IS_TRANS:	llnAs
        INDEX:	P8W7
      OFFSETS:	25-30
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(liln~As)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nAs
        GLOSS:	for/to+the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W8
      OFFSETS:	31-35
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	فمستواهم
     IS_TRANS:	fmstwAhm
        INDEX:	P8W9
      OFFSETS:	36-44
       TOKENS:	P8W11-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
