 INPUT STRING:	احنا
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	ماشيين
     IS_TRANS:	mA$yyn
        INDEX:	P1W8
      OFFSETS:	33-39
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mA$oy+iyn
        GLOSS:	going/walking/on foot+two

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W9
      OFFSETS:	40-43
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	البحر
     IS_TRANS:	AlbHr
        INDEX:	P1W10
      OFFSETS:	44-49
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHor_1]
   UNSPLITVOC:	(AlbaHor)
          POS:	DET+NOUN
          VOC:	Al+baHor
        GLOSS:	the+sea/seas

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+car+[fem.sg.]

 INPUT STRING:	وقفت
     IS_TRANS:	wqft
        INDEX:	P2W2
      OFFSETS:	8-12
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiqofit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	wiqof+it
        GLOSS:	stand+it/they/she

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W3
      OFFSETS:	13-16
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W4
      OFFSETS:	17-19
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	كلمتك
     IS_TRANS:	klmtk
        INDEX:	P2W5
      OFFSETS:	20-25
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtik)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:2FS
          VOC:	kal~im+t+ik
        GLOSS:	talk/speak/talk to+I+you

 INPUT STRING:	بشوية
     IS_TRANS:	b$wyp
        INDEX:	P2W6
      OFFSETS:	26-31
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	(bi$uway~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+$uway~+ap
        GLOSS:	with/by+a little bit+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W7
      OFFSETS:	32-34
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	باوجه
     IS_TRANS:	bAwjh
        INDEX:	P2W8
      OFFSETS:	35-40
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAwjh)
          POS:	FOREIGN
          VOC:	bAwjh
        GLOSS:	nogloss

 INPUT STRING:	فك
     IS_TRANS:	fk
        INDEX:	P2W9
      OFFSETS:	41-43
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fk)
          POS:	FOREIGN
          VOC:	fk
        GLOSS:	nogloss

 INPUT STRING:	وأحمد
     IS_TRANS:	w>Hmd
        INDEX:	P2W10
      OFFSETS:	44-49
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(wi>aHomad)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+>aHomad
        GLOSS:	and+Ahmad/Ahmed

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P2W11
      OFFSETS:	50-54
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	بيحاول
     IS_TRANS:	byHAwl
        INDEX:	P2W12
      OFFSETS:	55-61
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(biyiHAwil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HAwil
        GLOSS:	[present-tense]+he/it+test/try/attempt/try out/test for ripeness/explore/invent/originate

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W13
      OFFSETS:	62-65
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyuh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W14
      OFFSETS:	66-67
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

