 INPUT STRING:	وحشتيني
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faxoriy_1]
   UNSPLITVOC:	(faxoriy)
          POS:	NOUN_PROP
          VOC:	faxoriy
        GLOSS:	Fakhri

 INPUT STRING:	الاسم
     IS_TRANS:	AlAsm
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlAsm)
          POS:	FOREIGN
          VOC:	AlAsm
        GLOSS:	nogloss

 INPUT STRING:	حيموتني
     IS_TRANS:	Hymwtny
        INDEX:	P3W2
      OFFSETS:	6-13
       TOKENS:	P3W2-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maw~it_1]
   UNSPLITVOC:	(Hayimaw~itniy)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1S
          VOC:	Ha+yi+maw~it+niy
        GLOSS:	will+he/it+kill+me

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	واحشاني
     IS_TRANS:	wAH$Any
        INDEX:	P4W2
      OFFSETS:	5-12
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wAH$Any)
          POS:	NO_FUNC
          VOC:	wAH$Any
        GLOSS:	nogloss

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P4W3
      OFFSETS:	13-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاكة
     IS_TRANS:	mEAkp
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mEAkp)
          POS:	TYPO
          VOC:	mEAkp
        GLOSS:	nogloss

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P6W2
      OFFSETS:	5-8
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	ترجعي
     IS_TRANS:	trjEy
        INDEX:	P6W3
      OFFSETS:	9-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(tirojaEiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+rojaE+iy
        GLOSS:	you+come back/go back/return back/return+you

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P6W4
      OFFSETS:	15-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P6W5
      OFFSETS:	18-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	أمي
     IS_TRANS:	>my
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>um~+iy
        GLOSS:	mother/maternal/mothers+my

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P7W2
      OFFSETS:	4-5
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ابويا
     IS_TRANS:	AbwyA
        INDEX:	P7W3
      OFFSETS:	6-11
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>abuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>abuw+iy
        GLOSS:	father/fathers/ancestors+my

 INPUT STRING:	نازلين
     IS_TRANS:	nAzlyn
        INDEX:	P7W4
      OFFSETS:	12-18
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzoliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	nAzol+iyn
        GLOSS:	descending/staying+[pl.]

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P7W5
      OFFSETS:	19-20
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	سايبني
     IS_TRANS:	sAybny
        INDEX:	P7W6
      OFFSETS:	21-27
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(sAybny)
          POS:	NO_FUNC
          VOC:	sAybny
        GLOSS:	nogloss

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P7W7
      OFFSETS:	28-30
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	أخويا
     IS_TRANS:	>xwyA
        INDEX:	P7W8
      OFFSETS:	31-36
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>axuw+iy
        GLOSS:	brothers/fraternity/brotherhood+my

 INPUT STRING:	حتشل
     IS_TRANS:	Ht$l
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$al~_1]
   UNSPLITVOC:	(HaAato$al~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+to$al~
        GLOSS:	will+I+paralyze/immobilize/neutralize/be paralyzed/be immobile

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W2
      OFFSETS:	5-6
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W3
      OFFSETS:	6-7
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W4
      OFFSETS:	7-8
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W5
      OFFSETS:	8-9
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W6
      OFFSETS:	9-10
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	bAbA
     IS_TRANS:	bAbA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(bAbA)
          POS:	NOUN
          VOC:	bAbA
        GLOSS:	Pope/daddy/father

 INPUT STRING:	محتاج
     IS_TRANS:	mHtAj
        INDEX:	P10W2
      OFFSETS:	5-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAj)
          POS:	ADJ
          VOC:	miHotAj
        GLOSS:	in need/wanting/requiring/needing/needy/poor/destitute/por

 INPUT STRING:	فلة
     IS_TRANS:	flp
        INDEX:	P10W3
      OFFSETS:	11-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flp)
          POS:	FOREIGN
          VOC:	flp
        GLOSS:	nogloss

 INPUT STRING:	أب
     IS_TRANS:	>b
        INDEX:	P10W4
      OFFSETS:	15-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>b)
          POS:	FOREIGN
          VOC:	>b
        GLOSS:	nogloss

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P11W2
      OFFSETS:	2-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W3
      OFFSETS:	7-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	رضيتش
     IS_TRANS:	rDyt$
        INDEX:	P11W4
      OFFSETS:	10-15
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(riDoyit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	riDoy+it+$
        GLOSS:	agree/be satisfied/accept/satisfy+it/they/she+not

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P11W5
      OFFSETS:	16-19
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I/me

 INPUT STRING:	انزا
     IS_TRANS:	AnzA
        INDEX:	P11W6
      OFFSETS:	20-24
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AnzA)
          POS:	TYPO
          VOC:	AnzA
        GLOSS:	nogloss

 INPUT STRING:	انزل
     IS_TRANS:	Anzl
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Aanozil)
          POS:	IV1S+IV
          VOC:	Aa+nozil
        GLOSS:	I+descend/come/desend/stay

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P12W2
      OFFSETS:	4-5
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	قصة
     IS_TRANS:	qSp
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiS~ap_1]
   UNSPLITVOC:	(qiS~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiS~+ap
        GLOSS:	story/stories+[fem.sg.]

 INPUT STRING:	حب
     IS_TRANS:	Hb
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~)
          POS:	NOUN
          VOC:	Hub~
        GLOSS:	love/affection/out of affection for/for love of

 INPUT STRING:	مرفت
     IS_TRANS:	mrft
        INDEX:	P13W3
      OFFSETS:	7-11
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mirofit_1]
   UNSPLITVOC:	(mirofit)
          POS:	NOUN_PROP
          VOC:	mirofit
        GLOSS:	Mervet

 INPUT STRING:	وعلاء
     IS_TRANS:	wElA'
        INDEX:	P13W4
      OFFSETS:	12-17
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(wiEalA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EalA'
        GLOSS:	and+Alaa

 INPUT STRING:	حتشل
     IS_TRANS:	Ht$l
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$al~_1]
   UNSPLITVOC:	(HaAato$al~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+to$al~
        GLOSS:	will+I+paralyze/immobilize/neutralize/be paralyzed/be immobile

 INPUT STRING:	حتشل
     IS_TRANS:	Ht$l
        INDEX:	P14W2
      OFFSETS:	5-9
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$al~_1]
   UNSPLITVOC:	(HaAato$al~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+to$al~
        GLOSS:	will+I+paralyze/immobilize/neutralize/be paralyzed/be immobile

 INPUT STRING:	حتشل
     IS_TRANS:	Ht$l
        INDEX:	P14W3
      OFFSETS:	10-14
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$al~_1]
   UNSPLITVOC:	(HaAato$al~)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+to$al~
        GLOSS:	will+I+paralyze/immobilize/neutralize/be paralyzed/be immobile

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	تخليها
     IS_TRANS:	txlyhA
        INDEX:	P15W2
      OFFSETS:	4-10
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(tixal~iyhA)
          POS:	IV3FS+IV+IVSUFF_DO:3FS
          VOC:	ti+xal~iy+hA
        GLOSS:	it/they/she+release/evacuate/allow/be released/be evacuated/be allowed+it/them/her

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P15W3
      OFFSETS:	11-16
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	انزلي
     IS_TRANS:	Anzly
        INDEX:	P15W4
      OFFSETS:	17-22
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Ainoziliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Ainozil+iy
        GLOSS:	descend/come/desend/stay+you

 INPUT STRING:	معاه
     IS_TRANS:	mEAh
        INDEX:	P15W5
      OFFSETS:	23-27
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	with+his/its

 INPUT STRING:	بنته
     IS_TRANS:	bnth
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	binot+uh
        GLOSS:	daughter/girl/daughters/girls+his/its

 INPUT STRING:	أولى
     IS_TRANS:	>wlY
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awlaY_1]
   UNSPLITVOC:	(>awlaY)
          POS:	ADJ_COMP
          VOC:	>awlaY
        GLOSS:	having priority/taking precedence

 INPUT STRING:	وبر
     IS_TRANS:	wbr
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bir~_1]
   UNSPLITVOC:	(wibir~)
          POS:	CONJ+NOUN
          VOC:	wi+bir~
        GLOSS:	and+charity/piety

 INPUT STRING:	الوالدين
     IS_TRANS:	AlwAldyn
        INDEX:	P17W2
      OFFSETS:	4-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(AlwAlidiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+wAlid+iyn
        GLOSS:	the+father/parents/father and mother/mother+two

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	رضيتش
     IS_TRANS:	rDyt$
        INDEX:	P18W2
      OFFSETS:	3-8
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(riDoyit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	riDoy+it+$
        GLOSS:	agree/be satisfied/accept/satisfy+it/they/she+not

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P18W3
      OFFSETS:	9-13
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
