 INPUT STRING:	شفتيني
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	16-17
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W5
      OFFSETS:	17-18
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	أخبار
     IS_TRANS:	>xbAr
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobAr)
          POS:	NOUN
          VOC:	>axobAr
        GLOSS:	news/report/reports

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P4W2
      OFFSETS:	5-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely/fine

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P6W3
      OFFSETS:	10-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/ such as

 INPUT STRING:	الزفت
     IS_TRANS:	Alzft
        INDEX:	P6W4
      OFFSETS:	13-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zifot_1]
   UNSPLITVOC:	(Alzifot)
          POS:	DET+NOUN
          VOC:	Al+zifot
        GLOSS:	the+asphalt/pitch

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P7W2
      OFFSETS:	3-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	PART+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	so/and+Allah/God

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P7W3
      OFFSETS:	9-14
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P7W4
      OFFSETS:	15-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	أعرف
     IS_TRANS:	>Erf
        INDEX:	P7W5
      OFFSETS:	18-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know/be known

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P7W6
      OFFSETS:	23-25
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P7W7
      OFFSETS:	26-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Alsafar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	حايخليكي
     IS_TRANS:	HAyxlyky
        INDEX:	P7W8
      OFFSETS:	32-40
       TOKENS:	P7W9-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(Hayixal~iykiy)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:2FS
          VOC:	Ha+yi+xal~iy+ik
        GLOSS:	will+he/it+let/make+you

 INPUT STRING:	بنوتة
     IS_TRANS:	bnwtp
        INDEX:	P7W9
      OFFSETS:	41-46
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bint_1]
   UNSPLITVOC:	(banuwtap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	banuwt+ap
        GLOSS:	little girle+[fem.sg.]

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P7W10
      OFFSETS:	47-50
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	بعتك
     IS_TRANS:	bEtk
        INDEX:	P7W11
      OFFSETS:	51-55
       TOKENS:	P7W14-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(baEat~ik)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	baEav+t+ik
        GLOSS:	send+he/it+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W12
      OFFSETS:	56-58
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P7W13
      OFFSETS:	59-63
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	لول
     IS_TRANS:	lwl
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwl]
   UNSPLITVOC:	(luwl)
          POS:	INTERJ
          VOC:	luwl
        GLOSS:	expressing happiness

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	just like that

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W2
      OFFSETS:	4-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	سوسو
     IS_TRANS:	swsw
        INDEX:	P9W3
      OFFSETS:	7-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwsuw_1]
   UNSPLITVOC:	(suwsuw)
          POS:	NOUN_PROP
          VOC:	suwsuw
        GLOSS:	Soso

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P9W4
      OFFSETS:	12-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	الذل
     IS_TRANS:	Al*l
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ul~_1]
   UNSPLITVOC:	(Al*ul~)
          POS:	DET+NOUN
          VOC:	Al+*ul~
        GLOSS:	the+humiliation/dishonor

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	function/make/act/do+he/it

 INPUT STRING:	فييا
     IS_TRANS:	fyyA
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fyyA)
          POS:	NO_FUNC
          VOC:	fyyA
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P10W4
      OFFSETS:	14-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	just like that

 INPUT STRING:	لول
     IS_TRANS:	lwl
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwl_1]
   UNSPLITVOC:	(luwl)
          POS:	INTERJ
          VOC:	luwl
        GLOSS:	expresing happiness

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ElY)
          POS:	FOREIGN
          VOC:	ElY
        GLOSS:	nogloss

 INPUT STRING:	وحر
     IS_TRANS:	wHr
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wHr)
          POS:	FOREIGN
          VOC:	wHr
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W3
      OFFSETS:	8-9
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ياب
     IS_TRANS:	yAb
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yAb)
          POS:	FOREIGN
          VOC:	yAb
        GLOSS:	nogloss

 INPUT STRING:	موزة
     IS_TRANS:	mwzp
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwz~ap_1]
   UNSPLITVOC:	(muwz~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwzz+ap
        GLOSS:	pretty women+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P14W1
      OFFSETS:	0-1
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P14W2
      OFFSETS:	2-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	being+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P14W3
      OFFSETS:	8-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W4
      OFFSETS:	12-13
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P15W2
      OFFSETS:	6-11
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P15W3
      OFFSETS:	12-15
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	قمتى
     IS_TRANS:	qmtY
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qumtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	qum+tiy
        GLOSS:	undertake/carry out/rise/stand/get up/do/be based (on)+you

 INPUT STRING:	بالأجازة
     IS_TRANS:	bAl>jAzp
        INDEX:	P16W3
      OFFSETS:	10-18
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(bil>ajAzap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+>ajAz+ap
        GLOSS:	with/by+the+furlough/permit/holiday/leave/certificate/degree/forgiveness/pardon/holiday+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P16W4
      OFFSETS:	19-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	ADV
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement/well

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P16W5
      OFFSETS:	24-26
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	INTERJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W6
      OFFSETS:	27-28
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	15
     IS_TRANS:	15
        INDEX:	P17W1
      OFFSETS:	0-2
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(15)
          POS:	NOUN_NUM
          VOC:	15
        GLOSS:	15

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P17W2
      OFFSETS:	3-5
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P17W3
      OFFSETS:	6-9
