 INPUT STRING:	امنية
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P8W3
      OFFSETS:	9-11
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P8W4
      OFFSETS:	12-17
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W5
      OFFSETS:	18-20
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	نهى
     IS_TRANS:	nhY
        INDEX:	P8W6
      OFFSETS:	21-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuhaY_1]
   UNSPLITVOC:	(nuhaY)
          POS:	NOUN_PROP
          VOC:	nuhaY
        GLOSS:	Noha

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P8W7
      OFFSETS:	25-28
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	تعبانة
     IS_TRANS:	tEbAnp
        INDEX:	P8W8
      OFFSETS:	29-35
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobAn_1]
   UNSPLITVOC:	(taEobAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	taEobAn+ap
        GLOSS:	tired/weary/oppressed/overburdened/suppressed/fed up/stressed/exhausted+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P8W9
      OFFSETS:	36-39
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	ورحت
     IS_TRANS:	wrHt
        INDEX:	P8W10
      OFFSETS:	40-44
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiruHt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+ruH+t
        GLOSS:	and+begin/go+I

 INPUT STRING:	لماما
     IS_TRANS:	lmAmA
        INDEX:	P8W11
      OFFSETS:	45-50
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(limAmA)
          POS:	PREP+NOUN
          VOC:	li+mAmA
        GLOSS:	for/to+mama

 INPUT STRING:	فجأة
     IS_TRANS:	fj>p
        INDEX:	P8W12
      OFFSETS:	51-55
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(fajo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fajo>+ap
        GLOSS:	suddenly+[fem.sg.]

 INPUT STRING:	انهاردة
     IS_TRANS:	AnhArdp
        INDEX:	P8W13
      OFFSETS:	56-63
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ain~ahArodap_1]
   UNSPLITVOC:	(Ain~ahArodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Ain~ahArod+ap
        GLOSS:	today+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P8W14
      OFFSETS:	64-68
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P8W15
      OFFSETS:	69-73
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	للدكتور
     IS_TRANS:	lldktwr
        INDEX:	P8W16
      OFFSETS:	74-81
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(lild~ukotuwr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dukotuwr
        GLOSS:	for/to+the+doctor

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P9W3
      OFFSETS:	8-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W4
      OFFSETS:	12-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	هنتقابل
     IS_TRANS:	hntqAbl
        INDEX:	P9W5
      OFFSETS:	17-24
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoqAbil_1]
   UNSPLITVOC:	(HanitoqAbil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+toqAbil
        GLOSS:	will+we+meet together

 INPUT STRING:	الخميس
     IS_TRANS:	Alxmys
        INDEX:	P9W6
      OFFSETS:	25-31
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamiys_1]
   UNSPLITVOC:	(Alxamiys)
          POS:	DET+NOUN
          VOC:	Al+xamiys
        GLOSS:	the+Thursday

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P9W7
      OFFSETS:	32-36
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W8
      OFFSETS:	37-40
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P9W9
      OFFSETS:	41-45
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	ماشية
     IS_TRANS:	mA$yp
        INDEX:	P9W10
      OFFSETS:	46-51
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P10W2
      OFFSETS:	3-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W3
      OFFSETS:	7-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa_1]
   UNSPLITVOC:	(fa)
          POS:	CONJ
          VOC:	fa
        GLOSS:	and/so

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P11W2
      OFFSETS:	2-6
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	استعداد
     IS_TRANS:	AstEdAd
        INDEX:	P11W3
      OFFSETS:	7-14
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiEodAd_1]
   UNSPLITVOC:	(AisotiEodAd)
          POS:	NOUN
          VOC:	AisotiEodAd
        GLOSS:	willingness/readiness

 INPUT STRING:	تيجي
     IS_TRANS:	tyjy
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(tiyojiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+yoj+iy
        GLOSS:	you+occur/came/come/reach/arrive+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W5
      OFFSETS:	20-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P11W6
      OFFSETS:	23-26
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W7
      OFFSETS:	27-31
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	ألم
     IS_TRANS:	>lm
        INDEX:	P12W2
      OFFSETS:	5-8
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alam_1]
   UNSPLITVOC:	(>alam)
          POS:	NOUN
          VOC:	>alam
        GLOSS:	pain/suffering

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W3
      OFFSETS:	9-12
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W4
      OFFSETS:	13-15
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيقل
     IS_TRANS:	byql
        INDEX:	P12W5
      OFFSETS:	16-20
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(biyiqil~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+qil~
        GLOSS:	[present-tense]+he/it+be less/decrease/diminish/decreased

 INPUT STRING:	والدكتور
     IS_TRANS:	wAldktwr
        INDEX:	P12W6
      OFFSETS:	21-29
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(wiAldukotuwr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+dukotuwr
        GLOSS:	and+the+doctor

 INPUT STRING:	اداني
     IS_TRANS:	AdAny
        INDEX:	P12W7
      OFFSETS:	30-35
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Aid~Aniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	Aid~A+(null)+niy
        GLOSS:	give/provide/hand over/be given/be provided/carry out/perform/lead+he/it+me

 INPUT STRING:	لبوس
     IS_TRANS:	lbws
        INDEX:	P12W8
      OFFSETS:	36-40
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lubuws_1]
   UNSPLITVOC:	(lubuws)
          POS:	NOUN
          VOC:	lubuws
        GLOSS:	suppositories

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P12W9
      OFFSETS:	41-46
       TOKENS:	P12W13-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_9]
   UNSPLITVOC:	(wimafiy$)
