 INPUT STRING:	مها
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W4
      OFFSETS:	11-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P7W5
      OFFSETS:	16-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_2]
   UNSPLITVOC:	(HaSal)
          POS:	PV
          VOC:	HaSal
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W6
      OFFSETS:	19-20
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

