 INPUT STRING:	اوكي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(faxal~iyhA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	fa+xal~iy+(null)+hA
        GLOSS:	so/and+release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	ليوم
     IS_TRANS:	lywm
        INDEX:	P2W12
      OFFSETS:	50-54
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(liyawm)
          POS:	PREP+NOUN
          VOC:	li+yawm
        GLOSS:	for/to+today/day/some day/ever/days

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P2W13
      OFFSETS:	55-59
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	NOUN
          VOC:	vAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W14
      OFFSETS:	60-61
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

