 INPUT STRING:	أفندم
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	موافق
     IS_TRANS:	mwAfq
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAfiq_1]
   UNSPLITVOC:	(muwAfiq)
          POS:	ADJ
          VOC:	muwAfiq
        GLOSS:	agreeing/consenting/corresponding to

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جيش
     IS_TRANS:	jy$
        INDEX:	P3W4
      OFFSETS:	14-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jy$)
          POS:	FOREIGN
          VOC:	jy$
        GLOSS:	nogloss

 INPUT STRING:	أدى
     IS_TRANS:	>dY
        INDEX:	P3W5
      OFFSETS:	18-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W6
      OFFSETS:	22-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بيات
     IS_TRANS:	byAt
        INDEX:	P3W7
      OFFSETS:	25-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biyAt_1]
   UNSPLITVOC:	(biyAt)
          POS:	NOUN
          VOC:	biyAt
        GLOSS:	lodging/overnight stop/flat

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P3W8
      OFFSETS:	30-33
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W9
      OFFSETS:	34-36
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	سألتوش
     IS_TRANS:	s>ltw$
        INDEX:	P3W10
      OFFSETS:	37-43
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(s>ltw$)
          POS:	NO_FUNC
          VOC:	s>ltw$
        GLOSS:	nogloss

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	Hence

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	تمشي
     IS_TRANS:	tm$y
        INDEX:	P4W3
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$aY_1]
   UNSPLITVOC:	(timo$iy)
          POS:	IV2MS+IV
          VOC:	ti+mo$iy
        GLOSS:	you+walk/proceed

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P4W4
      OFFSETS:	14-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	جايز
     IS_TRANS:	jAyz
        INDEX:	P4W5
      OFFSETS:	18-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jAyz)
          POS:	FOREIGN
          VOC:	jAyz
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W6
      OFFSETS:	23-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	ييجوا
     IS_TRANS:	yyjwA
        INDEX:	P4W7
      OFFSETS:	26-31
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(yijuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+j+uwA
        GLOSS:	they+occur/came/come/reach/arrive+we

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W8
      OFFSETS:	32-35
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	خرة
     IS_TRANS:	xrp
        INDEX:	P4W9
      OFFSETS:	36-39
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xarap_1]
   UNSPLITVOC:	(xarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xar+ap
        GLOSS:	shit+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P4W10
      OFFSETS:	40-42
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P5W2
      OFFSETS:	3-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W3
      OFFSETS:	7-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حأجي
     IS_TRANS:	H>jy
        INDEX:	P5W4
      OFFSETS:	12-16
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(HaAajiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jiy
        GLOSS:	will+I+came/come

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بتقوليه
     IS_TRANS:	btqwlyh
        INDEX:	P6W4
      OFFSETS:	13-20
       TOKENS:	P6W4-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwliyh)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	bi+ti+quwl+iy+uh
        GLOSS:	[present-tense]+you+said/say/be said/(for example)+you+it/him

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W5
      OFFSETS:	21-23
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	جب
     IS_TRANS:	jb
        INDEX:	P6W6
      OFFSETS:	24-26
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jb)
          POS:	FOREIGN
          VOC:	jb
        GLOSS:	nogloss

 INPUT STRING:	بهزر
     IS_TRANS:	bhzr
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haz~ar_1]
   UNSPLITVOC:	(bAahaz~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+haz~ar
        GLOSS:	[present-tense]+I+joke/make fun

 INPUT STRING:	معاكو
     IS_TRANS:	mEAkw
        INDEX:	P7W2
      OFFSETS:	5-10
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	maEa+kuw
        GLOSS:	with+your

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	بتخرفي
     IS_TRANS:	btxrfy
        INDEX:	P8W2
      OFFSETS:	4-10
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xar~f_1]
   UNSPLITVOC:	(bitixar~fiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+xar~f+iy
        GLOSS:	[present-tense]+you+be senile/drivel+you [fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W3
      OFFSETS:	11-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عيني
     IS_TRANS:	Eyny
        INDEX:	P8W4
      OFFSETS:	14-18
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eayniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eayn+iy
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/ain (Arabic letter)+my

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P8W5
      OFFSETS:	19-22
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness

 INPUT STRING:	ه
     IS_TRANS:	h
        INDEX:	P8W6
      OFFSETS:	23-24
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h)
          POS:	NO_FUNC
          VOC:	h
        GLOSS:	nogloss

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P8W7
      OFFSETS:	25-28
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<yh)
          POS:	FOREIGN
          VOC:	<yh
        GLOSS:	nogloss

 INPUT STRING:	رترد
     IS_TRANS:	rtrd
        INDEX:	P8W8
      OFFSETS:	29-33
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rtrd)
          POS:	FOREIGN
          VOC:	rtrd
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	حأشوف
     IS_TRANS:	H>$wf
        INDEX:	P10W2
      OFFSETS:	4-9
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$uwf
        GLOSS:	will+I+look

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	emphasis

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P10W4
      OFFSETS:	13-15
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	رايحة
     IS_TRANS:	rAyHp
        INDEX:	P10W5
      OFFSETS:	16-21
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rAyoH+ap
        GLOSS:	going+[fem.sg.]

 INPUT STRING:	كارفور
     IS_TRANS:	kArfwr
        INDEX:	P10W6
      OFFSETS:	22-28
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kArfuwr_1]
   UNSPLITVOC:	(kArfuwr)
          POS:	NOUN_PROP
          VOC:	kArfuwr
        GLOSS:	Carrefour

 INPUT STRING:	جوا
     IS_TRANS:	jwA
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jwA)
          POS:	FOREIGN
          VOC:	jwA
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W2
      OFFSETS:	4-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dh)
          POS:	FOREIGN
          VOC:	dh
        GLOSS:	nogloss

 INPUT STRING:	يورسيلف
     IS_TRANS:	ywrsylf
        INDEX:	P11W3
      OFFSETS:	7-14
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ywrsylf)
          POS:	FOREIGN
          VOC:	ywrsylf
        GLOSS:	nogloss

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P11W4
      OFFSETS:	15-18
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	هاتي
     IS_TRANS:	hAty
        INDEX:	P11W5
      OFFSETS:	19-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAt_1]
   UNSPLITVOC:	(hAtiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	hAt+iy
        GLOSS:	give+you

 INPUT STRING:	الكتاب
     IS_TRANS:	AlktAb
        INDEX:	P11W6
      OFFSETS:	24-30
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(AlkitAb)
          POS:	DET+NOUN
          VOC:	Al+kitAb
        GLOSS:	the+book/books

 INPUT STRING:	أبوس
     IS_TRANS:	>bws
        INDEX:	P11W7
      OFFSETS:	31-35
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAs_1]
   UNSPLITVOC:	(Aabuws)
          POS:	IV1S+IV
          VOC:	Aa+buws
        GLOSS:	I+kiss

 INPUT STRING:	إيدك
     IS_TRANS:	<ydk
        INDEX:	P11W8
      OFFSETS:	36-40
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	<iyd+ik
        GLOSS:	hands/hand+your

 INPUT STRING:	رغدة
     IS_TRANS:	rgdp
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragodap_1]
   UNSPLITVOC:	(ragodap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	ragod+ap
        GLOSS:	Raghda+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W2
      OFFSETS:	5-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بترد
     IS_TRANS:	btrd
        INDEX:	P12W3
      OFFSETS:	8-12
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(bitirud~)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+rud~
        GLOSS:	[present-tense]+it/they/she+answer/reply/return/be returned/be given back

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W4
      OFFSETS:	13-15
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P12W5
      OFFSETS:	16-21
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	انزل
     IS_TRANS:	Anzl
