 INPUT STRING:	عاوزه
   UNSPLITVOC:	(bukorah)
          POS:	NOUN
          VOC:	bukorah
        GLOSS:	tomorrow/sometime in the future/meal/luncheon/breakfast/lunch

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P3W9
      OFFSETS:	47-49
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W10
      OFFSETS:	50-52
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حيتعب
     IS_TRANS:	HytEb
        INDEX:	P3W11
      OFFSETS:	53-58
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEab_1]
   UNSPLITVOC:	(HayitoEib)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+toEib
        GLOSS:	will+he/it+be tired/work hard/be hurled down/become exhausted/become tired

 INPUT STRING:	سيادتك
     IS_TRANS:	syAdtk
        INDEX:	P3W12
      OFFSETS:	59-65
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(siyAdtak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	siyAd+ap+ak
        GLOSS:	sovereignty/supremacy/His/Her Excellency+[fem.sg.]+your

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aawok~ayoh_1]
   UNSPLITVOC:	(Aawok~ayoh)
          POS:	INTERJ
          VOC:	Aawok~ayoh
        GLOSS:	ok

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P4W2
      OFFSETS:	6-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	حأكلمكو
     IS_TRANS:	H>klmkw
        INDEX:	P4W3
      OFFSETS:	10-17
       TOKENS:	P4W3-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(HaAakal~imkuw)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2P
          VOC:	Ha+Aa+kal~im+kuw
        GLOSS:	will+I+talk/speak/talk to+you

 INPUT STRING:	حأكلمها
     IS_TRANS:	H>klmhA
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(HaAakal~imhA)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	Ha+Aa+kal~im+hA
        GLOSS:	will+I+talk/speak/talk to+it/them/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W2
      OFFSETS:	8-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	9
     IS_TRANS:	9
        INDEX:	P5W3
      OFFSETS:	12-13
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	الرقم
     IS_TRANS:	Alrqm
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(Alraqam)
          POS:	DET+NOUN
          VOC:	Al+raqam
        GLOSS:	the+numerals/number/numbers/numeral

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W3
      OFFSETS:	9-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEaiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+me

 INPUT STRING:	حتيجي
     IS_TRANS:	Htyjy
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(Hatiyojiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+yoj+iy
        GLOSS:	will+you+occur/came/come/reach/arrive+you

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P8W2
      OFFSETS:	6-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W3
      OFFSETS:	10-11
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P8W4
      OFFSETS:	12-16
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	أشوف
     IS_TRANS:	>$wf
        INDEX:	P8W5
      OFFSETS:	17-21
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwf)
          POS:	IV1S+IV
          VOC:	Aa+$uwf
        GLOSS:	I+look

 INPUT STRING:	حأسافر
     IS_TRANS:	H>sAfr
        INDEX:	P8W6
      OFFSETS:	22-28
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(HaAasAfir)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+sAfir
        GLOSS:	will+I+travel

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P8W7
      OFFSETS:	29-33
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	حأمشي
     IS_TRANS:	H>m$y
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(HaAamo$iy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+mo$iy
        GLOSS:	will+I+go/walk

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تتأخريش
     IS_TRANS:	tt>xry$
        INDEX:	P10W2
      OFFSETS:	3-10
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito>ax~ar_1]
   UNSPLITVOC:	(tito>ax~ariy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+to>ax~ar+iy+$
        GLOSS:	you+be postponed/be late/go back/retreat/regress/deteriorate+you+not

 INPUT STRING:	آخذ
     IS_TRANS:	|x*
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(>axa*)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>axa*+(null)
        GLOSS:	take/begin/be taken+he/it

 INPUT STRING:	إذن
     IS_TRANS:	<*n
        INDEX:	P11W2
      OFFSETS:	4-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(<i*on)
          POS:	NOUN
          VOC:	<i*on
        GLOSS:	permission/authorization/bonds

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P11W3
      OFFSETS:	8-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W4
      OFFSETS:	12-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P13W2
      OFFSETS:	3-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P13W3
      OFFSETS:	9-11
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	person

 INPUT STRING:	يمشي
     IS_TRANS:	ym$y
        INDEX:	P13W4
      OFFSETS:	12-16
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(yimo$iy)
          POS:	IV3MS+IV
          VOC:	yi+mo$iy
        GLOSS:	he/it+go/walk

 INPUT STRING:	بدري
     IS_TRANS:	bdry
        INDEX:	P13W5
      OFFSETS:	17-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badoriy_1]
   UNSPLITVOC:	(badoriy)
          POS:	NOUN
          VOC:	badoriy
        GLOSS:	early/some time ago

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P13W6
      OFFSETS:	22-26
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	اللجنة
     IS_TRANS:	Alljnp
        INDEX:	P13W7
      OFFSETS:	27-33
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(Allajonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lajon+ap
        GLOSS:	the+council/committee/commission/councils/committees/commissions+[fem.sg.]

 INPUT STRING:	بتاعة
     IS_TRANS:	btAEp
        INDEX:	P13W8
      OFFSETS:	34-39
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	belonging+[fem.sg.]

 INPUT STRING:	الوزارة
     IS_TRANS:	AlwzArp
        INDEX:	P13W9
      OFFSETS:	40-47
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(AlwizArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wizAr+ap
        GLOSS:	the+ministry/ministries+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W3
      OFFSETS:	8-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حأمشي
     IS_TRANS:	H>m$y
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(HaAamo$iy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+mo$iy
        GLOSS:	will+I+go/walk

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P15W2
      OFFSETS:	6-11
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHodap)
