 INPUT STRING:	وصلت
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W4
      OFFSETS:	12-13
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اظن
     IS_TRANS:	AZn
        INDEX:	P5W5
      OFFSETS:	14-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zan~_1]
   UNSPLITVOC:	(AaZun~)
          POS:	IV1S+IV
          VOC:	Aa+Zun~
        GLOSS:	I+think/believe/presume

 INPUT STRING:	فرحت
     IS_TRANS:	frHt
        INDEX:	P5W6
      OFFSETS:	18-22
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firiH_1]
   UNSPLITVOC:	(firoHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	firoH+it
        GLOSS:	gladden/make merry/rejoice/be glad+it/they/she

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P5W7
      OFFSETS:	23-26
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	شافتك
     IS_TRANS:	$Aftk
        INDEX:	P5W8
      OFFSETS:	27-32
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Afitik)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:2FS
          VOC:	$Af+it+ik
        GLOSS:	look+it/they/she+you

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P5W9
      OFFSETS:	33-37
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	
     IS_TRANS:	&#xe415;&#xe415;
        INDEX:	P5W10
      OFFSETS:	38-40
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe415;&#xe415;)
          POS:	NO_FUNC
          VOC:	??
        GLOSS:	nogloss

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P6W2
      OFFSETS:	3-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P6W4
      OFFSETS:	13-17
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P6W5
      OFFSETS:	18-22
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	وملما
     IS_TRANS:	wmlmA
        INDEX:	P6W6
      OFFSETS:	23-28
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wmlmA)
          POS:	TYPO
          VOC:	wmlmA
        GLOSS:	nogloss

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P7W2
      OFFSETS:	4-5
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P7W3
      OFFSETS:	5-6
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	وبتقولي
     IS_TRANS:	wbtqwly
        INDEX:	P8W2
      OFFSETS:	3-10
       TOKENS:	P8W2-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(wibituqw_liy)
          POS:	CONJ+PROG_PART+IV3FS+IV+PREP+PRON_1S
          VOC:	wi+bi+tu+qw+li+iy
        GLOSS:	and+[present-tense]+it/they/she+say/tell+to/for+I

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P8W3
      OFFSETS:	11-15
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W4
      OFFSETS:	16-20
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	مقبوضة
     IS_TRANS:	mqbwDp
        INDEX:	P8W5
      OFFSETS:	21-27
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maqobuwD_2]
   UNSPLITVOC:	(maqobuwDap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maqobuwD+ap
        GLOSS:	clenched+[fem.sg.]

 INPUT STRING:	ايوا
     IS_TRANS:	AywA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AywA_1]
   UNSPLITVOC:	(AywA)
          POS:	INTERJ
          VOC:	AywA
        GLOSS:	yes

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	مكتئب
     IS_TRANS:	mkt}b
        INDEX:	P9W4
      OFFSETS:	14-19
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukota}ib_1]
   UNSPLITVOC:	(mukota}ib)
          POS:	NOUN
          VOC:	mukota}ib
        GLOSS:	depressed/dejected/frowning/grived/glomy/doleful/melancholic/depressing

 INPUT STRING:	
     IS_TRANS:	&#xe00e;
        INDEX:	P9W5
      OFFSETS:	20-21
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe00e;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	صلحي
     IS_TRANS:	SlHy
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(SlHy)
          POS:	TYPO
          VOC:	SlHy
        GLOSS:	nogloss

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P10W3
      OFFSETS:	10-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lis~ap_1]
   UNSPLITVOC:	(lis~ap)
          POS:	ADV
          VOC:	lis~ap
        GLOSS:	yet/still

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W4
      OFFSETS:	13-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W5
      OFFSETS:	14-15
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W6
