 INPUT STRING:	لسه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	يهمك
     IS_TRANS:	yhmk
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(yihim~ik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+him~+ik
        GLOSS:	he/it+be ready/intend+you

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W2
      OFFSETS:	6-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P4W2
      OFFSETS:	6-9
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P4W3
      OFFSETS:	10-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أبقى
     IS_TRANS:	>bqY
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(AaboqaY)
          POS:	IV1S+IV
          VOC:	Aa+boqaY
        GLOSS:	I+become/begin/start/be/begin a new day

 INPUT STRING:	أتكلم
     IS_TRANS:	>tklm
        INDEX:	P5W3
      OFFSETS:	11-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aatokal~im)
          POS:	IV1S+IV
          VOC:	Aa+tokal~im
        GLOSS:	I+speak/talk/discuss

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P5W4
      OFFSETS:	17-22
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تفضي
     IS_TRANS:	tfDy
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDA_1]
   UNSPLITVOC:	(tifoDiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+foD+iy
        GLOSS:	you+become spacious+you

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P7W3
      OFFSETS:	9-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	ابقى
     IS_TRANS:	AbqY
        INDEX:	P7W4
      OFFSETS:	13-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(Aiboqiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiboq+iy
        GLOSS:	become/begin/start/be/begin a new day+you

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P7W5
      OFFSETS:	18-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P7W6
      OFFSETS:	23-25
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	وكده
     IS_TRANS:	wkdh
        INDEX:	P7W7
      OFFSETS:	26-30
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wikidah)
          POS:	CONJ+NOUN
          VOC:	wi+kidah
        GLOSS:	and+this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P7W8
      OFFSETS:	31-35
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W9
      OFFSETS:	36-39
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W10
      OFFSETS:	40-42
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W11
      OFFSETS:	43-45
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	أكلمك
     IS_TRANS:	>klmk
        INDEX:	P7W12
      OFFSETS:	46-51
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+kal~im+ik
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P7W13
      OFFSETS:	52-54
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(|h)
          POS:	FOREIGN
          VOC:	|h
        GLOSS:	nogloss

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P7W14
      OFFSETS:	55-58
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bSy)
          POS:	FOREIGN
          VOC:	bSy
        GLOSS:	nogloss

 INPUT STRING:	ياب
     IS_TRANS:	yAb
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yAb)
          POS:	FOREIGN
          VOC:	yAb
        GLOSS:	nogloss

 INPUT STRING:	ببي
     IS_TRANS:	bby
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bby)
          POS:	FOREIGN
          VOC:	bby
        GLOSS:	nogloss

 INPUT STRING:	ريمي
     IS_TRANS:	rymy
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riymiy_1]
   UNSPLITVOC:	(riymiy)
          POS:	NOUN_PROP
          VOC:	riymiy
        GLOSS:	Rimi

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P9W3
      OFFSETS:	9-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P9W4
      OFFSETS:	16-19
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	فاصلة
     IS_TRANS:	fASlp
        INDEX:	P9W5
      OFFSETS:	20-25
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fASil_1]
   UNSPLITVOC:	(fASolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fASol+ap
        GLOSS:	conclusive/decisive/stopped+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P9W6
      OFFSETS:	26-30
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P10W2
      OFFSETS:	4-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

