 INPUT STRING:	شفتك
   UNSPLITVOC:	(waHa$tiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	waHa$+tiy+niy
        GLOSS:	miss+you+me

 INPUT STRING:	أنيوأي
     IS_TRANS:	>nyw>y
        INDEX:	P6W2
      OFFSETS:	8-14
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>nyw>y)
          POS:	FOREIGN
          VOC:	>nyw>y
        GLOSS:	nogloss

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P7W3
      OFFSETS:	11-14
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~b]
   UNSPLITVOC:	(Tay~b)
          POS:	INTERJ
          VOC:	Tay~b
        GLOSS:	ok

 INPUT STRING:	اسألي
     IS_TRANS:	As>ly
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aiso>aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiso>al+iy
        GLOSS:	ask/inquire/request/be asked+you

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P8W3
      OFFSETS:	10-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ElyA)
          POS:	NO_FUNC
          VOC:	ElyA
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P8W4
      OFFSETS:	15-19
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P9W2
      OFFSETS:	3-5
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>m)
          POS:	FOREIGN
          VOC:	>m
        GLOSS:	nogloss

 INPUT STRING:	سوري
     IS_TRANS:	swry
        INDEX:	P9W3
      OFFSETS:	6-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(swry)
          POS:	FOREIGN
          VOC:	swry
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P9W4
      OFFSETS:	11-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ملخومين
     IS_TRANS:	mlxwmyn
        INDEX:	P9W5
      OFFSETS:	13-20
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloxuwm_1]
   UNSPLITVOC:	(maloxuwmiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maloxuwm+iyn
        GLOSS:	awkward/clumsy+two

 INPUT STRING:	فالفنال
     IS_TRANS:	fAlfnAl
        INDEX:	P9W6
      OFFSETS:	21-28
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fAlfnAl)
          POS:	FOREIGN
          VOC:	fAlfnAl
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	INTERJ
          VOC:	bas~
        GLOSS:	hush/but

 INPUT STRING:	افتكريني
     IS_TRANS:	Aftkryny
        INDEX:	P10W2
      OFFSETS:	3-11
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ifotikir_1]
   UNSPLITVOC:	(<ifotikiriyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	<ifotikir+iy+niy
        GLOSS:	remember+you+me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P11W2
      OFFSETS:	2-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAyom_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADV+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	بأفتكرك
     IS_TRANS:	b>ftkrk
        INDEX:	P11W3
      OFFSETS:	8-15
       TOKENS:	P11W3-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aifotakar_1]
   UNSPLITVOC:	(bAafotikorik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+fotikor+ik
        GLOSS:	[present-tense]+I+reflect/ponder/believe/think+you

 INPUT STRING:	أصلاً
     IS_TRANS:	>SlAF
        INDEX:	P11W4
      OFFSETS:	16-21
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root+[acc.indef.]

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hsb)
          POS:	FOREIGN
          VOC:	Hsb
        GLOSS:	nogloss

 INPUT STRING:	فالدعاء
     IS_TRANS:	fAldEA'
        INDEX:	P12W2
      OFFSETS:	4-11
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duEA'_1]
   UNSPLITVOC:	(fiAlduEA')
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+duEA'
        GLOSS:	in+the+call/request/invocation

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P14W1
      OFFSETS:	0-1
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ادعي
     IS_TRANS:	AdEy
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(AidoEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AidoE+iy
        GLOSS:	call/invite/be called/be invited+you

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P15W2
      OFFSETS:	5-7
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P15W3
      OFFSETS:	8-12
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	NOUN_QUANT
          VOC:	>akovar
        GLOSS:	more

 INPUT STRING:	فلس
     IS_TRANS:	fls
        INDEX:	P15W4
      OFFSETS:	13-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fls)
          POS:	FOREIGN
          VOC:	fls
        GLOSS:	nogloss

 INPUT STRING:	دايماً
     IS_TRANS:	dAymAF
        INDEX:	P16W1
      OFFSETS:	0-6
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(dAymAF)
          POS:	ADV
          VOC:	dAymAF
        GLOSS:	always

 INPUT STRING:	مواه
     IS_TRANS:	mwAh
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mwAh_1]
   UNSPLITVOC:	(mwAh)
          POS:	INTERJ
          VOC:	mwAh
        GLOSS:	kissing

 INPUT STRING:	وبته
     IS_TRANS:	wbth
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wbth)
          POS:	FOREIGN
          VOC:	wbth
        GLOSS:	nogloss

 INPUT STRING:	قرآن
     IS_TRANS:	qr|n
        INDEX:	P18W2
      OFFSETS:	5-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quro|n_1]
   UNSPLITVOC:	(quro|n)
          POS:	NOUN_PROP
          VOC:	quro|n
        GLOSS:	Quran

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P18W3
      OFFSETS:	10-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W4
      OFFSETS:	14-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	رجعش
     IS_TRANS:	rjE$
        INDEX:	P18W5
      OFFSETS:	17-21
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijiE$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	rijiE+(null)+$
        GLOSS:	come back/go back/return back/return+he/it+not

 INPUT STRING:	فالنادي
     IS_TRANS:	fAlnAdy
        INDEX:	P18W6
      OFFSETS:	22-29
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(fiAlnAdiy)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+nAdiy
        GLOSS:	in+the+club/association/clubs/associations

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P18W7
      OFFSETS:	30-31
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	نادي
     IS_TRANS:	nAdy
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(nAdiy)
          POS:	NOUN
          VOC:	nAdiy
        GLOSS:	club/association/clubs/associations

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P19W2
      OFFSETS:	4-5
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	موهة
     IS_TRANS:	mwhp
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mwhp_1]
   UNSPLITVOC:	(mwhp)
          POS:	INTERJ
          VOC:	mwhp
        GLOSS:	kissing

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مرتبطة
     IS_TRANS:	mrtbTp
        INDEX:	P22W2
      OFFSETS:	5-11
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murotabiT_1]
   UNSPLITVOC:	(murotabiTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	murotabiT+ap
        GLOSS:	connected/linked+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P22W3
