 INPUT STRING:	معلش
        LEMMA:	[nit~_1]
   UNSPLITVOC:	(Alnit~)
          POS:	DET+NOUN
          VOC:	Al+nit~
        GLOSS:	the+net

 INPUT STRING:	واقولك
     IS_TRANS:	wAqwlk
        INDEX:	P3W7
      OFFSETS:	29-35
       TOKENS:	P3W8-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiAaquwl_lik)
          POS:	CONJ+IV1S+IV+PREP+PRON_2FS
          VOC:	wi+Aa+quwl+li+ik
        GLOSS:	and+I+say+to/for+you

 INPUT STRING:	اوك
     IS_TRANS:	Awk
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Awk)
          POS:	FOREIGN
          VOC:	Awk
        GLOSS:	nogloss

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P4W3
      OFFSETS:	10-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	needing/liking/requiring/wanting/desiring+[pl.]

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P4W4
      OFFSETS:	17-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	الحجز
     IS_TRANS:	AlHjz
        INDEX:	P4W5
      OFFSETS:	22-27
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajoz_1]
   UNSPLITVOC:	(AlHajoz)
          POS:	DET+NOUN
          VOC:	Al+Hajoz
        GLOSS:	the+detention/reservation/confiscation

 INPUT STRING:	الدراسه
     IS_TRANS:	AldrAsh
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(AldirAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dirAs+ap
        GLOSS:	the+study/studies/research+[fem.sg.]

 INPUT STRING:	تخلص
     IS_TRANS:	txlS
        INDEX:	P5W2
      OFFSETS:	8-12
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(tixolaS)
          POS:	IV3FS+IV
          VOC:	ti+xolaS
        GLOSS:	it/they/she+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P5W3
      OFFSETS:	13-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W4
      OFFSETS:	14-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P5W5
      OFFSETS:	15-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P6W2
      OFFSETS:	3-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Alsanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	الجديدة
     IS_TRANS:	Aljdydp
        INDEX:	P6W3
      OFFSETS:	9-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	تبدأ
     IS_TRANS:	tbd>
        INDEX:	P6W4
      OFFSETS:	17-21
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(tiboda>)
          POS:	IV3FS+IV
          VOC:	ti+boda>
        GLOSS:	it/they/she+start/begin

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P6W5
      OFFSETS:	22-26
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W6
      OFFSETS:	26-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W7
      OFFSETS:	27-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	8
     IS_TRANS:	8
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(8)
          POS:	NOUN_NUM
          VOC:	8
        GLOSS:	8

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W2
      OFFSETS:	1-2
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	31
     IS_TRANS:	31
        INDEX:	P7W3
      OFFSETS:	2-4
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(31)
          POS:	NOUN_NUM
          VOC:	31
        GLOSS:	31

 INPUT STRING:	لاااااااااا
     IS_TRANS:	lAAAAAAAAAA
        INDEX:	P8W1
      OFFSETS:	0-11
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lAAAAAAAAAA)
          POS:	INTERJ
          VOC:	lAAAAAAAAAA
        GLOSS:	no

 INPUT STRING:	بدري
     IS_TRANS:	bdry
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badoriy_1]
   UNSPLITVOC:	(badoriy)
          POS:	NOUN
          VOC:	badoriy
        GLOSS:	early/some time ago

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P9W3
      OFFSETS:	9-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	ليييييييييه
     IS_TRANS:	lyyyyyyyyyh
        INDEX:	P9W4
      OFFSETS:	13-24
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyyyyyyyyyh)
          POS:	INTERROG_ADV
          VOC:	liyyyyyyyyyh
        GLOSS:	why

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P9W5
      OFFSETS:	24-25
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P9W6
      OFFSETS:	25-26
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	السنه
     IS_TRANS:	Alsnh
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Alsanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P10W3
      OFFSETS:	11-15
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W4
      OFFSETS:	16-19
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	9
     IS_TRANS:	9
        INDEX:	P10W5
      OFFSETS:	20-21
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P10W6
      OFFSETS:	21-22
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P10W7
      OFFSETS:	22-23
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	اوووووف
     IS_TRANS:	Awwwwwf
        INDEX:	P11W1
      OFFSETS:	0-7
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwf_1]
   UNSPLITVOC:	(Auwwwwwf)
          POS:	INTERJ
          VOC:	Auwwwwwf
        GLOSS:	expressing boredom

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P12W2
      OFFSETS:	3-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P12W3
      OFFSETS:	8-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be/was/were+we

 INPUT STRING:	حنحجز
     IS_TRANS:	HnHjz
        INDEX:	P12W4
      OFFSETS:	12-17
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajaz_1]
   UNSPLITVOC:	(HaniHojiz)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Hojiz
        GLOSS:	will+we+retain/reserve/restrain/block

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W5
      OFFSETS:	18-20
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	9
     IS_TRANS:	9
        INDEX:	P12W6
      OFFSETS:	21-22
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P12W7
      OFFSETS:	23-27
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P12W8
      OFFSETS:	28-31
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I/me

 INPUT STRING:	سألتك
     IS_TRANS:	s>ltk
        INDEX:	P12W9
      OFFSETS:	32-37
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>altik)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:2FS
          VOC:	sa>al+t+ik
        GLOSS:	ask/inquire/request/be asked+I+you

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P13W2
      OFFSETS:	3-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P13W3
      OFFSETS:	8-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	في
     IS_TRANS:	fy
