 INPUT STRING:	انا
      OFFSETS:	33-35
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خلقك
     IS_TRANS:	xlqk
        INDEX:	P4W11
      OFFSETS:	36-40
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaloq_1]
   UNSPLITVOC:	(xaloqak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	xaloq+ak
        GLOSS:	creation+your

 INPUT STRING:	fmnk
     IS_TRANS:	fmnk
        INDEX:	P4W12
      OFFSETS:	41-45
       TOKENS:	P4W15-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(famin~ak)
          POS:	CONJ+PREP+PRON_2MS
          VOC:	fa+min~+ak
        GLOSS:	so/and+from+you

 INPUT STRING:	وحدك
     IS_TRANS:	wHdk
        INDEX:	P4W13
      OFFSETS:	46-50
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(waHodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	waHod+ak
        GLOSS:	alone/only+your

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P4W14
      OFFSETS:	51-53
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	شريك
     IS_TRANS:	$ryk
        INDEX:	P4W15
      OFFSETS:	54-58
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyk_1]
   UNSPLITVOC:	($iriyk)
          POS:	NOUN
          VOC:	$iriyk
        GLOSS:	associate/partner/associates/partners

 INPUT STRING:	lk
     IS_TRANS:	lk
        INDEX:	P4W16
      OFFSETS:	59-61
       TOKENS:	P4W22-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W17
      OFFSETS:	61-62
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	flk
     IS_TRANS:	flk
        INDEX:	P4W18
      OFFSETS:	63-66
       TOKENS:	P4W25-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(falak)
          POS:	CONJ+PREP+PRON_2MS
          VOC:	fa+li+ak
        GLOSS:	so/and+for/to+you

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P4W19
      OFFSETS:	67-72
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	wlk
     IS_TRANS:	wlk
        INDEX:	P4W20
      OFFSETS:	73-76
       TOKENS:	P4W29-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(wilak)
          POS:	CONJ+PREP+PRON_2MS
          VOC:	wi+li+ak
        GLOSS:	and+for/to+you

 INPUT STRING:	الشكر
     IS_TRANS:	Al$kr
        INDEX:	P4W21
      OFFSETS:	77-82
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(Al$ukor)
          POS:	DET+NOUN
          VOC:	Al+$ukor
        GLOSS:	the+thankfulness/thanks/thank you

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W22
      OFFSETS:	83-84
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P4W23
      OFFSETS:	84-85
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	أصبحنا
     IS_TRANS:	>SbHnA
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaHnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	>aSobaH+nA
        GLOSS:	become/begin/start+we

 INPUT STRING:	وأصبح
     IS_TRANS:	w>SbH
        INDEX:	P5W2
      OFFSETS:	7-12
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
        GLOSS:	and+become/begin/start+he/it

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P5W3
      OFFSETS:	13-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulok_1]
   UNSPLITVOC:	(Almulok)
          POS:	DET+NOUN
          VOC:	Al+mulok
        GLOSS:	the+dominion

 INPUT STRING:	llh
     IS_TRANS:	llh
        INDEX:	P5W4
      OFFSETS:	19-22
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	rb
     IS_TRANS:	rb
        INDEX:	P5W5
      OFFSETS:	23-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	العالمين
     IS_TRANS:	AlEAlmyn
        INDEX:	P5W6
      OFFSETS:	26-34
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlamiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+EAlam+iyn
        GLOSS:	the+world/worlds+[pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W7
      OFFSETS:	34-35
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P5W8
      OFFSETS:	36-41
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P5W9
      OFFSETS:	42-45
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I/me

 INPUT STRING:	اسألك
     IS_TRANS:	As>lk
        INDEX:	P5W10
      OFFSETS:	46-51
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>alak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+so>al+ak
        GLOSS:	I+ask/inquire/request/be asked+you

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P5W11
      OFFSETS:	52-55
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P5W12
      OFFSETS:	56-59
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P5W13
      OFFSETS:	60-65
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Alyuwm)
          POS:	DET+NOUN
          VOC:	Al+yuwm
        GLOSS:	the+today/day/some day/ever/days

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P5W14
      OFFSETS:	65-66
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	فتحة
     IS_TRANS:	ftHp
        INDEX:	P5W15
      OFFSETS:	67-71
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatoH_1]
   UNSPLITVOC:	(fatoHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	fatoH+uh
        GLOSS:	opening/beginning+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W16
      OFFSETS:	71-72
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ونصره
     IS_TRANS:	wnSrh
        INDEX:	P5W17
      OFFSETS:	73-78
       TOKENS:	P5W22-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(winaSoruh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+naSor+uh
        GLOSS:	and+victory/assistance+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W18
      OFFSETS:	78-79
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ونورة
     IS_TRANS:	wnwrp
        INDEX:	P5W19
      OFFSETS:	80-85
       TOKENS:	P5W26-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(winuwruh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+nuwr+uh
        GLOSS:	and+light+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W20
      OFFSETS:	85-86
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وبركته
     IS_TRANS:	wbrkth
        INDEX:	P5W21
      OFFSETS:	87-93
       TOKENS:	P5W30-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(wibarakituh)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wi+barak+ap+uh
        GLOSS:	and+blessing+[fem.sg.]+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W22
      OFFSETS:	93-94
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهداه
     IS_TRANS:	whdAh
        INDEX:	P5W23
      OFFSETS:	95-100
       TOKENS:	P5W34-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hudaY_1]
   UNSPLITVOC:	(wihudAh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+hudA+uh
        GLOSS:	and+guidance/right path+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W24
      OFFSETS:	100-101
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأعوذ
     IS_TRANS:	w>Ew*
        INDEX:	P5W25
      OFFSETS:	102-107
       TOKENS:	P5W38-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaEA*_1]
   UNSPLITVOC:	(wiAaEuw*)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Euw*
        GLOSS:	and+I+take refuge

 INPUT STRING:	بك
     IS_TRANS:	bk
        INDEX:	P5W26
      OFFSETS:	108-110
       TOKENS:	P5W40-P5W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bika)
          POS:	PREP+PRON_2MS
          VOC:	bi+ka
        GLOSS:	with/by+you [masc.sg.]

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P5W27
      OFFSETS:	111-113
       TOKENS:	P5W42-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	$
     IS_TRANS:	$
        INDEX:	P5W28
      OFFSETS:	114-115
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	($)
          POS:	PUNC
          VOC:	$
        GLOSS:	$

 INPUT STRING:	r
     IS_TRANS:	r
        INDEX:	P5W29
      OFFSETS:	115-116
       TOKENS:	P5W44-P5W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(r)
          POS:	TYPO
          VOC:	r
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W30
      OFFSETS:	117-119
       TOKENS:	P5W45-P5W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	fyh
     IS_TRANS:	fyh
        INDEX:	P5W31
      OFFSETS:	120-123
       TOKENS:	P5W46-P5W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	وشر
     IS_TRANS:	w$r
        INDEX:	P5W32
      OFFSETS:	124-127
       TOKENS:	P5W48-P5W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ar~_1]
   UNSPLITVOC:	(wi$ar~)
          POS:	CONJ+NOUN
          VOC:	wi+$ar~
        GLOSS:	and+evil/malice

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W33
      OFFSETS:	128-130
       TOKENS:	P5W50-P5W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	بعده
     IS_TRANS:	bEdh
        INDEX:	P5W34
      OFFSETS:	131-135
       TOKENS:	P5W51-P5W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	baEod+uh
        GLOSS:	after/if/unless/whether/as long as/as soon as/which+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
