 INPUT STRING:	مايوه
          POS:	NOUN_NUM
          VOC:	50
        GLOSS:	50

 INPUT STRING:	مل
     IS_TRANS:	ml
        INDEX:	P3W4
      OFFSETS:	12-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ml)
          POS:	FOREIGN
          VOC:	ml
        GLOSS:	nogloss

 INPUT STRING:	وقرده
     IS_TRANS:	wqrdh
        INDEX:	P3W5
      OFFSETS:	15-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wqrdh)
          POS:	TYPO
          VOC:	wqrdh
        GLOSS:	nogloss

 INPUT STRING:	حببتي
     IS_TRANS:	Hbbty
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habib_1]
   UNSPLITVOC:	(Habibtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habib+ap+iy
        GLOSS:	beloved/dear+[fem.sg.]+my

 INPUT STRING:	حجم
     IS_TRANS:	Hjm
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajom_1]
   UNSPLITVOC:	(Hajom)
          POS:	NOUN
          VOC:	Hajom
        GLOSS:	volume/size/volumes/sizes

 INPUT STRING:	البودي
     IS_TRANS:	Albwdy
        INDEX:	P5W2
      OFFSETS:	4-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albwdy)
          POS:	FOREIGN
          VOC:	Albwdy
        GLOSS:	nogloss

 INPUT STRING:	سبلش
     IS_TRANS:	sbl$
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sbl$)
          POS:	FOREIGN
          VOC:	sbl$
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	اللوسيون
     IS_TRANS:	Allwsywn
        INDEX:	P5W5
      OFFSETS:	20-28
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Allwsywn)
          POS:	FOREIGN
          VOC:	Allwsywn
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W6
      OFFSETS:	29-30
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	NOUN
          VOC:	mA$iy
        GLOSS:	infantry/pedestrians

 INPUT STRING:	حأقول
     IS_TRANS:	H>qwl
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwl)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+quwl
        GLOSS:	will+I+said/say/be said/(for example)

 INPUT STRING:	لأصحابي
     IS_TRANS:	l>SHAby
        INDEX:	P6W4
      OFFSETS:	14-21
       TOKENS:	P6W5-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(li>aSoHAbiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+>aSoHAb+iy
        GLOSS:	for/to+owner/originator/owners/originators/friend/companion/friends/companions+my

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bl)
          POS:	FOREIGN
          VOC:	bl
        GLOSS:	nogloss

 INPUT STRING:	منمن
     IS_TRANS:	mnmn
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munmun_1]
   UNSPLITVOC:	(munmun)
          POS:	NOUN_PROP
          VOC:	munmun
        GLOSS:	Omnia

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	NOUN
          VOC:	mA$iy
        GLOSS:	infantry/pedestrians

 INPUT STRING:	حبي
     IS_TRANS:	Hby
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hub~+iy
        GLOSS:	love/affection/out of affection for/for love of+my

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwl_1]
   UNSPLITVOC:	(duwl)
          POS:	DEM_PRON_P
          VOC:	duwl
        GLOSS:	those

 INPUT STRING:	أصل
     IS_TRANS:	>Sl
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P9W3
      OFFSETS:	8-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	Gloss:TBA+[fem.sg.]

 INPUT STRING:	حاتجبهم
     IS_TRANS:	HAtjbhm
        INDEX:	P9W4
      OFFSETS:	14-21
       TOKENS:	P9W4-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Hatijibhum)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_DO:3P
          VOC:	Ha+ti+jib+hum
        GLOSS:	wil+she/it+bring+them

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W5
      OFFSETS:	22-24
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دبي
     IS_TRANS:	dby
        INDEX:	P9W6
      OFFSETS:	25-28
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dubay~_1]
   UNSPLITVOC:	(dubay~)
          POS:	NOUN_PROP
          VOC:	dubay~
        GLOSS:	Dubai

 INPUT STRING:	ونزل
     IS_TRANS:	wnzl
        INDEX:	P9W7
      OFFSETS:	29-33
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(winizil)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+nizil+(null)
        GLOSS:	and+descend/come/desend/stay+he/it

 INPUT STRING:	أوفر
     IS_TRANS:	>wfr
        INDEX:	P9W8
      OFFSETS:	34-38
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>wfr)
          POS:	FOREIGN
          VOC:	>wfr
        GLOSS:	nogloss

 INPUT STRING:	علىهم
     IS_TRANS:	ElYhm
        INDEX:	P9W9
      OFFSETS:	39-44
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ElYhm)
          POS:	TYPO
          VOC:	ElYhm
        GLOSS:	nogloss

