 INPUT STRING:	أهلا
   UNSPLITVOC:	(AlgAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+gAb+ap
        GLOSS:	the+forest/jungle+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P1W15
      OFFSETS:	65-68
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	الدولفين
     IS_TRANS:	Aldwlfyn
        INDEX:	P1W16
      OFFSETS:	69-77
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwlfiyn_1]
   UNSPLITVOC:	(Alduwlfiyn)
          POS:	DET+NOUN
          VOC:	Al+duwlfiyn
        GLOSS:	the+dolphin

 INPUT STRING:	والاسد
     IS_TRANS:	wAlAsd
        INDEX:	P1W17
      OFFSETS:	78-84
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(wiAl>asad)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>asad
        GLOSS:	and+the+lion/lions/lioness

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	مضحكة
     IS_TRANS:	mDHkp
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muDoHik_1]
   UNSPLITVOC:	(muDoHikap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muDoHik+ap
        GLOSS:	laughable/ridiculous/funny+[fem.sg.]

 INPUT STRING:	اظاهر
     IS_TRANS:	AZAhr
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AZAhr)
          POS:	TYPO
          VOC:	AZAhr
        GLOSS:	nogloss

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W2-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+uh+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	غيرنا
     IS_TRANS:	gyrnA
        INDEX:	P3W3
      OFFSETS:	12-17
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	giyr+nA
        GLOSS:	not/other+our

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W4
      OFFSETS:	18-20
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ألدراسة
     IS_TRANS:	>ldrAsp
        INDEX:	P3W5
      OFFSETS:	21-28
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(AldirAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dirAs+ap
        GLOSS:	the+study+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حوفي
     IS_TRANS:	Hwfy
        INDEX:	P4W2
      OFFSETS:	3-7
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Hwfy)
          POS:	TYPO+POSS_PRON_1S
          VOC:	Hwf+iy
        GLOSS:	nogloss+my

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P4W3
      OFFSETS:	8-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	الأسد
     IS_TRANS:	Al>sd
        INDEX:	P4W4
      OFFSETS:	12-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(Al>asad)
          POS:	DET+NOUN
          VOC:	Al+>asad
        GLOSS:	the+lion/lions/lioness

 INPUT STRING:	يضحك
     IS_TRANS:	yDHk
        INDEX:	P4W5
      OFFSETS:	18-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(yiDoHak)
          POS:	IV3MS+IV
          VOC:	yi+DoHak
        GLOSS:	he/it+laugh

 INPUT STRING:	ويكشر
     IS_TRANS:	wyk$r
        INDEX:	P4W6
      OFFSETS:	23-28
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka$~r_1]
   UNSPLITVOC:	(wiyika$~r)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+ka$~r
        GLOSS:	and+he/it+bare the teeth/scowl/smile

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W7
      OFFSETS:	29-31
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	أنيابه
     IS_TRANS:	>nyAbh
        INDEX:	P4W8
      OFFSETS:	32-38
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAb_1]
   UNSPLITVOC:	(>anyAbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>anyAb+uh
        GLOSS:	canine teeth/fangs/tusks+his/its

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عرفت
     IS_TRANS:	Erft
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirift)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eirif+t
        GLOSS:	know+I

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P5W3
      OFFSETS:	9-17
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W4
      OFFSETS:	18-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W5
      OFFSETS:	21-24
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	تلاته
     IS_TRANS:	tlAth
        INDEX:	P5W6
      OFFSETS:	25-30
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[talAtap_1]
   UNSPLITVOC:	(talAtap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	talAt+ap
        GLOSS:	three+[fem.sg.]

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P5W7
      OFFSETS:	31-35
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	مشتركين
     IS_TRANS:	m$trkyn
        INDEX:	P5W8
      OFFSETS:	36-43
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$otarik_1]
   UNSPLITVOC:	(mu$otarikiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mu$otarik+iyn
        GLOSS:	participating/subscribing+[pl.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	متخفش
     IS_TRANS:	mtxf$
        INDEX:	P6W2
      OFFSETS:	3-8
       TOKENS:	P6W2-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(mAtixaf$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+xaf+$
        GLOSS:	not+you+fear/be afraid (of)+not

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	اسد
     IS_TRANS:	Asd
        INDEX:	P6W4
      OFFSETS:	13-16
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(>asad)
          POS:	NOUN
          VOC:	>asad
        GLOSS:	lion/lions/lioness

 INPUT STRING:	مسالم
     IS_TRANS:	msAlm
        INDEX:	P6W5
      OFFSETS:	17-22
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAlim_1]
   UNSPLITVOC:	(misAlim)
          POS:	ADJ
          VOC:	misAlim
        GLOSS:	calm/quiet/peaceful/tenant/inhabitant

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~ah_1]
   UNSPLITVOC:	(huw~ah)
          POS:	PRON_3MS
          VOC:	huw~ah
        GLOSS:	he/it

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P7W2
      OFFSETS:	4-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P7W3
      OFFSETS:	8-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	NOUN
          VOC:	SaHiyH
        GLOSS:	right

 INPUT STRING:	ريس
     IS_TRANS:	rys
        INDEX:	P7W4
      OFFSETS:	13-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(ray~is)
          POS:	NOUN
          VOC:	ray~is
        GLOSS:	captain/chief/boss

 INPUT STRING:	سوريا
     IS_TRANS:	swryA
        INDEX:	P7W5
      OFFSETS:	17-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwryA_1]
   UNSPLITVOC:	(suwryA)
          POS:	NOUN_PROP
          VOC:	suwryA
        GLOSS:	Syria

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_PRON
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P8W2
      OFFSETS:	4-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	الآرية
     IS_TRANS:	Al|ryp
        INDEX:	P8W3
      OFFSETS:	7-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al|ryp)
          POS:	TYPO
          VOC:	Al|ryp
        GLOSS:	nogloss

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P8W4
      OFFSETS:	14-16
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	يقطع
     IS_TRANS:	yqTE
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTaE_1]
   UNSPLITVOC:	(yiqoTaE)
          POS:	IV3MS+IV
          VOC:	yi+qoTaE
        GLOSS:	he/it+cut off/sever/interrupt/stop

 INPUT STRING:	الأسد
     IS_TRANS:	Al>sd
        INDEX:	P9W2
      OFFSETS:	5-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aasad_1]
   UNSPLITVOC:	(AlAsad)
          POS:	DET+NOUN_PROP
          VOC:	Al+Asad
        GLOSS:	the+Asad/Leonid

 INPUT STRING:	وسنينه
     IS_TRANS:	wsnynh
        INDEX:	P9W3
      OFFSETS:	11-17
       TOKENS:	P9W3-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wsnynh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+sniyn+uh
        GLOSS:	and+years+his

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_PRON
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W2
      OFFSETS:	4-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough/only

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P10W3
      OFFSETS:	7-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P10W4
      OFFSETS:	10-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man/men/pedestrian/pedestrians

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P10W5
      OFFSETS:	15-18
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	وماقتلش
     IS_TRANS:	wmAqtl$
        INDEX:	P10W6
      OFFSETS:	19-26
       TOKENS:	P10W6-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(wimA_qatal$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	wi+mA+qatal+(null)+$
        GLOSS:	and+not+kill/be killed+he/it+not

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W7
      OFFSETS:	27-30
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
