 INPUT STRING:	سامحيني
          POS:	IV1S+IV
          VOC:	Aa+gam~aD
        GLOSS:	I+blind/make obscure

 INPUT STRING:	عيني
     IS_TRANS:	Eyny
        INDEX:	P1W11
      OFFSETS:	54-58
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eiyniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eiyn+iy
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/ain (Arabic letter)+my

 INPUT STRING:	وأفتح
     IS_TRANS:	w>ftH
        INDEX:	P1W12
      OFFSETS:	59-64
       TOKENS:	P1W20-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(wiAafotaH)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+fotaH
        GLOSS:	and+I+open/conquer/be opened/be conquered

 INPUT STRING:	الاقيك
     IS_TRANS:	AlAqyk
        INDEX:	P1W13
      OFFSETS:	65-71
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiyk)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+lAqiy+ak
        GLOSS:	I+meet/encounter/be met/be encountered+you

 INPUT STRING:	قدامي
     IS_TRANS:	qdAmy
        INDEX:	P1W14
      OFFSETS:	72-77
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Amiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qud~Am+iy
        GLOSS:	front/in front of+my

 INPUT STRING:	وأحضنك
     IS_TRANS:	w>HDnk
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaDan_1]
   UNSPLITVOC:	(wiAaHoDunik)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2FS
          VOC:	wi+Aa+HoDun+ik
        GLOSS:	and+I+embrace/hug+you[fem.sg.]

 INPUT STRING:	وأتونس
     IS_TRANS:	w>twns
        INDEX:	P2W2
      OFFSETS:	7-13
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitwan~is_1]
   UNSPLITVOC:	(wiAatwan~is)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+twan~is
        GLOSS:	and+I+be companionable/be sociable/domesticate/put at ease/be domesticated/be put at ease

 INPUT STRING:	بيكي
     IS_TRANS:	byky
        INDEX:	P2W3
      OFFSETS:	14-18
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biykiy)
          POS:	PREP+PRON_2FS
          VOC:	bi+ik
        GLOSS:	with/by+you[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W4
      OFFSETS:	19-21
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	أختي
     IS_TRANS:	>xty
        INDEX:	P2W5
      OFFSETS:	22-26
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>uxot+iy
        GLOSS:	sister/counterpart/sisters+my

 INPUT STRING:	غالية
     IS_TRANS:	gAlyp
        INDEX:	P2W6
      OFFSETS:	27-32
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAliy_1]
   UNSPLITVOC:	(gAloyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gAloy+ap
        GLOSS:	expensive/costly/dear/precious/beloved/dearly+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W7
      OFFSETS:	32-33
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P2W8
      OFFSETS:	34-39
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	doing+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P2W9
      OFFSETS:	40-43
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W10
      OFFSETS:	43-44
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W11
      OFFSETS:	44-45
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W12
      OFFSETS:	45-46
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W13
      OFFSETS:	46-47
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W14
      OFFSETS:	47-48
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W15
      OFFSETS:	48-50
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	جاية
     IS_TRANS:	jAyp
        INDEX:	P2W16
      OFFSETS:	51-55
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAy~+ap
        GLOSS:	coming+[fem.sg.]

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P2W17
      OFFSETS:	56-61
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	للفرح
     IS_TRANS:	llfrH
        INDEX:	P2W18
      OFFSETS:	62-67
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(lilfaraH)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+faraH
        GLOSS:	for/to+the+joy/happiness/festivity/with joy/joyfully/joys/festivities

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W19
      OFFSETS:	67-68
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W20
      OFFSETS:	68-69
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخليك
     IS_TRANS:	yxlyk
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yaxal~iyk)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	ya+xal~iy+ak
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P3W4
      OFFSETS:	14-20
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W5
      OFFSETS:	21-23
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	آجي
     IS_TRANS:	|jy
        INDEX:	P3W6
      OFFSETS:	24-27
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(|jiy)
          POS:	IV1S+IV
          VOC:	|+jiy
        GLOSS:	I+occur/came/come/reach/arrive

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P3W7
      OFFSETS:	28-31
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likum)
          POS:	PREP+PRON_2P
          VOC:	li+kum
        GLOSS:	to/for+you

 INPUT STRING:	بسرعة
     IS_TRANS:	bsrEp
        INDEX:	P3W8
      OFFSETS:	32-37
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P3W9
      OFFSETS:	38-42
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	حأفرح
     IS_TRANS:	H>frH
        INDEX:	P3W10
      OFFSETS:	43-48
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firiH_1]
   UNSPLITVOC:	(HaAaforaH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+foraH
        GLOSS:	will+I+gladden/make merry/rejoice/be glad

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P3W11
      OFFSETS:	49-54
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	وأعمل
     IS_TRANS:	w>Eml
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiAaEomil)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Eomil
        GLOSS:	and+I+function/make/act/do

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P4W2
      OFFSETS:	6-8
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P4W3
      OFFSETS:	9-14
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	جزائرية
     IS_TRANS:	jzA}ryp
        INDEX:	P4W4
      OFFSETS:	15-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazA}iriy_1]
   UNSPLITVOC:	(jazA}iriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jazA}iriy~+ap
        GLOSS:	Algerian+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W5
      OFFSETS:	23-25
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	حصلتش
     IS_TRANS:	HSlt$
        INDEX:	P4W6
      OFFSETS:	26-31
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	HaSal+it+$
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place+it/they/she+not

 INPUT STRING:	وحتعجبك
     IS_TRANS:	wHtEjbk
        INDEX:	P4W7
      OFFSETS:	32-39
       TOKENS:	P4W10-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(wiHatiEojibik)
          POS:	CONJ+FUT_PART+IV3FS+IV+IVSUFF_DO:2FS
          VOC:	wi+Ha+ti+Eojib+ik
        GLOSS:	and+will+it/they/she+delight/admire/like/be amazed/liked/arouse admiration/please+you

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P4W8
      OFFSETS:	40-44
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W9
      OFFSETS:	44-45
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W10
      OFFSETS:	45-46
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P4W11
      OFFSETS:	46-50
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P4W12
      OFFSETS:	51-53
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+I

 INPUT STRING:	نفسك
     IS_TRANS:	nfsk
        INDEX:	P4W13
      OFFSETS:	54-58
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	nifos+ik
        GLOSS:	appetite/wish+your

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W14
      OFFSETS:	59-61
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W15
      OFFSETS:	62-65
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P4W16
      OFFSETS:	66-70
       TOKENS:	P4W24-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	حأجيب
     IS_TRANS:	H>jyb
        INDEX:	P4W17
      OFFSETS:	71-76
       TOKENS:	P4W26-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(HaAajiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jiyb
        GLOSS:	will+I+explore/traverse/bring

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P4W18
      OFFSETS:	77-79
       TOKENS:	P4W28-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P4W19
      OFFSETS:	80-82
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
