 INPUT STRING:	ريمي
        GLOSS:	I/me

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P4W3
      OFFSETS:	7-10
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	مسحولة
     IS_TRANS:	msHwlp
        INDEX:	P4W4
      OFFSETS:	12-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoHuwl_1]
   UNSPLITVOC:	(masoHuwlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	masoHuwl+ap
        GLOSS:	scraping/abrasion/naked+[fem.sg.]

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P4W5
      OFFSETS:	19-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become/begin/start/be/begin a new day+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P4W6
      OFFSETS:	23-25
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P4W7
      OFFSETS:	26-27
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P4W8
      OFFSETS:	28-30
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dy)
          POS:	FOREIGN
          VOC:	dy
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W9
      OFFSETS:	31-33
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P4W10
      OFFSETS:	34-38
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W11
      OFFSETS:	39-42
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W12
      OFFSETS:	43-45
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نزلتش
     IS_TRANS:	nzlt$
        INDEX:	P4W13
      OFFSETS:	46-51
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizilti$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	nizil+t+$
        GLOSS:	descend/come/desend/stay+I+not

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W14
      OFFSETS:	52-54
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يومها
     IS_TRANS:	ywmhA
        INDEX:	P4W15
      OFFSETS:	55-60
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	yuwm+hA
        GLOSS:	today/day/some day/ever/days+its/their/her

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W2
      OFFSETS:	3-5
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>n)
          POS:	FOREIGN
          VOC:	>n
        GLOSS:	nogloss

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P5W3
      OFFSETS:	6-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ly)
          POS:	FOREIGN
          VOC:	ly
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W4
      OFFSETS:	9-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dh)
          POS:	FOREIGN
          VOC:	dh
        GLOSS:	nogloss

 INPUT STRING:	مشوار
     IS_TRANS:	m$wAr
        INDEX:	P5W5
      OFFSETS:	12-17
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$owAr_1]
   UNSPLITVOC:	(mi$owAr)
          POS:	NOUN
          VOC:	mi$owAr
        GLOSS:	cycle/stroke/course/trajectory/walk/promenade

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P5W6
      OFFSETS:	18-21
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(End)
          POS:	FOREIGN
          VOC:	End
        GLOSS:	nogloss

 INPUT STRING:	صليب
     IS_TRANS:	Slyb
        INDEX:	P5W7
      OFFSETS:	22-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Slyb)
          POS:	FOREIGN
          VOC:	Slyb
        GLOSS:	nogloss

 INPUT STRING:	الافترفيفتار
     IS_TRANS:	AlAftrfyftAr
        INDEX:	P5W8
      OFFSETS:	27-39
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlAftrfyftAr)
          POS:	FOREIGN
          VOC:	AlAftrfyftAr
        GLOSS:	nogloss

 INPUT STRING:	إبسورار
     IS_TRANS:	<bswrAr
        INDEX:	P5W9
      OFFSETS:	40-47
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<bswrAr)
          POS:	FOREIGN
          VOC:	<bswrAr
        GLOSS:	nogloss

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P5W10
      OFFSETS:	48-51
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Swr)
          POS:	FOREIGN
          VOC:	Swr
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مصدقاكي
     IS_TRANS:	mSdqAky
        INDEX:	P6W2
      OFFSETS:	4-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSad~aq_1]
   UNSPLITVOC:	(miSad~aqAkiy)
          POS:	ADJ+NSUFF_FEM_SG+PRON_2FS
          VOC:	miSad~aq+ap+ik
        GLOSS:	credible/believing/reliable+[fem.sg.]+you

 INPUT STRING:	ببي
     IS_TRANS:	bby
        INDEX:	P6W3
      OFFSETS:	12-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bby)
          POS:	FOREIGN
          VOC:	bby
        GLOSS:	nogloss

 INPUT STRING:	5461448
     IS_TRANS:	5461448
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5461448)
          POS:	NOUN_NUM
          VOC:	5461448
        GLOSS:	5461448

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	جدو
     IS_TRANS:	jdw
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~uw_1]
   UNSPLITVOC:	(jid~uw)
          POS:	NOUN
          VOC:	jid~uw
        GLOSS:	grandpa

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W3
      OFFSETS:	8-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>n)
          POS:	FOREIGN
          VOC:	>n
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W4
      OFFSETS:	11-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	فون
     IS_TRANS:	fwn
        INDEX:	P8W5
      OFFSETS:	14-17
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwn)
          POS:	FOREIGN
          VOC:	fwn
        GLOSS:	nogloss

 INPUT STRING:	يخلص
     IS_TRANS:	yxlS
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(yixal~aS)
          POS:	IV3P+IV
          VOC:	yi+xal~aS
        GLOSS:	they+finish

 INPUT STRING:	وحأتكلم
     IS_TRANS:	wH>tklm
        INDEX:	P9W2
      OFFSETS:	5-12
       TOKENS:	P9W2-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(wiHaAatokal~im)
          POS:	CONJ+FUT_PART+IV1S+IV
          VOC:	wi+Ha+Aa+tokal~im
        GLOSS:	and+will+I+speak/talk/discuss

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Auwk~iyh_1]
   UNSPLITVOC:	(Auwk~iyh)
          POS:	INTERJ
          VOC:	Auwk~iyh
        GLOSS:	ok

 INPUT STRING:	ريري
     IS_TRANS:	ryry
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyriy_1]
   UNSPLITVOC:	(riyriy)
          POS:	NOUN_PROP
          VOC:	riyriy
        GLOSS:	Riri

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W3
      OFFSETS:	11-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P10W4
      OFFSETS:	14-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	إحتمال
     IS_TRANS:	<HtmAl
        INDEX:	P10W5
      OFFSETS:	18-24
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(AiHotimAl)
          POS:	NOUN
          VOC:	AiHotimAl
        GLOSS:	probabilities/possibilities

 INPUT STRING:	أنزل
     IS_TRANS:	>nzl
        INDEX:	P10W6
      OFFSETS:	25-29
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Aanozil)
          POS:	IV1S+IV
          VOC:	Aa+nozil
        GLOSS:	I+descend/come/desend/stay

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P10W7
      OFFSETS:	30-34
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	حبة
     IS_TRANS:	Hbp
        INDEX:	P10W8
      OFFSETS:	35-38
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~ap_1]
   UNSPLITVOC:	(Hab~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Hab~+ap
        GLOSS:	little+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P11W2
      OFFSETS:	3-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W3
      OFFSETS:	7-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P11W4
      OFFSETS:	10-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W5
      OFFSETS:	14-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حأبقى
     IS_TRANS:	H>bqY
        INDEX:	P11W6
      OFFSETS:	19-24
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(HaAaboqaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+boqaY
        GLOSS:	will+I+become/begin/start/be/begin a new day

 INPUT STRING:	أكلمك
     IS_TRANS:	>klmk
        INDEX:	P11W7
      OFFSETS:	25-30
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+kal~im+ik
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P11W8
      OFFSETS:	31-34
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	أوصل
     IS_TRANS:	>wSl
        INDEX:	P11W9
      OFFSETS:	35-39
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(AawoSal)
          POS:	IV1S+IV
          VOC:	Aa+woSal
        GLOSS:	I+connect/arrive/reach

