 INPUT STRING:	وحشتنا
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P4W2
      OFFSETS:	3-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousands/thousand/thounsand/one thousand

 INPUT STRING:	نهار
     IS_TRANS:	nhAr
        INDEX:	P4W3
      OFFSETS:	7-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahAr_1]
   UNSPLITVOC:	(nahAr)
          POS:	NOUN
          VOC:	nahAr
        GLOSS:	daytime/day/by day/during the day

 INPUT STRING:	ابيض
     IS_TRANS:	AbyD
        INDEX:	P4W4
      OFFSETS:	12-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P4W5
      OFFSETS:	17-21
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W6
      OFFSETS:	22-24
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اسد
     IS_TRANS:	Asd
        INDEX:	P4W7
      OFFSETS:	25-28
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(>asad)
          POS:	NOUN
          VOC:	>asad
        GLOSS:	lion/lions/lioness

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P5W1
      OFFSETS:	0-8
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P5W2
      OFFSETS:	9-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[zay~_2]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	أمبارح
     IS_TRANS:	>mbArH
        INDEX:	P5W3
      OFFSETS:	12-18
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/facts+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P6W2
      OFFSETS:	8-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W3
      OFFSETS:	11-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W4
      OFFSETS:	14-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الأيام
     IS_TRANS:	Al>yAm
        INDEX:	P6W5
      OFFSETS:	17-23
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Al>ay~Am)
          POS:	DET+NOUN
          VOC:	Al+>ay~Am
        GLOSS:	the+ever/period/day/today/some days/some day/days

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P6W6
      OFFSETS:	24-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[zay~_2]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P6W7
      OFFSETS:	27-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بنبات
     IS_TRANS:	bnbAt
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAt_1]
   UNSPLITVOC:	(binibAt)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+bAt
        GLOSS:	[present-tense]+we+become/remain

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P7W3
      OFFSETS:	10-13
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	بنصحى
     IS_TRANS:	bnSHY
        INDEX:	P7W4
      OFFSETS:	14-19
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiHiy_1]
   UNSPLITVOC:	(biniSoHaY)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+SoHaY
        GLOSS:	[present-tense]+we+wake up/be alert/be roused

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P7W5
      OFFSETS:	20-23
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W6
      OFFSETS:	24-25
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W7
      OFFSETS:	25-26
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W8
      OFFSETS:	26-27
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W9
      OFFSETS:	27-28
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W10
      OFFSETS:	28-29
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W11
      OFFSETS:	29-30
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W12
      OFFSETS:	30-31
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	أننا
     IS_TRANS:	>nnA
        INDEX:	P8W3
      OFFSETS:	10-14
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	بنصحي
     IS_TRANS:	bnSHy
        INDEX:	P8W4
      OFFSETS:	15-20
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiHiy_1]
   UNSPLITVOC:	(biniSoHaY)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+SoHaY
        GLOSS:	[present-tense]+we+wake up/be alert/be roused

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P8W5
      OFFSETS:	21-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P8W6
      OFFSETS:	25-28
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	PART+SUB_CONJ
          VOC:	wi+law
        GLOSS:	so/and+if

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P8W7
      OFFSETS:	29-32
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P8W8
      OFFSETS:	33-36
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	المنوال
     IS_TRANS:	AlmnwAl
        INDEX:	P8W9
      OFFSETS:	37-44
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minowAl_1]
   UNSPLITVOC:	(AlminowAl)
          POS:	DET+NOUN
          VOC:	Al+minowAl
        GLOSS:	the+manner/fashion

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	دولفن
     IS_TRANS:	dwlfn
        INDEX:	P9W3
      OFFSETS:	8-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwlfin]
   UNSPLITVOC:	(duwlfin)
          POS:	NOUN
          VOC:	duwlfin
        GLOSS:	dolphin

 INPUT STRING:	الصحة
     IS_TRANS:	AlSHp
        INDEX:	P9W4
      OFFSETS:	14-19
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(AlSiH~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SiH~+ap
        GLOSS:	the+health/authenticity/truth/correctness+[fem.sg.]

 INPUT STRING:	والستر
     IS_TRANS:	wAlstr
        INDEX:	P9W5
      OFFSETS:	20-26
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sator_1]
   UNSPLITVOC:	(wiAlsator)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+sator
        GLOSS:	and+the+cover/shield/protection

 INPUT STRING:	اهم
     IS_TRANS:	Ahm
        INDEX:	P9W6
      OFFSETS:	27-30
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W7
      OFFSETS:	31-35
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W8
      OFFSETS:	36-38
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P9W9
      OFFSETS:	39-45
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	الباقى
     IS_TRANS:	AlbAqY
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(AlbAqiy)
          POS:	DET+NOUN
          VOC:	Al+bAqiy
        GLOSS:	the+remaining/remainder

 INPUT STRING:	ينعوض
     IS_TRANS:	ynEwD
        INDEX:	P10W2
      OFFSETS:	7-12
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ynEwD)
          POS:	TYPO
          VOC:	ynEwD
        GLOSS:	nogloss

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	little/few/small/a little/somewhat/briefly/shortly/insufficient+[fem.sg.]

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P11W2
      OFFSETS:	5-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hikomap_1]
   UNSPLITVOC:	(Hikam)
          POS:	NOUN
          VOC:	Hikam
        GLOSS:	wisdom/maxim

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W3
      OFFSETS:	9-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P11W4
      OFFSETS:	13-18
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P11W5
      OFFSETS:	19-24
       TOKENS:	P11W5-P11W6
