 INPUT STRING:	شاهي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	فضحت
     IS_TRANS:	fDHt
        INDEX:	P3W3
      OFFSETS:	5-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDaH_1]
   UNSPLITVOC:	(faDaHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	faDaH+it
        GLOSS:	expose/disgrace+it/she/they

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P3W4
      OFFSETS:	10-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P3W5
      OFFSETS:	17-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P3W6
      OFFSETS:	19-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	EAbzp
     IS_TRANS:	EAbzp
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EAbzp)
          POS:	TYPO
          VOC:	EAbzp
        GLOSS:	nogloss

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P4W3
      OFFSETS:	11-15
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how/what degree

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W4
      OFFSETS:	16-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	myn
     IS_TRANS:	myn
        INDEX:	P4W5
      OFFSETS:	18-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	bAp
     IS_TRANS:	bAp
        INDEX:	P4W6
      OFFSETS:	22-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAp)
          POS:	TYPO
          VOC:	bAp
        GLOSS:	nogloss

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P4W7
      OFFSETS:	26-30
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P4W8
      OFFSETS:	31-34
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P4W9
      OFFSETS:	35-41
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W10
      OFFSETS:	42-43
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اكاونت
     IS_TRANS:	AkAwnt
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AkAwnt)
          POS:	FOREIGN
          VOC:	AkAwnt
        GLOSS:	nogloss

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P5W2
      OFFSETS:	7-12
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W3
      OFFSETS:	13-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	عملاه
     IS_TRANS:	EmlAh
        INDEX:	P5W4
      OFFSETS:	16-21
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamil_1]
   UNSPLITVOC:	(EamlAph)
          POS:	ADJ+NSUFF_FEM_SG+PRON_3MS
          VOC:	Eaml+Ap+h
        GLOSS:	doing+[fem.sg]+it/him

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P5W5
      OFFSETS:	22-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الضيق
     IS_TRANS:	AlDyq
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Day~aq_1]
   UNSPLITVOC:	(AlDay~aq)
          POS:	DET+ADJ
          VOC:	Al+Day~aq
        GLOSS:	the+restricted/narrow

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P5W7
      OFFSETS:	30-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P5W8
      OFFSETS:	32-36
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	20
     IS_TRANS:	20
        INDEX:	P5W9
      OFFSETS:	37-39
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(20)
          POS:	NOUN_NUM
          VOC:	20
        GLOSS:	20

 INPUT STRING:	نفر
     IS_TRANS:	nfr
        INDEX:	P5W10
      OFFSETS:	40-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafar_1]
   UNSPLITVOC:	(nafar)
          POS:	NOUN
          VOC:	nafar
        GLOSS:	soldier/private/soldiers/troops

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P5W11
      OFFSETS:	44-50
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P5W12
      OFFSETS:	51-52
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P5W13
      OFFSETS:	53-56
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainoti_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P5W14
      OFFSETS:	57-58
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	سهاد
     IS_TRANS:	shAd
        INDEX:	P5W15
      OFFSETS:	59-63
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suhAd_1]
   UNSPLITVOC:	(suhAd)
          POS:	NOUN_PROP
          VOC:	suhAd
        GLOSS:	Suhad

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P5W16
      OFFSETS:	64-65
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	هبة
     IS_TRANS:	hbp
        INDEX:	P5W17
      OFFSETS:	66-69
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hibap_1]
   UNSPLITVOC:	(hibap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	hib+ap
        GLOSS:	heba+[fem.sg.]

 INPUT STRING:	كامل
     IS_TRANS:	kAml
        INDEX:	P5W18
      OFFSETS:	70-74
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmil)
          POS:	NOUN_PROP
          VOC:	kAmil
        GLOSS:	Kamil

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P5W19
      OFFSETS:	75-76
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	سهير
     IS_TRANS:	shyr
        INDEX:	P5W20
      OFFSETS:	77-81
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suhiyr_1]
   UNSPLITVOC:	(suhiyr)
          POS:	NOUN_PROP
          VOC:	suhayr
        GLOSS:	Suhiyr

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P5W21
      OFFSETS:	82-86
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P5W22
      OFFSETS:	87-89
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P5W23
      OFFSETS:	90-94
       TOKENS:	P5W26-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W2
      OFFSETS:	2-4
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ناوية
     IS_TRANS:	nAwyp
        INDEX:	P6W3
      OFFSETS:	5-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAwiy_1]
   UNSPLITVOC:	(nAwoyap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	nAwoy+ap
        GLOSS:	intending+[fem.sg.]

 INPUT STRING:	اضيف
     IS_TRANS:	ADyf
        INDEX:	P6W4
      OFFSETS:	11-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaDAf_1]
   UNSPLITVOC:	(AaDiyf)
          POS:	IV1S+IV
          VOC:	Aa+Diyf
        GLOSS:	I+add

 INPUT STRING:	Hd
     IS_TRANS:	Hd
        INDEX:	P6W5
      OFFSETS:	16-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P6W6
      OFFSETS:	19-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P6W7
      OFFSETS:	24-26
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	دام
     IS_TRANS:	dAm
        INDEX:	P6W8
      OFFSETS:	27-30
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAm_1]
   UNSPLITVOC:	(dAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dAm+(null)
        GLOSS:	last/persevere/continue+he/it

 INPUT STRING:	باوصل
     IS_TRANS:	bAwSl
        INDEX:	P6W9
      OFFSETS:	31-36
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(bAawoSal)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+woSal
        GLOSS:	[present-tense]+I+connect/arrive/reach

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P6W10
      OFFSETS:	37-38
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الواتس
     IS_TRANS:	AlwAts
        INDEX:	P6W11
      OFFSETS:	39-45
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlwAts)
          POS:	FOREIGN
          VOC:	AlwAts
        GLOSS:	nogloss

 INPUT STRING:	|
     IS_TRANS:	|
        INDEX:	P6W12
      OFFSETS:	46-47
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(|)
          POS:	FOREIGN
          VOC:	|
        GLOSS:	nogloss

 INPUT STRING:	b
     IS_TRANS:	b
        INDEX:	P6W13
      OFFSETS:	47-48
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(b)
          POS:	FOREIGN
          VOC:	b
        GLOSS:	nogloss

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	حطيتك
     IS_TRANS:	HTytk
        INDEX:	P7W2
      OFFSETS:	2-7
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~aytik)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:2FS
          VOC:	HaT~+ayt+ik
        GLOSS:	descend/land/set down/lower+I+you

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P7W3
      OFFSETS:	8-12
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P7W4
      OFFSETS:	13-16
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
