 INPUT STRING:	جاية
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W5
      OFFSETS:	19-20
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	بيتعمل
     IS_TRANS:	bytEml
        INDEX:	P6W2
      OFFSETS:	4-10
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AitEamal_1]
   UNSPLITVOC:	(biyitoEimil)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+toEimil
        GLOSS:	[present-tense]+he/it+be made/be functioned/be done

 INPUT STRING:	وريني
     IS_TRANS:	wryny
        INDEX:	P6W3
      OFFSETS:	11-16
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[war~aY_1]
   UNSPLITVOC:	(war~iyniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	war~iy+(null)+niy
        GLOSS:	stoke/kindle/conceal/feign/be stoked/be kindled/showed+you+me

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P6W4
      OFFSETS:	17-22
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alsyd)
          POS:	FOREIGN
          VOC:	Alsyd
        GLOSS:	nogloss

 INPUT STRING:	بتاعك
     IS_TRANS:	btAEk
        INDEX:	P6W5
      OFFSETS:	23-28
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bitAE+ak
        GLOSS:	owners/something/belongings+your

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	جبتهاش
     IS_TRANS:	jbthA$
        INDEX:	P7W3
      OFFSETS:	7-13
       TOKENS:	P7W3-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibtahA$)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS+NEG_PART
          VOC:	jib+t+hA+$
        GLOSS:	explore/traverse+I+it/them/her+not

 INPUT STRING:	مستني
     IS_TRANS:	mstny
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy)
          POS:	ADJ
          VOC:	misotan~iy
        GLOSS:	waiting/anticipating

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W3
      OFFSETS:	9-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P9W2
      OFFSETS:	3-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P9W3
      OFFSETS:	8-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

