 INPUT STRING:	ها
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(Ainozil)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ainozil+(null)
        GLOSS:	descend/stay+you

 INPUT STRING:	وغير
     IS_TRANS:	wgyr
        INDEX:	P7W3
      OFFSETS:	9-13
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(wigay~ar)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+gay~ar+(null)
        GLOSS:	and+change/modify+you

 INPUT STRING:	مناظر
     IS_TRANS:	mnAZr
        INDEX:	P7W4
      OFFSETS:	14-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(manAZir)
          POS:	NOUN
          VOC:	manAZir
        GLOSS:	view/scenery/appearance/scene/views

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P7W5
      OFFSETS:	20-24
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	حاطمن
     IS_TRANS:	HATmn
        INDEX:	P7W6
      OFFSETS:	25-30
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tam~in_1]
   UNSPLITVOC:	(HaATam~in)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Tam~in
        GLOSS:	will+I+pacify/calm down/reassure/assuage

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P7W7
      OFFSETS:	31-35
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	دبي
     IS_TRANS:	dby
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dubay~_1]
   UNSPLITVOC:	(dubay~)
          POS:	NOUN_PROP
          VOC:	dubay~
        GLOSS:	Dubai

 INPUT STRING:	والروقان
     IS_TRANS:	wAlrwqAn
        INDEX:	P8W2
      OFFSETS:	4-12
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rawaqAn_1]
   UNSPLITVOC:	(wiAlrawaqAn)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+rawaqAn
        GLOSS:	and+the+amusement

