 INPUT STRING:	ريم
   UNSPLITVOC:	(&#xe40a;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	استفسر
     IS_TRANS:	Astfsr
        INDEX:	P3W2
      OFFSETS:	5-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotafosar_1]
   UNSPLITVOC:	(Aasotafosar)
          POS:	IV1S+IV
          VOC:	Aa+sotafosar
        GLOSS:	i+demand explanation

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W3
      OFFSETS:	12-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P3W4
      OFFSETS:	15-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W5
      OFFSETS:	19-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اتفضلي
     IS_TRANS:	AtfDly
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitofaD~al_1]
   UNSPLITVOC:	(AitofaD~aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AitofaD~al+iy
        GLOSS:	be generous/do a favor+you

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ريحة
     IS_TRANS:	ryHp
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyHap_1]
   UNSPLITVOC:	(riyHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	riyH+ap
        GLOSS:	smell/odor+[fem.sg.]

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W4
      OFFSETS:	13-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P6W5
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice+[fem.sg.]

 INPUT STRING:	وضرسي
     IS_TRANS:	wDrsy
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Diros_1]
   UNSPLITVOC:	(wiDirosiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+Diros+iy
        GLOSS:	and+molar+my

 INPUT STRING:	ابتدا
     IS_TRANS:	AbtdA
        INDEX:	P7W2
      OFFSETS:	6-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(AibotadA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AibotadA+(null)
        GLOSS:	start/undertake/enact/prescribe/begin tart/appear/seem/make a start+he/it

 INPUT STRING:	يوجعني
     IS_TRANS:	ywjEny
        INDEX:	P7W3
      OFFSETS:	12-18
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(yiwojaEniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+wojaE+niy
        GLOSS:	he/it+pain/suffer/ache/hurt+me

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mmn)
          POS:	TYPO
          VOC:	mmn
        GLOSS:	nogloss

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	خراج
     IS_TRANS:	xrAj
        INDEX:	P8W3
      OFFSETS:	9-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xur~Aj_1]
   UNSPLITVOC:	(xur~Aj)
          POS:	NOUN
          VOC:	xur~Aj
        GLOSS:	abscess

 INPUT STRING:	حاسة
     IS_TRANS:	HAsp
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	إنك
     IS_TRANS:	<nk
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	وارمة
     IS_TRANS:	wArmp
        INDEX:	P9W3
      OFFSETS:	9-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wArim_1]
   UNSPLITVOC:	(wAromap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wArom+ap
        GLOSS:	swollen+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W4
      OFFSETS:	15-16
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ومهما
     IS_TRANS:	wmhmA
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahomA_1]
   UNSPLITVOC:	(wimahomA)
          POS:	CONJ+REL_PRON
          VOC:	wi+mahomA
        GLOSS:	and+whatever

 INPUT STRING:	اغسل
     IS_TRANS:	Agsl
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gasal_1]
   UNSPLITVOC:	(>agosil)
          POS:	IV1S+IV
          VOC:	>a+gosil
        GLOSS:	i+wash/clean

 INPUT STRING:	سناني
     IS_TRANS:	snAny
        INDEX:	P10W3
      OFFSETS:	11-16
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~ap_1]
   UNSPLITVOC:	(sinAniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	sinAn+iy
        GLOSS:	teeth+my

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P10W4
      OFFSETS:	17-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	أستخدم
     IS_TRANS:	>stxdm
        INDEX:	P10W5
      OFFSETS:	20-26
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>isotaxodam_1]
   UNSPLITVOC:	(>asotaxodim)
          POS:	IV1S+IV
          VOC:	>a+sotaxodim
        GLOSS:	i+use/utilize/employ/operate

 INPUT STRING:	مضمضة
     IS_TRANS:	mDmDp
        INDEX:	P10W6
      OFFSETS:	27-32
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maDomaDap_1]
   UNSPLITVOC:	(maDomaDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maDomaD+ap
        GLOSS:	rinsing/gargling+[fem.sg.]

 INPUT STRING:	الريحة
     IS_TRANS:	AlryHp
        INDEX:	P10W7
      OFFSETS:	33-39
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyHap_1]
   UNSPLITVOC:	(AlriyHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riyH+ap
        GLOSS:	the+smell/odor+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P10W8
      OFFSETS:	40-43
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P10W9
      OFFSETS:	44-50
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	والوجع
     IS_TRANS:	wAlwjE
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(wiAlwajaE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+wajaE
        GLOSS:	and+the+pain/ache/pains/aches

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P11W2
      OFFSETS:	7-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W3
      OFFSETS:	12-14
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ثابت
     IS_TRANS:	vAbt
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAbit_1]
   UNSPLITVOC:	(vAbit)
          POS:	ADJ
          VOC:	vAbit
        GLOSS:	established/proven/permanent

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	أكل
     IS_TRANS:	>kl
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(Aakul)
          POS:	IV1S+IV
          VOC:	Aa+kul
        GLOSS:	I+eat/consume/be eaten/be consumed

 INPUT STRING:	لحمة
     IS_TRANS:	lHmp
        INDEX:	P12W3
      OFFSETS:	8-12
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHomap_1]
   UNSPLITVOC:	(laHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	laHom+ap
        GLOSS:	soldering iron/meat/flesh/corpulent/soldering/solder/weld/welding+[fem.sg.]

 INPUT STRING:	ناشفة
     IS_TRANS:	nA$fp
        INDEX:	P12W4
      OFFSETS:	13-18
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nA$if_1]
   UNSPLITVOC:	(nA$ifap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nA$if+ap
        GLOSS:	dry/desiccated/stiff+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W5
      OFFSETS:	19-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ضرسك
     IS_TRANS:	Drsk
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Diros_1]
   UNSPLITVOC:	(Dirosik)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Diros+ik
        GLOSS:	molar+your [masc.sg.]

 INPUT STRING:	مسوس
     IS_TRANS:	msws
        INDEX:	P13W3
      OFFSETS:	9-13
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaw~is_1]
   UNSPLITVOC:	(misaw~is)
          POS:	ADJ
          VOC:	misaw~is
        GLOSS:	worm-eaten/carious

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W5
      OFFSETS:	18-19
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مخروم
     IS_TRANS:	mxrwm
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoruwm_1]
   UNSPLITVOC:	(maxoruwm)
          POS:	NOUN
          VOC:	maxoruwm
        GLOSS:	defective/perforated/porous/leaky/ozing

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P14W2
      OFFSETS:	6-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W4
      OFFSETS:	14-15
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W2
      OFFSETS:	3-5
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P15W3
      OFFSETS:	6-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	بينه
     IS_TRANS:	bynh
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(bayonhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	bayon+hu
        GLOSS:	between/among+its/his

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(wabayon)
          POS:	CONJ+NOUN
          VOC:	wa+bayon
        GLOSS:	and+between/among

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P16W3
      OFFSETS:	10-14
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	جمبه
     IS_TRANS:	jmbh
        INDEX:	P16W4
      OFFSETS:	15-19
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamob_1]
   UNSPLITVOC:	(jamobuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jamob+uh
        GLOSS:	gum-shield+his/its

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W5
      OFFSETS:	20-22
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
