 INPUT STRING:	ربنا
     IS_TRANS:	llsjAd
        INDEX:	P6W4
      OFFSETS:	16-22
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sij~Adap_1]
   UNSPLITVOC:	(lils~ij~Ad)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+sij~Ad
        GLOSS:	for/to+the+carpet

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حابب
     IS_TRANS:	HAbb
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAbib_1]
   UNSPLITVOC:	(HAbib)
          POS:	ADJ.VN
          VOC:	HAbib
        GLOSS:	liking/loving/desirous/wishing/wanting

 INPUT STRING:	اصحيك
     IS_TRANS:	ASHyk
        INDEX:	P7W3
      OFFSETS:	8-13
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~aY_1]
   UNSPLITVOC:	(AaSaH~iyk)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+SaH~iy+ak
        GLOSS:	I+awaken/rouse/be awakened/be roused+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P7W4
      OFFSETS:	14-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وبلاش
     IS_TRANS:	wblA$
        INDEX:	P7W5
      OFFSETS:	16-21
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_2]
   UNSPLITVOC:	(wibalA$)
          POS:	CONJ+VERB
          VOC:	wi+balA$
        GLOSS:	and+Don't

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P7W6
      OFFSETS:	22-25
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	stubborn

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P7W7
      OFFSETS:	25-26
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W8
      OFFSETS:	26-27
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W9
      OFFSETS:	27-28
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	قول
     IS_TRANS:	qwl
        INDEX:	P7W10
      OFFSETS:	28-31
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwl)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	quwl+(null)
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P7W11
      OFFSETS:	32-34
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	المعاد
     IS_TRANS:	AlmEAd
        INDEX:	P7W12
      OFFSETS:	35-41
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEAd_1]
   UNSPLITVOC:	(AlmaEAd)
          POS:	DET+NOUN
          VOC:	Al+maEAd
        GLOSS:	the+return/destination

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W13
      OFFSETS:	42-46
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	يريحك
     IS_TRANS:	yryHk
        INDEX:	P7W14
      OFFSETS:	47-52
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~aH_1]
   UNSPLITVOC:	(yiray~aHak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+ray~aH+ak
        GLOSS:	he/it+make rest/make relax+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W15
      OFFSETS:	53-54
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
