 INPUT STRING:	وحستيني
      OFFSETS:	13-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(dukotuwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dukotuwr+ap
        GLOSS:	doctor/Doctor/Dr.+[fem.sg.]

 INPUT STRING:	صيدلانية
     IS_TRANS:	SydlAnyp
        INDEX:	P3W4
      OFFSETS:	20-28
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SayodalAniy_2]
   UNSPLITVOC:	(SayodalAniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SayodalAniy~+ap
        GLOSS:	pharmaceutical+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P4W2
      OFFSETS:	2-5
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W3
      OFFSETS:	6-8
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بقتش
     IS_TRANS:	bqt$
        INDEX:	P4W4
      OFFSETS:	9-13
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	baq+iyt+$
        GLOSS:	become/begin/start/be/begin a new day+it/they/she+not

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P4W5
      OFFSETS:	14-16
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	تسكري
     IS_TRANS:	tskry
        INDEX:	P5W3
      OFFSETS:	9-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zAkir_1]
   UNSPLITVOC:	(tizAkoriy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+zAkor+iy
        GLOSS:	you+study+you

 INPUT STRING:	فل
     IS_TRANS:	fl
        INDEX:	P5W4
      OFFSETS:	15-17
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fl)
          POS:	TYPO
          VOC:	fl
        GLOSS:	nogloss

 INPUT STRING:	نادي
     IS_TRANS:	nAdy
        INDEX:	P5W5
      OFFSETS:	18-22
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(nAdiy)
          POS:	NOUN
          VOC:	nAdiy
        GLOSS:	club/association/clubs/associations

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P5W6
      OFFSETS:	23-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W7
      OFFSETS:	26-27
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بتتكبرى
     IS_TRANS:	bttkbrY
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tokab~ar_1]
   UNSPLITVOC:	(bititokab~ariy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+tokab~ar+iy
        GLOSS:	[present-tense]+you+be haughty+you

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P6W2
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EaliynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P6W3
      OFFSETS:	14-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W4
      OFFSETS:	17-18
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	رايح
     IS_TRANS:	rAyH
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyiH)
          POS:	ADJ
          VOC:	rAyiH
        GLOSS:	going

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P8W3
      OFFSETS:	9-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W4
      OFFSETS:	14-15
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأروح
     IS_TRANS:	b>rwH
        INDEX:	P9W2
      OFFSETS:	4-9
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(bAaruwH)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+ruwH
        GLOSS:	[present-tense]+I+begin/go

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W3
      OFFSETS:	10-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W4
      OFFSETS:	13-16
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

