 INPUT STRING:	وعشأن
     IS_TRANS:	mrp
        INDEX:	P1W7
      OFFSETS:	34-37
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	38-39
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W9
      OFFSETS:	39-40
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ريحيني
     IS_TRANS:	ryHyny
        INDEX:	P1W10
      OFFSETS:	40-46
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~aH_1]
   UNSPLITVOC:	(ray~aHiyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	ray~aH+iy+niy
        GLOSS:	make rest/make relax+you+me

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P1W11
      OFFSETS:	47-52
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	حأعيط
     IS_TRANS:	H>EyT
        INDEX:	P1W12
      OFFSETS:	53-58
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~aT_1]
   UNSPLITVOC:	(HaAaEay~aT)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Eay~aT
        GLOSS:	will+I+scream/shout

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	حتزعلى
     IS_TRANS:	HtzElY
        INDEX:	P2W2
      OFFSETS:	5-11
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(HatizoEaliy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+zoEal+iy
        GLOSS:	will+you+be angry+you

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P2W3
      OFFSETS:	12-15
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P2W4
      OFFSETS:	16-20
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	little/small+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W5
      OFFSETS:	21-23
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P2W6
      OFFSETS:	24-29
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	حييجي
     IS_TRANS:	Hyyjy
        INDEX:	P2W7
      OFFSETS:	30-35
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(Hayiyojiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+yojiy
        GLOSS:	will+he/it+occur/came/come/reach/arrive

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P2W8
      OFFSETS:	36-41
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/day/some day/ever/days

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W9
      OFFSETS:	42-46
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	حتعرفي
     IS_TRANS:	HtErfy
        INDEX:	P2W10
      OFFSETS:	47-53
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(HatiEorafiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+Eoraf+iy
        GLOSS:	will+you+know+you

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W11
      OFFSETS:	54-57
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyuh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P2W12
      OFFSETS:	58-61
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<iniy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in+iy
        GLOSS:	that+i

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P2W13
      OFFSETS:	62-66
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+I

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P2W14
      OFFSETS:	67-70
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	عالشأن
     IS_TRANS:	EAl$>n
        INDEX:	P2W15
      OFFSETS:	71-77
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(EaAl$a>on)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+$a>on
        GLOSS:	on/above+the+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	باحبك
     IS_TRANS:	bAHbk
        INDEX:	P2W16
      OFFSETS:	78-83
       TOKENS:	P2W24-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+Hib~+ik
        GLOSS:	[present-tense]+I+love/like/want+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P2W17
      OFFSETS:	84-85
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

