 INPUT STRING:	نوايا
     IS_TRANS:	mn
        INDEX:	P3W22
      OFFSETS:	85-87
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذنبه
     IS_TRANS:	*nbh
        INDEX:	P3W23
      OFFSETS:	88-92
       TOKENS:	P3W28-P3W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*anab_1]
   UNSPLITVOC:	(*anabihi)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	*anab+i+hi
        GLOSS:	tail/appendage/follower+[def.gen.]+its/his

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P3W24
      OFFSETS:	93-96
       TOKENS:	P3W30-P3W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+REL_PRON
          VOC:	wa+mA
        GLOSS:	and+what/which

 INPUT STRING:	تأخر
     IS_TRANS:	t>xr
        INDEX:	P3W25
      OFFSETS:	97-101
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>ax~ar_1]
   UNSPLITVOC:	(ta>ax~ara)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	ta>ax~ar+a
        GLOSS:	be delayed/be postponed+he/it [verb]

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P3W26
      OFFSETS:	101-102
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	-أن
     IS_TRANS:	->n
        INDEX:	P4W2
      OFFSETS:	1-4
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	>an
        GLOSS:	That, to

 INPUT STRING:	يباعد
     IS_TRANS:	ybAEd
        INDEX:	P4W3
      OFFSETS:	5-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAEad_1]
   UNSPLITVOC:	(yubAEida)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	yu+bAEid+a
        GLOSS:	he/it+separate+[sub.]

 INPUT STRING:	بينك
     IS_TRANS:	bynk
        INDEX:	P4W4
      OFFSETS:	11-15
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(bayonka)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bayon+ka
        GLOSS:	between/among+your [masc.sg.]

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P4W5
      OFFSETS:	16-20
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(wibayn)
          POS:	CONJ+NOUN
          VOC:	wi+bayn
        GLOSS:	and+between

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P4W6
      OFFSETS:	21-26
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(AlnAr)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting/burning/fires

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P4W7
      OFFSETS:	27-28
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	باعد
     IS_TRANS:	bAEd
        INDEX:	P4W8
      OFFSETS:	28-32
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAEad_1]
   UNSPLITVOC:	(bAEada)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bAEad+a
        GLOSS:	separate+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P4W9
      OFFSETS:	33-37
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`hu)
          POS:	NOUN_PROP+CASE_DEF_NOM
          VOC:	All~`h+u
        GLOSS:	Allah/God+[def.nom.]

 INPUT STRING:	بينه
     IS_TRANS:	bynh
        INDEX:	P4W10
      OFFSETS:	38-42
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(bayonahu)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_3MS
          VOC:	bayon+a+hu
        GLOSS:	between/among+[def.acc.]+its/his

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P4W11
      OFFSETS:	43-47
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayona_1]
   UNSPLITVOC:	(wabayon)
          POS:	CONJ+NOUN
          VOC:	wa+bayon
        GLOSS:	and+between/among

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P4W12
      OFFSETS:	48-53
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(AlnAr)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting/burning/fires

 INPUT STRING:	مسيرة
     IS_TRANS:	msyrp
        INDEX:	P4W13
      OFFSETS:	54-59
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(masiyrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	masiyr+ap
        GLOSS:	march/parade+[fem.sg.]

 INPUT STRING:	مئة
     IS_TRANS:	m}p
        INDEX:	P4W14
      OFFSETS:	60-63
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi}ap_1]
   UNSPLITVOC:	(mi}ap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	mi}+ap
        GLOSS:	hundred+[fem.sg.]

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P4W15
      OFFSETS:	64-67
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
