 INPUT STRING:	مصر
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(yid~iynA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+d~iy+nA
        GLOSS:	he/it+give/provide/hand over/be given/be provided/carry out/perform/lead+us

 INPUT STRING:	الصبر
     IS_TRANS:	AlSbr
        INDEX:	P7W10
      OFFSETS:	38-43
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabor_1]
   UNSPLITVOC:	(AlSabor)
          POS:	DET+NOUN
          VOC:	Al+Sabor
        GLOSS:	the+patience/endurance

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	آمين
     IS_TRANS:	|myn
        INDEX:	P8W2
      OFFSETS:	6-10
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!/respond/answer

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(<inotiy)
          POS:	PRON_2FS
          VOC:	<inotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عمله
     IS_TRANS:	Emlh
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Emlh)
          POS:	TYPO
          VOC:	Emlh
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بتفضى
     IS_TRANS:	btfDY
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAD~aY_1]
   UNSPLITVOC:	(bitofaD~iy)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+to+faD~iy
        GLOSS:	[present tense.]+you+be free

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P10W2
      OFFSETS:	6-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time/moments/times

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P10W3
      OFFSETS:	12-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	بتبوظ
     IS_TRANS:	btbwZ
        INDEX:	P11W2
      OFFSETS:	5-10
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAZ_1]
   UNSPLITVOC:	(bitibuwZ)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+buwZ
        GLOSS:	[present-tense]+it/they/she+be ineffective

 INPUT STRING:	ونصلحها
     IS_TRANS:	wnSlHhA
        INDEX:	P12W1
      OFFSETS:	0-7
       TOKENS:	P12W1-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aH_1]
   UNSPLITVOC:	(winiSal~aHahA)
          POS:	CONJ+IV1P+IV+IVSUFF_DO:3FS
          VOC:	wi+ni+Sal~aH+hA
        GLOSS:	and+we+put in order/repair+it/them/her

 INPUT STRING:	وننظف
     IS_TRANS:	wnnZf
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZ~af_1]
   UNSPLITVOC:	(wininaZ~af)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+naZ~af
        GLOSS:	and+we+clean/polish

 INPUT STRING:	وراها
     IS_TRANS:	wrAhA
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	warA+hA
        GLOSS:	behind+its/their/her

 INPUT STRING:	سو
     IS_TRANS:	sw
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sw)
          POS:	FOREIGN
          VOC:	sw
        GLOSS:	nogloss

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P14W2
      OFFSETS:	3-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time/moments/times

 INPUT STRING:	بيعدي
     IS_TRANS:	byEdy
        INDEX:	P14W3
      OFFSETS:	9-14
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(biyiEad~iy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Ead~iy
        GLOSS:	[present-tense]+he/it+traverse/cross/be traversed/be crossed

