 INPUT STRING:	أحم
          POS:	NOUN+POSS_PRON_1S
          VOC:	>axuw+iy
        GLOSS:	brothers/fraternity/brotherhood+my

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	مقضياها
     IS_TRANS:	mqDyAhA
        INDEX:	P9W3
      OFFSETS:	9-16
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miqaD~iy_1]
   UNSPLITVOC:	(miqaD~iyaphA)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	miqaD~iy+ap+hA
        GLOSS:	spending+[fem.sg.]+its/their/her

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P9W4
      OFFSETS:	17-20
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainoti)
          POS:	PRON_2FS
          VOC:	Ainoti
        GLOSS:	you [fem.sg.]/you/femnine

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	احتمال
     IS_TRANS:	AHtmAl
        INDEX:	P11W2
      OFFSETS:	5-11
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(AiHotimAl)
          POS:	NOUN
          VOC:	AiHotimAl
        GLOSS:	probabilities/possibilities

 INPUT STRING:	أبتدى
     IS_TRANS:	>btdY
        INDEX:	P11W3
      OFFSETS:	12-17
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(Aabotidiy)
          POS:	IV1S+IV
          VOC:	Aa+botidiy
        GLOSS:	I+start/undertake/enact/prescribe/begin tart/appear/seem/make a start

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P11W4
      OFFSETS:	18-21
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/labor/business

 INPUT STRING:	دونه
     IS_TRANS:	dwnh
        INDEX:	P11W5
      OFFSETS:	22-26
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dwnh)
          POS:	FOREIGN
          VOC:	dwnh
        GLOSS:	nogloss

 INPUT STRING:	ه
     IS_TRANS:	h
        INDEX:	P11W6
      OFFSETS:	27-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h)
          POS:	NO_FUNC
          VOC:	h
        GLOSS:	nogloss

 INPUT STRING:	أبا
     IS_TRANS:	>bA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ub~A_1]
   UNSPLITVOC:	(>ub~A)
          POS:	INTERJ
          VOC:	>ub~A
        GLOSS:	suprise

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P13W3
      OFFSETS:	9-12
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P13W4
      OFFSETS:	13-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P14W2
      OFFSETS:	3-6
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W3
      OFFSETS:	7-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W4
      OFFSETS:	10-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جريان
     IS_TRANS:	jryAn
        INDEX:	P15W2
      OFFSETS:	3-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jryAn)
          POS:	FOREIGN
          VOC:	jryAn
        GLOSS:	nogloss

 INPUT STRING:	بلازا
     IS_TRANS:	blAzA
        INDEX:	P15W3
      OFFSETS:	9-14
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[blAzA_1]
   UNSPLITVOC:	(blAzA)
          POS:	NOUN_PROP
          VOC:	blAzA
        GLOSS:	Plaza

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P15W4
      OFFSETS:	15-19
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name/names+his/its

 INPUT STRING:	العالمية
     IS_TRANS:	AlEAlmyp
        INDEX:	P15W5
      OFFSETS:	20-28
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlamiy_1]
   UNSPLITVOC:	(AlEAlamiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAlamiy~+ap
        GLOSS:	the+world/worldwide/international+[fem.sg.]

 INPUT STRING:	للأورام
     IS_TRANS:	ll>wrAm
        INDEX:	P15W6
      OFFSETS:	29-36
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waram_1]
   UNSPLITVOC:	(lil>awrAm)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>awrAm
        GLOSS:	for/to+the+tumor/swelling/tumors

 INPUT STRING:	برافو
     IS_TRANS:	brAfw
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[birAfuw_1]
   UNSPLITVOC:	(birAfuw)
          POS:	INTERJ
          VOC:	birAfuw
        GLOSS:	good

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P16W2
      OFFSETS:	6-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ريموز
     IS_TRANS:	rymwz
        INDEX:	P16W3
      OFFSETS:	9-14
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riymuwz_1]
   UNSPLITVOC:	(riymuwz)
          POS:	NOUN_PROP
          VOC:	riymuwz
        GLOSS:	Rimoz

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P16W4
      OFFSETS:	15-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hd)
          POS:	FOREIGN
          VOC:	Hd
        GLOSS:	nogloss

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P16W5
      OFFSETS:	18-20
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lk)
          POS:	FOREIGN
          VOC:	lk
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P16W6
      OFFSETS:	21-22
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مرسي
     IS_TRANS:	mrsy
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mrsy)
          POS:	TYPO
          VOC:	mrsy
        GLOSS:	nogloss

 INPUT STRING:	أدعي
     IS_TRANS:	>dEy
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(AidoEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AidoE+iy
        GLOSS:	call/invite/be called/be invited/pray+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P17W3
      OFFSETS:	10-12
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P18W2
      OFFSETS:	3-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P18W3
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P18W4
      OFFSETS:	12-16
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	هيوفقك
     IS_TRANS:	hywfqk
        INDEX:	P18W5
      OFFSETS:	17-23
       TOKENS:	P18W6-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(Hayiwaf~aqik)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:2FS
          VOC:	Ha+yi+waf~aq+ik
        GLOSS:	will+he/it+grant success/be granted success/be successful+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P19W2
      OFFSETS:	3-5
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P19W3
      OFFSETS:	6-8
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P19W4
      OFFSETS:	9-12
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W5
      OFFSETS:	13-17
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ابقى
     IS_TRANS:	AbqY
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(Aiboqiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiboq+iy
        GLOSS:	become/begin/start/be/begin a new day+you

 INPUT STRING:	احكي
     IS_TRANS:	AHky
        INDEX:	P20W2
      OFFSETS:	5-9
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(AiHokiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiHok+iy
        GLOSS:	relate/report/tell/be related/be reported/be told+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P20W3
      OFFSETS:	10-12
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P20W4
      OFFSETS:	13-16
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ
          VOC:	Aw~il
        GLOSS:	first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P20W5
      OFFSETS:	17-20
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

