 INPUT STRING:	لازم
        INDEX:	P5W1
      OFFSETS:	0-1
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عت
     IS_TRANS:	Et
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Et)
          POS:	FOREIGN
          VOC:	Et
        GLOSS:	nogloss

 INPUT STRING:	اوكي
     IS_TRANS:	Awky
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aawok~ayoh_1]
   UNSPLITVOC:	(Aawok~ay)
          POS:	INTERJ
          VOC:	Aawok~ayoh
        GLOSS:	Ok

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	موهة
     IS_TRANS:	mwhp
        INDEX:	P6W5
      OFFSETS:	19-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mwah_1]
   UNSPLITVOC:	(mwah)
          POS:	INTERJ
          VOC:	mwah
        GLOSS:	kiss/sound of a kiss

 INPUT STRING:	موهة
     IS_TRANS:	mwhp
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mwah_1]
   UNSPLITVOC:	(mwah)
          POS:	INTERJ
          VOC:	mwah
        GLOSS:	kiss/sound of a kiss

