 INPUT STRING:	عملت
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W3
      OFFSETS:	10-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W4
      OFFSETS:	11-12
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sah~il_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate

 INPUT STRING:	والحق
     IS_TRANS:	wAlHq
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(wiAaloHaq)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+loHaq
        GLOSS:	and+I+follow/be attached/[help!]/reach

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P5W5
      OFFSETS:	20-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(|axir)
          POS:	ADJ
          VOC:	|axar
        GLOSS:	other/another/last/end/the last/extreme/utmost/second

 INPUT STRING:	الأسبوع
     IS_TRANS:	Al>sbwE
        INDEX:	P5W6
      OFFSETS:	24-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AusobuwE_1]
   UNSPLITVOC:	(AlAusobuwE)
          POS:	DET+NOUN
          VOC:	Al+AusobuwE
        GLOSS:	the+week/weeks

 INPUT STRING:	محتاج
     IS_TRANS:	mHtAj
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAj)
          POS:	ADJ
          VOC:	miHotAj
        GLOSS:	in need/wanting/requiring/needing/needy/poor/destitute/por

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P6W2
      OFFSETS:	6-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W3
      OFFSETS:	10-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W4
      OFFSETS:	11-12
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انشاءالله
     IS_TRANS:	An$A'Allh
        INDEX:	P7W1
      OFFSETS:	0-9
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$A'Allh)
          POS:	NO_FUNC
          VOC:	An$A'Allh
        GLOSS:	nogloss

 INPUT STRING:	تلحق
     IS_TRANS:	tlHq
        INDEX:	P7W2
      OFFSETS:	10-14
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(tiloHaq)
          POS:	IV2MS+IV
          VOC:	ti+loHaq
        GLOSS:	you+follow/be attached/[help!]/reach

 INPUT STRING:	وسافر
     IS_TRANS:	wsAfr
        INDEX:	P7W3
      OFFSETS:	15-20
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(wisAfir)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+sAfir+(null)
        GLOSS:	and+travel+you

 INPUT STRING:	واتفسخ
     IS_TRANS:	wAtfsx
        INDEX:	P7W4
      OFFSETS:	21-27
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAtfsx)
          POS:	TYPO
          VOC:	wAtfsx
        GLOSS:	nogloss

 INPUT STRING:	وغير
     IS_TRANS:	wgyr
        INDEX:	P7W5
      OFFSETS:	28-32
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(wigay~ar)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+gay~ar+(null)
        GLOSS:	and+change/modify+you

 INPUT STRING:	مناظر
     IS_TRANS:	mnAZr
        INDEX:	P7W6
      OFFSETS:	33-38
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(manAZir)
          POS:	NOUN
          VOC:	manAZir
        GLOSS:	view/scenery/appearance/scene/views

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	شايلينك
     IS_TRANS:	$Aylynk
        INDEX:	P8W2
      OFFSETS:	3-10
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayil_1]
   UNSPLITVOC:	($Ayoliynak)
          POS:	ADJ+NSUFF_MASC_PL+PRON_2MS
          VOC:	$Ayol+iyn+ak
        GLOSS:	carrying/leaving+[pl.]+you

 INPUT STRING:	لعوزه
     IS_TRANS:	lEwzh
        INDEX:	P8W3
      OFFSETS:	11-16
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawzap_1]
   UNSPLITVOC:	(liEawzap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+Eawz+ap
        GLOSS:	for/to+need/needs/thing/belongings/possession/object/large penis/chopper+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W4
      OFFSETS:	17-19
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	افندم
     IS_TRANS:	Afndm
        INDEX:	P8W5
      OFFSETS:	20-25
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aafanodim_1]
   UNSPLITVOC:	(Afanodim)
          POS:	NOUN
          VOC:	Afanodim
        GLOSS:	afandem/sir/madam

 INPUT STRING:	ودائما
     IS_TRANS:	wdA}mA
        INDEX:	P8W6
      OFFSETS:	26-32
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(widA}imAF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wi+dA}im+AF
        GLOSS:	and+permanent/lasting/constant/always+[acc.indef.]

 INPUT STRING:	عامر
     IS_TRANS:	EAmr
        INDEX:	P8W7
      OFFSETS:	33-37
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmir_1]
   UNSPLITVOC:	(EAmir)
          POS:	ADJ
          VOC:	EAmir
        GLOSS:	flourishing/filled

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسهل
     IS_TRANS:	yshl
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sah~il_1]
   UNSPLITVOC:	(yisah~il)
          POS:	IV3MS+IV
          VOC:	yi+sah~il
        GLOSS:	he/it+facilitate

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P10W3
      OFFSETS:	10-15
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	آزي
     IS_TRANS:	|zy
        INDEX:	P10W4
      OFFSETS:	16-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~)
          POS:	INTERROG_ADV
          VOC:	Aiz~ay~
        GLOSS:	how

 INPUT STRING:	الاولاد
     IS_TRANS:	AlAwlAd
        INDEX:	P10W5
      OFFSETS:	20-27
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Al>awlAd)
          POS:	DET+NOUN
          VOC:	Al+>awlAd
        GLOSS:	the+child/son/children

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W6
      OFFSETS:	27-28
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W7
      OFFSETS:	28-29
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W8
      OFFSETS:	29-30
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	بحير
     IS_TRANS:	bHyr
        INDEX:	P11W3
      OFFSETS:	10-14
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bHyr)
          POS:	TYPO
          VOC:	bHyr
        GLOSS:	nogloss

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(bixiyr)
          POS:	PREP+NOUN
          VOC:	bi+xayr
        GLOSS:	with/by+good

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	خلص
     IS_TRANS:	xlS
        INDEX:	P13W2
      OFFSETS:	5-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aS)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xal~aS+(null)
        GLOSS:	purify/refine/clarify/finish+he/it

 INPUT STRING:	تلواجب
     IS_TRANS:	tlwAjb
        INDEX:	P13W3
      OFFSETS:	9-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tlwAjb)
          POS:	TYPO
          VOC:	tlwAjb
        GLOSS:	nogloss

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousands/thousand/thounsand/one thousand

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousands/thousand/thounsand/one thousand

 INPUT STRING:	حمد
     IS_TRANS:	Hmd
        INDEX:	P14W3
      OFFSETS:	8-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(Hamod)
          POS:	NOUN
          VOC:	Hamod
        GLOSS:	commendation/praise

 INPUT STRING:	وشكر
     IS_TRANS:	w$kr
        INDEX:	P14W4
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(wi$ukor)
          POS:	CONJ+NOUN
          VOC:	wi+$ukor
        GLOSS:	and+thankfulness/thanks/thank you

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P14W5
      OFFSETS:	17-20
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P14W6
      OFFSETS:	20-21
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P14W7
      OFFSETS:	21-22
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

