 INPUT STRING:	يوجه
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express happiness

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	كبر
     IS_TRANS:	kbr
        INDEX:	P5W2
      OFFSETS:	3-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibir_1]
   UNSPLITVOC:	(kibir)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kibir+(null)
        GLOSS:	grow older/increase/augment/become large/become plump/magnify/amplify/grow+he/it

 INPUT STRING:	وطلع
     IS_TRANS:	wTlE
        INDEX:	P5W3
      OFFSETS:	7-11
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(wiTal~aE)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Tal~aE+(null)
        GLOSS:	and+apear/rise/appear+he/it

 INPUT STRING:	لسانه
     IS_TRANS:	lsAnh
        INDEX:	P5W4
      OFFSETS:	12-17
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(lisAnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	lisAn+uh
        GLOSS:	tongue/tongues/language/languages/mouthpiece+his/its

 INPUT STRING:	لوول
     IS_TRANS:	lwwl
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwl_1]
   UNSPLITVOC:	(luwl)
          POS:	INTERJ
          VOC:	luwl
        GLOSS:	sound of laugh

 INPUT STRING:	مؤدب
     IS_TRANS:	m&db
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ad~ab_1]
   UNSPLITVOC:	(mu&ad~ab)
          POS:	ADJ
          VOC:	mu&ad~ab
        GLOSS:	well-bred

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تفرضي
     IS_TRANS:	tfrDy
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraD_1]
   UNSPLITVOC:	(tiforiD~iy)
          POS:	IV3FS+IV+IVSUFF_DO:1S
          VOC:	ti+foriD+niy
        GLOSS:	it/they/she+impose/be imposed+me

 INPUT STRING:	شخصيتك
     IS_TRANS:	$xSytk
        INDEX:	P8W3
      OFFSETS:	9-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~ap_1]
   UNSPLITVOC:	($axoSiy~itik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	$axoSiy~+ap+ik
        GLOSS:	identity/person/personality/individual/identities/personalities/persons/individuals+[fem.sg.]+your

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P8W4
      OFFSETS:	16-17
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	sound of laugh

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P9W2
      OFFSETS:	3-5
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W3
      OFFSETS:	6-8
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	شبه
     IS_TRANS:	$bh
        INDEX:	P9W4
      OFFSETS:	9-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abah_1]
   UNSPLITVOC:	($abah)
          POS:	NOUN
          VOC:	$abah
        GLOSS:	resemblance/resemblances

 INPUT STRING:	أيمن
     IS_TRANS:	>ymn
        INDEX:	P9W5
      OFFSETS:	13-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayman_1]
   UNSPLITVOC:	(>ayman)
          POS:	NOUN_PROP
          VOC:	>ayman
        GLOSS:	Ayman/Aiman

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	18-19
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W7
      OFFSETS:	19-20
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P9W8
      OFFSETS:	21-24
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P9W9
      OFFSETS:	25-30
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P9W10
      OFFSETS:	31-34
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W2
      OFFSETS:	3-5
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	أغلب
     IS_TRANS:	>glb
        INDEX:	P10W3
      OFFSETS:	6-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolab_1]
   UNSPLITVOC:	(>agolab)
          POS:	NOUN_QUANT
          VOC:	>agolab
        GLOSS:	most (of)/the majority (of)/the greater portion of part (of)

 INPUT STRING:	ملامحه
     IS_TRANS:	mlAmHh
        INDEX:	P10W4
      OFFSETS:	11-17
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malomaH_1]
   UNSPLITVOC:	(malAmoHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	malAmoH+uh
        GLOSS:	feature/characteristic/features/characteristics+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W5
      OFFSETS:	18-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P10W6
      OFFSETS:	20-23
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[min~_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munay_1]
   UNSPLITVOC:	(munaY)
          POS:	NOUN_PROP
          VOC:	munaY
        GLOSS:	Mona/Muna/Mouna

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P11W2
      OFFSETS:	4-5
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	واخد
     IS_TRANS:	wAxd
        INDEX:	P12W2
      OFFSETS:	3-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAxid_1]
   UNSPLITVOC:	(wAxid)
          POS:	ADJ
          VOC:	wAxid
        GLOSS:	taking

 INPUT STRING:	رسمة
     IS_TRANS:	rsmp
        INDEX:	P12W3
      OFFSETS:	8-12
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomap_1]
   UNSPLITVOC:	(rasomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rasom+ap
        GLOSS:	painting+[fem.sg.]

 INPUT STRING:	وشه
     IS_TRANS:	w$h
        INDEX:	P12W4
      OFFSETS:	13-16
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~h)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	wi$~+uh
        GLOSS:	faces+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W5
      OFFSETS:	17-18
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P12W6
      OFFSETS:	19-20
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	شعره
     IS_TRANS:	$Erh
        INDEX:	P12W7
      OFFSETS:	21-25
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	$aEor+uh
        GLOSS:	hair/hairs/hair-piece+his/its

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P13W1
      OFFSETS:	0-1
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa_1]
   UNSPLITVOC:	(fa)
          POS:	CONJ
          VOC:	fa
        GLOSS:	and/so

 INPUT STRING:	طاغية
     IS_TRANS:	TAgyp
        INDEX:	P13W2
      OFFSETS:	2-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAgiy_1]
   UNSPLITVOC:	(TAgiyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	TAgiy+ap
        GLOSS:	tyrant/oppressor+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P14W1
      OFFSETS:	0-1
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	doing+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P15W2
      OFFSETS:	6-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W3
      OFFSETS:	9-10
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P16W3
      OFFSETS:	10-14
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(bixayr)
          POS:	PREP+NOUN
          VOC:	bi+xayr
        GLOSS:	with/by+good

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	أخباراتك
     IS_TRANS:	>xbArAtk
        INDEX:	P17W2
      OFFSETS:	5-13
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobArAtik)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2FS
          VOC:	>axobAr+At+ik
        GLOSS:	news/report/reports+[fem.pl.]+your

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P17W3
      OFFSETS:	14-17
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W4
      OFFSETS:	18-19
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P19W2
      OFFSETS:	6-9
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P19W3
      OFFSETS:	10-14
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(bixayr)
          POS:	PREP+NOUN
          VOC:	bi+xayr
        GLOSS:	with/by+good

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P20W2
      OFFSETS:	3-4
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	الخيط
     IS_TRANS:	AlxyT
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayT_1]
   UNSPLITVOC:	(AlxayT)
          POS:	DET+NOUN
          VOC:	Al+xayT
        GLOSS:	the+string/thread/strings

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P21W2
      OFFSETS:	6-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P21W3
      OFFSETS:	10-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P21W4
      OFFSETS:	15-16
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
