 INPUT STRING:	خلود
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اوكي
     IS_TRANS:	Awky
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwok~iyh_1]
   UNSPLITVOC:	(>uwok~iyh)
          POS:	INTERJ
          VOC:	>uwok~iyh
        GLOSS:	ok

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P5W2
      OFFSETS:	5-11
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	تسلميلي
     IS_TRANS:	tslmyly
        INDEX:	P5W3
      OFFSETS:	12-19
       TOKENS:	P5W4-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[silim_1]
   UNSPLITVOC:	(tisolamiy_liy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	ti+solam+iy+li+iy
        GLOSS:	you+surrender/be safe+you+to/for+me

