 INPUT STRING:	انهي
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aijotahad_1]
   UNSPLITVOC:	(biyijotahid)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+jotahid
        GLOSS:	[present-tense]+he/it+strive/work hard

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P6W2
      OFFSETS:	1-2
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P8W2
      OFFSETS:	4-5
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P8W3
      OFFSETS:	5-6
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	بتاعتك
     IS_TRANS:	btAEtk
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEtik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	bitAE+ap+ik
        GLOSS:	belonging+[fem.sg.]+your

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W2
      OFFSETS:	6-7
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W3
      OFFSETS:	7-8
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P9W4
      OFFSETS:	8-11
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P9W5
      OFFSETS:	12-14
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كنتي
     IS_TRANS:	knty
        INDEX:	P9W6
      OFFSETS:	15-19
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kuntiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kun+tiy
        GLOSS:	be/was/were+you

 INPUT STRING:	سافرتي
     IS_TRANS:	sAfrty
        INDEX:	P9W7
      OFFSETS:	20-26
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(sAfirtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	sAfir+tiy
        GLOSS:	travel+you

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P9W8
      OFFSETS:	27-28
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	D
     IS_TRANS:	D
        INDEX:	P9W9
      OFFSETS:	28-29
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(D)
          POS:	PUNC
          VOC:	D
        GLOSS:	nogloss

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P10W1
      OFFSETS:	0-7
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	الخميس
     IS_TRANS:	Alxmys
        INDEX:	P10W2
      OFFSETS:	8-14
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamiys_1]
   UNSPLITVOC:	(Alxamiys)
          POS:	DET+NOUN
          VOC:	Al+xamiys
        GLOSS:	the+Thursday

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W3
      OFFSETS:	15-17
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P10W4
      OFFSETS:	18-21
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W5
      OFFSETS:	22-26
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W2
      OFFSETS:	4-5
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P12W2
      OFFSETS:	5-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P12W3
      OFFSETS:	6-7
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P12W4
      OFFSETS:	8-12
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entire/every/whole+our

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P12W5
      OFFSETS:	13-18
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	السلامة
     IS_TRANS:	AlslAmp
        INDEX:	P13W2
      OFFSETS:	3-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(AlsalAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+salAm+ap
        GLOSS:	the+security/safety/integrity+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W3
      OFFSETS:	11-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبي
     IS_TRANS:	Hby
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(Hub~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hub~+iy
        GLOSS:	love/affection/out of affection for/for love of+my

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P13W5
      OFFSETS:	18-19
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P13W6
      OFFSETS:	19-20
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	اوبااااا
     IS_TRANS:	AwbAAAAA
        INDEX:	P14W1
      OFFSETS:	0-8
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ub~A_1]
   UNSPLITVOC:	(<ub~A)
          POS:	INTERJ
          VOC:	<ub~A
        GLOSS:	Obs

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الصور
     IS_TRANS:	AlSwr
        INDEX:	P15W2
      OFFSETS:	4-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwar)
          POS:	DET+NOUN
          VOC:	Al+Suwar
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	مقدرش
     IS_TRANS:	mqdr$
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(mA_Aaqodar$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+qodar+$
        GLOSS:	not+I+be able to/be capable of/decree (God)+not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P16W3
      OFFSETS:	10-13
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P17W1
      OFFSETS:	0-1
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(E)
          POS:	NO_FUNC
          VOC:	E
        GLOSS:	nogloss

 INPUT STRING:	الواتس
     IS_TRANS:	AlwAts
        INDEX:	P17W2
      OFFSETS:	2-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlwAts)
          POS:	FOREIGN
          VOC:	AlwAts
        GLOSS:	nogloss

 INPUT STRING:	آب
     IS_TRANS:	|b
        INDEX:	P17W3
      OFFSETS:	9-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(|b)
          POS:	FOREIGN
          VOC:	|b
        GLOSS:	nogloss

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	جامدة
     IS_TRANS:	jAmdp
        INDEX:	P18W2
      OFFSETS:	7-12
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmid_1]
   UNSPLITVOC:	(jAmodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAmod+ap
        GLOSS:	frozen/rigid/inorganic+[fem.sg.]

 INPUT STRING:	؛
     IS_TRANS:	&#x61b;
        INDEX:	P18W3
      OFFSETS:	13-14
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(;)
          POS:	PUNC
          VOC:	;
        GLOSS:	;

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P18W4
      OFFSETS:	14-15
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P19W2
      OFFSETS:	4-6
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كانتش
     IS_TRANS:	kAnt$
        INDEX:	P19W3
      OFFSETS:	7-12
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	kAn+it+$
        GLOSS:	be/was/were+it/they/she+not

 INPUT STRING:	امنية
     IS_TRANS:	Amnyp
        INDEX:	P19W4
      OFFSETS:	13-18
       TOKENS:	P19W5-P19W5
