 INPUT STRING:	بصي
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W9
      OFFSETS:	39-43
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P3W3
      OFFSETS:	9-15
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P3W4
      OFFSETS:	16-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	خلي
     IS_TRANS:	xly
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xal~+iy
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	الست
     IS_TRANS:	Alst
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(Alsit~)
          POS:	DET+NOUN
          VOC:	Al+sit~
        GLOSS:	the+lady/miss/ladies/misses

 INPUT STRING:	تروح
     IS_TRANS:	trwH
        INDEX:	P4W3
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(tiruwH)
          POS:	IV3FS+IV
          VOC:	ti+ruwH
        GLOSS:	it/they/she+begin/go

 INPUT STRING:	تسأل
     IS_TRANS:	ts>l
        INDEX:	P4W4
      OFFSETS:	14-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(tiso>al)
          POS:	IV3FS+IV
          VOC:	ti+so>al
        GLOSS:	it/they/she+ask/inquire/request/be asked

 INPUT STRING:	فالاستقبال
     IS_TRANS:	fAlAstqbAl
        INDEX:	P4W5
      OFFSETS:	19-29
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqobAl_1]
   UNSPLITVOC:	(fiAlAisotiqobAl)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+AisotiqobAl
        GLOSS:	in+the+welcoming/receiving/reception

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P4W6
      OFFSETS:	30-35
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	INTERJ
          VOC:	mA$iy
        GLOSS:	ok

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they [masc.pl]/they

 INPUT STRING:	يكلموها
     IS_TRANS:	yklmwhA
        INDEX:	P6W2
      OFFSETS:	4-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(yikal~imuwAhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+kal~im+uwA+hA
        GLOSS:	they+talk/speak/talk to+they+it/them/her

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	شي
     IS_TRANS:	$y
        INDEX:	P7W2
      OFFSETS:	8-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	($y)
          POS:	FOREIGN
          VOC:	$y
        GLOSS:	nogloss

 INPUT STRING:	إس
     IS_TRANS:	<s
        INDEX:	P7W3
      OFFSETS:	11-13
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<s)
          POS:	FOREIGN
          VOC:	<s
        GLOSS:	nogloss

 INPUT STRING:	إكسبكتينغ
     IS_TRANS:	<ksbktyng
        INDEX:	P7W4
      OFFSETS:	14-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(<ksbktyng)
          POS:	FOREIGN
          VOC:	<ksbktyng
        GLOSS:	nogloss

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P7W5
      OFFSETS:	24-26
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hr)
          POS:	FOREIGN
          VOC:	Hr
        GLOSS:	nogloss

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	INTERJ
          VOC:	mA$iy
        GLOSS:	ok

 INPUT STRING:	هروح
     IS_TRANS:	hrwH
        INDEX:	P8W2
      OFFSETS:	5-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HaAaruwH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+ruwH
        GLOSS:	will+I+begin/go

 INPUT STRING:	معاها
     IS_TRANS:	mEAhA
        INDEX:	P8W3
      OFFSETS:	10-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	صاحبتي
     IS_TRANS:	SAHbty
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHobap_1]
   UNSPLITVOC:	(SAHobitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	SAHob+ap+iy
        GLOSS:	friend+[fem.sg.]+my

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	كلمت
     IS_TRANS:	klmt
        INDEX:	P10W3
      OFFSETS:	12-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kal~im+it
        GLOSS:	talk/speak/talk to+it/they/she

 INPUT STRING:	شيماء
     IS_TRANS:	$ymA'
        INDEX:	P10W4
      OFFSETS:	17-22
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aymA'_1]
   UNSPLITVOC:	($aymA')
          POS:	NOUN_PROP
          VOC:	$aymA'
        GLOSS:	Shaima

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P10W5
      OFFSETS:	23-28
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	<isom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	در
     IS_TRANS:	dr
        INDEX:	P10W6
      OFFSETS:	29-31
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dr)
          POS:	FOREIGN
          VOC:	dr
        GLOSS:	nogloss

 INPUT STRING:	رضوى
     IS_TRANS:	rDwY
        INDEX:	P10W7
      OFFSETS:	32-36
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raDowaY_1]
   UNSPLITVOC:	(raDowaY)
          POS:	NOUN_PROP
          VOC:	raDowaY
        GLOSS:	Radwa

 INPUT STRING:	بتروح
     IS_TRANS:	btrwH
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(bitiruwH)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+ruwH
        GLOSS:	[present-tense]+it/they/she+begin/go

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P11W3
      OFFSETS:	10-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P11W4
      OFFSETS:	14-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P12W2
      OFFSETS:	4-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P12W3
      OFFSETS:	7-9
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_9]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P12W4
      OFFSETS:	10-13
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P12W5
      OFFSETS:	14-16
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you[fem.sg.]

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P12W6
      OFFSETS:	17-19
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	نايبة
     IS_TRANS:	nAybp
        INDEX:	P12W7
      OFFSETS:	20-25
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAybap_1]
   UNSPLITVOC:	(nAybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nAyib+ap
        GLOSS:	deputy/delegate/vice-/deputies/delegates/representative/houseman/representing+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P12W8
      OFFSETS:	26-30
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W9
      OFFSETS:	31-33
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	غمرنا
     IS_TRANS:	gmrnA
        INDEX:	P12W10
      OFFSETS:	34-39
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(gmrnA)
          POS:	TYPO
          VOC:	gmrnA
        GLOSS:	nogloss

 INPUT STRING:	تقريبا
     IS_TRANS:	tqrybA
        INDEX:	P12W11
      OFFSETS:	40-46
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(taqoriybAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	taqoriyb+AF
        GLOSS:	approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W12
      OFFSETS:	47-49
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	شاطرة
     IS_TRANS:	$ATrp
        INDEX:	P12W13
      OFFSETS:	50-55
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ATir_1]
   UNSPLITVOC:	($ATorap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ATor+ap
        GLOSS:	clever/smart/cute+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P13W2
      OFFSETS:	3-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	اصلي
     IS_TRANS:	ASly
        INDEX:	P13W3
      OFFSETS:	9-13
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aSol+iy
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+my

 INPUT STRING:	لتشليت
     IS_TRANS:	lt$lyt
        INDEX:	P13W4
      OFFSETS:	14-20
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lt$lyt)
          POS:	TYPO
          VOC:	lt$lyt
        GLOSS:	nogloss

 INPUT STRING:	عشلن
     IS_TRANS:	E$ln
        INDEX:	P13W5
      OFFSETS:	21-25
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E$ln)
          POS:	TYPO
          VOC:	E$ln
        GLOSS:	nogloss

 INPUT STRING:	افكر
     IS_TRANS:	Afkr
        INDEX:	P13W6
      OFFSETS:	26-30
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
