 INPUT STRING:	نزل
 INPUT STRING:	وحشاني
     IS_TRANS:	wH$Any
        INDEX:	P3W2
      OFFSETS:	7-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wH$Any)
          POS:	NO_FUNC
          VOC:	wH$Any
        GLOSS:	nogloss

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P3W3
      OFFSETS:	14-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	ببم
     IS_TRANS:	bbm
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bbm)
          POS:	FOREIGN
          VOC:	bbm
        GLOSS:	nogloss

 INPUT STRING:	بيطلع
     IS_TRANS:	byTlE
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(biyiTal~aE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Tal~aE
        GLOSS:	[present-tense]+he/it+apear/rise/appear

 INPUT STRING:	السيس
     IS_TRANS:	Alsys
        INDEX:	P4W3
      OFFSETS:	10-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siys_1]
   UNSPLITVOC:	(Alsiys)
          POS:	DET+ADJ
          VOC:	Al+siys
        GLOSS:	the+well behaved/gentle

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W4
      OFFSETS:	16-20
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	جواك
     IS_TRANS:	jwAk
        INDEX:	P4W5
      OFFSETS:	21-25
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~Ak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	juw~A+ak
        GLOSS:	in/at/over/about/by/ratio/within+your

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P4W6
      OFFSETS:	26-27
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لوول
     IS_TRANS:	lwwl
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwwl)
          POS:	FOREIGN
          VOC:	lwwl
        GLOSS:	nogloss

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	وحشنا
     IS_TRANS:	wH$nA
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(waHa$nA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	waHa$+(null)+nA
        GLOSS:	miss+he/it+us

 INPUT STRING:	السيس
     IS_TRANS:	Alsys
        INDEX:	P6W3
      OFFSETS:	11-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siys_1]
   UNSPLITVOC:	(Alsiys)
          POS:	DET+ADJ
          VOC:	Al+siys
        GLOSS:	the+well behaved/gentle

 INPUT STRING:	بتاعك
     IS_TRANS:	btAEk
        INDEX:	P6W4
      OFFSETS:	17-22
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	bitAE+ik
        GLOSS:	owners/something/belongings+your

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P6W5
      OFFSETS:	23-24
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	وحشاني
     IS_TRANS:	wH$Any
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wH$Any)
          POS:	NO_FUNC
          VOC:	wH$Any
        GLOSS:	nogloss

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P9W2
      OFFSETS:	7-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	مفتقداكي
     IS_TRANS:	mftqdAky
        INDEX:	P10W1
      OFFSETS:	0-8
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mufotaqid_1]
   UNSPLITVOC:	(mufotaqidAkiy)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	mufotaqid+ap+ik
        GLOSS:	missed+[fem.sg.]+your

 INPUT STRING:	jdA
     IS_TRANS:	jdA
        INDEX:	P10W2
      OFFSETS:	9-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P10W3
      OFFSETS:	13-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN_PROP
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P10W5
      OFFSETS:	21-23
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأحداث
     IS_TRANS:	Al>HdAv
        INDEX:	P10W6
      OFFSETS:	24-31
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+incident/event/events

 INPUT STRING:	الرهيبة
     IS_TRANS:	Alrhybp
        INDEX:	P10W7
      OFFSETS:	32-39
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(Alrahiybap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+rahiyb+ap
        GLOSS:	the+dreadful/fearful/serious+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P10W8
      OFFSETS:	40-42
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الأحداثةدي
     IS_TRANS:	Al>HdAvpdy
        INDEX:	P13W2
      OFFSETS:	3-13
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al>HdAvpdy)
          POS:	TYPO
          VOC:	Al>HdAvpdy
        GLOSS:	nogloss

 INPUT STRING:	بالذات
     IS_TRANS:	bAl*At
        INDEX:	P13W3
      OFFSETS:	14-20
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(biAl*At)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+*At
        GLOSS:	with/by+the+same/self/essence/selves/beings/exactly/precisely/having

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P13W4
      OFFSETS:	21-25
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W5
      OFFSETS:	26-28
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P13W6
      OFFSETS:	29-34
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	فيس
     IS_TRANS:	fys
        INDEX:	P13W7
      OFFSETS:	35-38
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(fiys)
          POS:	NOUN_PROP
          VOC:	fiys
        GLOSS:	facebook/face

 INPUT STRING:	AHdAv
     IS_TRANS:	AHdAv
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	incident/event/events

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P14W2
      OFFSETS:	6-11
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عني
     IS_TRANS:	Eny
        INDEX:	P15W2
      OFFSETS:	3-6
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyn_1]
   UNSPLITVOC:	(Einiy~a)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Einiy+iy
        GLOSS:	eyes/eye+my

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	SrAEAt
     IS_TRANS:	SrAEAt
        INDEX:	P16W2
      OFFSETS:	3-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SirAE_1]
   UNSPLITVOC:	(SirAEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	SirAE+At
        GLOSS:	conflicts/struggles/fights+[fem.pl.]

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P16W3
      OFFSETS:	10-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P16W4
      OFFSETS:	12-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN_PROP
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P17W1
      OFFSETS:	0-2
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	بالظلط
     IS_TRANS:	bAlZlT
        INDEX:	P17W2
      OFFSETS:	3-9
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAlZlT)
          POS:	TYPO
          VOC:	bAlZlT
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W2
      OFFSETS:	3-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	سبته
     IS_TRANS:	sbth
        INDEX:	P18W3
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sibtuh)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS
          VOC:	sib+t+uh
        GLOSS:	flow/neglect+I+it/him

 INPUT STRING:	klh
     IS_TRANS:	klh
        INDEX:	P18W4
      OFFSETS:	12-15
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	sbb
     IS_TRANS:	sbb
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	التشليق
     IS_TRANS:	Alt$lyq
        INDEX:	P19W2
      OFFSETS:	4-11
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$oliyq_1]
   UNSPLITVOC:	(Alta$oliyq)
          POS:	DET+NOUN
          VOC:	Al+ta$oliyq
        GLOSS:	the+insult/invective/insults/invectives/abuse/vilification

 INPUT STRING:	المتبادل
     IS_TRANS:	AlmtbAdl
        INDEX:	P19W3
      OFFSETS:	12-20
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutabAdil_1]
   UNSPLITVOC:	(AlmutabAdil)
          POS:	DET+ADJ
          VOC:	Al+mutabAdil
        GLOSS:	the+mutual/reciprocal

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P19W4
      OFFSETS:	21-23
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P19W5
      OFFSETS:	24-26
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الاطراغ
     IS_TRANS:	AlATrAg
        INDEX:	P19W6
      OFFSETS:	27-34
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlATrAg)
          POS:	TYPO
          VOC:	AlATrAg
        GLOSS:	nogloss

 INPUT STRING:	الاطراف
     IS_TRANS:	AlATrAf
        INDEX:	P20W1
      OFFSETS:	0-7
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(Al>aTorAf)
          POS:	DET+NOUN
          VOC:	Al+>aTorAf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W1
      OFFSETS:	0-1
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	hhhhhhhhh
     IS_TRANS:	hhhhhhhhh
        INDEX:	P21W2
