 INPUT STRING:	انت
 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/so/then

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W3
      OFFSETS:	8-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W4
      OFFSETS:	9-10
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W2
      OFFSETS:	3-4
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W2
      OFFSETS:	6-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P6W3
      OFFSETS:	8-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P6W4
      OFFSETS:	11-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	بلف
     IS_TRANS:	blf
        INDEX:	P6W5
      OFFSETS:	15-18
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(bAalif~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+lif~
        GLOSS:	[present-tense]+I+wrap/turn

 INPUT STRING:	ل
     IS_TRANS:	l
        INDEX:	P6W6
      OFFSETS:	19-20
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(l)
          POS:	NO_FUNC
          VOC:	l
        GLOSS:	nogloss

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W7
      OFFSETS:	21-25
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	صاحبي
     IS_TRANS:	SAHby
        INDEX:	P6W8
      OFFSETS:	26-31
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	SAHob+iy
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+my

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W9
      OFFSETS:	32-35
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P6W10
      OFFSETS:	36-40
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	needing/liking/requiring/wanting/desiring

 INPUT STRING:	يجرب
     IS_TRANS:	yjrb
        INDEX:	P6W11
      OFFSETS:	41-45
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~ab_1]
   UNSPLITVOC:	(yijar~ab)
          POS:	IV3MS+IV
          VOC:	yi+jar~ab
        GLOSS:	he/it+test/try/attempt

 INPUT STRING:	سجاير
     IS_TRANS:	sjAyr
        INDEX:	P6W12
      OFFSETS:	46-51
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyjArap_1]
   UNSPLITVOC:	(sajAyir)
          POS:	NOUN
          VOC:	sajAyir
        GLOSS:	cigarette/cigarettes

 INPUT STRING:	لف
     IS_TRANS:	lf
        INDEX:	P6W13
      OFFSETS:	52-54
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~_1]
   UNSPLITVOC:	(laf~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	laf~+(null)
        GLOSS:	wrap/turn+he/it

 INPUT STRING:	مم
     IS_TRANS:	mm
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mum_1]
   UNSPLITVOC:	(mum)
          POS:	INTERJ
          VOC:	mum
        GLOSS:	Um

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P7W2
      OFFSETS:	3-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P7W3
      OFFSETS:	7-8
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P7W4
      OFFSETS:	9-10
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W3
      OFFSETS:	8-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W4
      OFFSETS:	9-10
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P9W2
      OFFSETS:	4-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W3
      OFFSETS:	9-14
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W4
      OFFSETS:	15-18
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P9W5
      OFFSETS:	19-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P9W6
      OFFSETS:	24-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	أخبارك
     IS_TRANS:	>xbArk
        INDEX:	P9W7
      OFFSETS:	28-34
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobArik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>axobAr+ik
        GLOSS:	news/report/reports+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W8
      OFFSETS:	34-35
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P10W2
      OFFSETS:	6-9
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W4
      OFFSETS:	15-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هأموت
     IS_TRANS:	h>mwt
        INDEX:	P10W5
      OFFSETS:	18-23
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(HaAa>muwt)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+>muwt
        GLOSS:	will+I+die

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W6
      OFFSETS:	24-26
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قاعدة
     IS_TRANS:	qAEdp
        INDEX:	P10W7
      OFFSETS:	27-32
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)+[fem.sg.]

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P10W8
      OFFSETS:	33-38
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(Albiyt)
          POS:	DET+NOUN
          VOC:	Al+biyt
        GLOSS:	the+house/houses/verse/verses

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	ملل
     IS_TRANS:	mll
        INDEX:	P11W3
      OFFSETS:	8-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malal_1]
   UNSPLITVOC:	(malal)
          POS:	NOUN
          VOC:	malal
        GLOSS:	boredom/annoyance

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P12W2
      OFFSETS:	3-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(Aawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	بدأت
     IS_TRANS:	bd>t
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>t)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	bada>+t
        GLOSS:	start/begin+you

 INPUT STRING:	تجهز
     IS_TRANS:	tjhz
        INDEX:	P13W2
      OFFSETS:	5-9
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jah~iz_1]
   UNSPLITVOC:	(tijah~iz)
          POS:	IV2MS+IV
          VOC:	ti+jah~iz
        GLOSS:	you+prepare

 INPUT STRING:	حاجتك
     IS_TRANS:	HAjtk
        INDEX:	P13W3
      OFFSETS:	10-15
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjtak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HAj+ap+ak
        GLOSS:	need/needs/thing/belongings+[fem.sg.]+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W4
      OFFSETS:	15-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W5
      OFFSETS:	16-17
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P14W2
      OFFSETS:	3-6
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	اربع
     IS_TRANS:	ArbE
        INDEX:	P14W3
      OFFSETS:	7-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaE_1]
   UNSPLITVOC:	(ArobaE)
          POS:	NOUN_NUM
          VOC:	ArobaE
        GLOSS:	four

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P14W4
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	ever/period/day/today/some days/some day/days

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P14W5
      OFFSETS:	17-21
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	مم
     IS_TRANS:	mm
