 INPUT STRING:	ولا
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwok~ayoh_1]
   UNSPLITVOC:	(>uwok~ayoh)
          POS:	INTERJ
          VOC:	>uwok~ayoh
        GLOSS:	Ok

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mA)
          POS:	TYPO
          VOC:	mA
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W2
      OFFSETS:	3-5
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mn)
          POS:	TYPO
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	ثواني
     IS_TRANS:	vwAny
        INDEX:	P3W3
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vawAniy)
          POS:	NOUN
          VOC:	vawAniy
        GLOSS:	seconds (time span)

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P3W4
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	العيد
     IS_TRANS:	AlEyd
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(AlEiyd)
          POS:	DET+NOUN
          VOC:	Al+Eiyd
        GLOSS:	the+feast/holiday/festival/holidays/feasts

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P5W4
      OFFSETS:	13-17
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	بدور
     IS_TRANS:	bdwr
        INDEX:	P5W5
      OFFSETS:	18-22
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daw~ar_1]
   UNSPLITVOC:	(bAadaw~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+daw~ar
        GLOSS:	[present-tense]+I+rotate/wind/search

 INPUT STRING:	أهه
     IS_TRANS:	>hh
        INDEX:	P5W6
      OFFSETS:	23-26
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuh)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this/that+he/it

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	وجبتو
     IS_TRANS:	wjbtw
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(wijibtuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:2P
          VOC:	wi+jib+tuwA
        GLOSS:	and+explore/traverse/bring+you

 INPUT STRING:	mnyn
     IS_TRANS:	mnyn
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miniyn_1]
   UNSPLITVOC:	(miniyn)
          POS:	INTERROG_ADV
          VOC:	miniyn
        GLOSS:	from where

 INPUT STRING:	الاحتمال
     IS_TRANS:	AlAHtmAl
        INDEX:	P7W3
      OFFSETS:	11-19
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(AlAiHotimAl)
          POS:	DET+NOUN
          VOC:	Al+AiHotimAl
        GLOSS:	the+probabilities/possibilities

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W4
      OFFSETS:	20-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+become/begin/start/be/begin a new day

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P8W2
      OFFSETS:	5-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P8W3
      OFFSETS:	8-12
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P8W4
      OFFSETS:	13-15
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W5
      OFFSETS:	16-18
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الإحتمال
     IS_TRANS:	Al<HtmAl
        INDEX:	P8W6
      OFFSETS:	19-27
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(AlAiHotimAl)
          POS:	DET+NOUN
          VOC:	Al+AiHotimAl
        GLOSS:	the+probabilities/possibilities

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P8W7
      OFFSETS:	28-34
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+one

 INPUT STRING:	أصلي
     IS_TRANS:	>Sly
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aSol+iy
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	إداها
     IS_TRANS:	<dAhA
        INDEX:	P9W3
      OFFSETS:	8-13
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Aid~AhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Aid~A+(null)+hA
        GLOSS:	give/provide/hand over/be given/be provided/carry out/perform/lead+he/it+it/them/her

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P9W4
      OFFSETS:	14-16
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W5
      OFFSETS:	17-20
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W6
      OFFSETS:	21-23
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P9W7
      OFFSETS:	24-27
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be/was/were+we

 INPUT STRING:	راجعين
     IS_TRANS:	rAjEyn
        INDEX:	P9W8
      OFFSETS:	28-34
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjiE_1]
   UNSPLITVOC:	(rAjoEiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	rAjoE+iyn
        GLOSS:	returning/reverting/attributed+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W9
      OFFSETS:	35-37
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مارينا
     IS_TRANS:	mArynA
        INDEX:	P9W10
      OFFSETS:	38-44
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAriynA_1]
   UNSPLITVOC:	(mAriynA)
          POS:	NOUN_PROP
          VOC:	mAriynA
        GLOSS:	Marina

 INPUT STRING:	ومع
     IS_TRANS:	wmE
        INDEX:	P9W11
      OFFSETS:	45-48
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(wimaE)
          POS:	CONJ+NOUN
          VOC:	wi+maEa
        GLOSS:	and+with

 INPUT STRING:	مراجعة
     IS_TRANS:	mrAjEp
        INDEX:	P9W12
      OFFSETS:	49-55
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAjoEap_1]
   UNSPLITVOC:	(murAjoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	murAjoE+ap
        GLOSS:	revision+[fem.sg.]

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P9W13
      OFFSETS:	56-61
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time/moments/times

 INPUT STRING:	والساعة
     IS_TRANS:	wAlsAEp
        INDEX:	P9W14
      OFFSETS:	62-69
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(wiAlsAEap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+sAE+ap
        GLOSS:	and+the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	فده
     IS_TRANS:	fdh
        INDEX:	P9W15
      OFFSETS:	70-73
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(fadah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	fa+dah
        GLOSS:	so/and+this

 INPUT STRING:	أقرب
     IS_TRANS:	>qrb
        INDEX:	P9W16
      OFFSETS:	74-78
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqorab_1]
   UNSPLITVOC:	(>aqorab)
          POS:	ADJ_COMP
          VOC:	>aqorab
        GLOSS:	soonest/nearer/nearest/more/most likely

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P9W17
      OFFSETS:	79-82
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	جربتها
     IS_TRANS:	jrbthA
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~ab_1]
   UNSPLITVOC:	(jar~abtahA)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3FS
          VOC:	jar~ab+t+hA
        GLOSS:	test/try/attempt+you+it/them/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W2
      OFFSETS:	7-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W3
      OFFSETS:	9-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	حوده
     IS_TRANS:	Hwdh
        INDEX:	P10W4
      OFFSETS:	13-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huwdap_1]
   UNSPLITVOC:	(Huwdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Huwd+ap
        GLOSS:	Houda+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	النمرة
     IS_TRANS:	Alnmrp
        INDEX:	P12W2
      OFFSETS:	3-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nimorap_1]
   UNSPLITVOC:	(Alnimorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nimor+ap
        GLOSS:	the+number+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W3
      OFFSETS:	10-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W2
      OFFSETS:	3-5
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	إبني
     IS_TRANS:	<bny
        INDEX:	P13W3
      OFFSETS:	6-10
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aiboniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Aibon+iy
        GLOSS:	son/children/sons+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P14W3
      OFFSETS:	8-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P14W4
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W4
