 INPUT STRING:	روحت
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W7
      OFFSETS:	31-32
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P4W8
      OFFSETS:	33-35
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yd)
          POS:	TYPO
          VOC:	yd
        GLOSS:	nogloss

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	laughing

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P5W2
      OFFSETS:	7-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	روحتي
     IS_TRANS:	rwHty
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(raw~aHtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	raw~aH+tiy
        GLOSS:	fan/ventilate/revive/go+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	ادهم
     IS_TRANS:	Adhm
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adoham_1]
   UNSPLITVOC:	(>adoham)
          POS:	NOUN_PROP
          VOC:	>adoham
        GLOSS:	Adham

 INPUT STRING:	كلمني
     IS_TRANS:	klmny
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	kal~im+(null)+niy
        GLOSS:	talk/speak/talk to+he/it+me

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P8W3
      OFFSETS:	11-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	وهتسبب
     IS_TRANS:	whtsbb
        INDEX:	P8W4
      OFFSETS:	15-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[whatsabb_1]
   UNSPLITVOC:	(whatsabb)
          POS:	NOUN_PROP
          VOC:	whatsabb
        GLOSS:	whatsapp

 INPUT STRING:	سالني
     IS_TRANS:	sAlny
        INDEX:	P8W5
      OFFSETS:	22-27
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>alniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	sa>al+(null)+niy
        GLOSS:	ask/inquire/request/be asked+he/it+me

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P8W6
      OFFSETS:	28-32
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+I

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P8W7
      OFFSETS:	33-36
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	فل
     IS_TRANS:	fl
        INDEX:	P8W8
      OFFSETS:	37-39
       TOKENS:	P8W10-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy_Al)
          POS:	PREP+DET
          VOC:	fiy+Al
        GLOSS:	in+the

 INPUT STRING:	فطس
     IS_TRANS:	fTs
        INDEX:	P8W9
      OFFSETS:	40-43
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fTs)
          POS:	FOREIGN
          VOC:	fTs
        GLOSS:	nogloss

 INPUT STRING:	hahahaha
     IS_TRANS:	hahahaha
        INDEX:	P8W10
      OFFSETS:	44-52
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahaha)
          POS:	TRANSLIT_ERR
          VOC:	hahahaha
        GLOSS:	hahahaha

 INPUT STRING:	hahahahhshahhahahahahahahahahaagahahghahahahagahaga
     IS_TRANS:	hahahahhshahhahahahahahahahahaagahahghahahahagahaga
        INDEX:	P9W1
      OFFSETS:	0-51
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahahhshahhahahahahahahahahaagahahghahahahagahaga)
          POS:	TRANSLIT_ERR
          VOC:	hahahahhshahhahahahahahahahahaagahahghahahahagahaga
        GLOSS:	hahahahhshahhahahahahahahahahaagahahghahahahagahaga

 INPUT STRING:	هموت
     IS_TRANS:	hmwt
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(hamuwt)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+Aa+muwt
        GLOSS:	will+I+die/pass away

 INPUT STRING:	ياحرام
     IS_TRANS:	yAHrAm
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(yA_HarAm)
          POS:	VOC_PART+NOUN
          VOC:	yA+HarAm
        GLOSS:	O/oh+sin/offense

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P11W2
      OFFSETS:	7-10
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	مجانين
     IS_TRANS:	mjAnyn
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majonuwn_1]
   UNSPLITVOC:	(majAniyn)
          POS:	NOUN
          VOC:	majAniyn
        GLOSS:	crazy men/madmen

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P12W2
      OFFSETS:	7-12
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	hahahhahahhahga
     IS_TRANS:	hahahhahahhahga
        INDEX:	P13W1
      OFFSETS:	0-15
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(hahahhahahhahga)
          POS:	TRANSLIT_ERR
          VOC:	hahahhahahhahga
        GLOSS:	hahahhahahhahga

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W2
      OFFSETS:	16-17
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ياحرام
     IS_TRANS:	yAHrAm
        INDEX:	P13W3
      OFFSETS:	18-24
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(yA_HarAm)
          POS:	VOC_PART+NOUN
          VOC:	yA+HarAm
        GLOSS:	O/oh+sin/offense

 INPUT STRING:	دهق
     IS_TRANS:	dhq
        INDEX:	P13W4
      OFFSETS:	25-28
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(dhq)
          POS:	TYPO
          VOC:	dhq
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P13W5
      OFFSETS:	29-32
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W6
      OFFSETS:	33-35
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P13W7
      OFFSETS:	36-39
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P13W8
      OFFSETS:	40-42
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P13W9
      OFFSETS:	43-47
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	child/son/children

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P13W10
      OFFSETS:	48-53
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+it/they/she+function/make/act/do

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P13W11
      OFFSETS:	54-57
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	مهم
     IS_TRANS:	mhm
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mhm)
          POS:	NO_FUNC
          VOC:	mhm
        GLOSS:	nogloss

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[|h_1]
   UNSPLITVOC:	(|h)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P15W2
      OFFSETS:	3-6
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P15W3
      OFFSETS:	7-11
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P15W4
      OFFSETS:	12-17
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mEAhm)
          POS:	NO_FUNC
          VOC:	mEAhm
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P16W1
      OFFSETS:	0-1
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P16W2
      OFFSETS:	2-3
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P16W3
      OFFSETS:	4-5
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P16W4
      OFFSETS:	6-7
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P16W5
      OFFSETS:	8-9
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	ميرنا
     IS_TRANS:	myrnA
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyrnA_1]
   UNSPLITVOC:	(miyrnA)
          POS:	NOUN_PROP
          VOC:	miyrnA
        GLOSS:	Mirna

 INPUT STRING:	هتيجي
     IS_TRANS:	htyjy
        INDEX:	P17W2
      OFFSETS:	6-11
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(hatiyjiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ha+tiy+j+iy
        GLOSS:	will+you+come+you

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P17W3
      OFFSETS:	12-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
