 INPUT STRING:	مالك
        INDEX:	P1W7
      OFFSETS:	20-21
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W2
      OFFSETS:	5-7
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P2W3
      OFFSETS:	8-14
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P3W2
      OFFSETS:	4-8
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(bixiyr)
          POS:	PREP+NOUN
          VOC:	bi+xayr
        GLOSS:	with/by+good

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyuh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	شويةمشاكل
     IS_TRANS:	$wypm$Akl
        INDEX:	P4W2
      OFFSETS:	3-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	($wypm$Akl)
          POS:	NO_FUNC
          VOC:	$wypm$Akl
        GLOSS:	nogloss

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P4W3
      OFFSETS:	13-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W4
      OFFSETS:	16-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P4W5
      OFFSETS:	17-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تشغليش
     IS_TRANS:	t$gly$
        INDEX:	P5W2
      OFFSETS:	3-9
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$agal_1]
   UNSPLITVOC:	(ti$ogiliy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+$ogil+iy+$
        GLOSS:	you+occupy/preoccupy/employ+you+not

 INPUT STRING:	بالك
     IS_TRANS:	bAlk
        INDEX:	P5W3
      OFFSETS:	10-14
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	bAl+ik
        GLOSS:	mind/attention/whale+your

 INPUT STRING:	mmm
     IS_TRANS:	mmm
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mm_1]
   UNSPLITVOC:	(mm)
          POS:	INTERJ
          VOC:	mm
        GLOSS:	filled  pause

 INPUT STRING:	Tb
     IS_TRANS:	Tb
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P7W3
      OFFSETS:	8-13
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	بتضيق
     IS_TRANS:	btDyq
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DAq_1]
   UNSPLITVOC:	(bitDiyq)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+Diyq
        GLOSS:	[present-tense]+it/they/she+constrict

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P8W2
      OFFSETS:	6-7
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	تفرج
     IS_TRANS:	tfrj
        INDEX:	P8W3
      OFFSETS:	8-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>afraj_1]
   UNSPLITVOC:	(tuforaj)
          POS:	IV3FS+IV_PASS
          VOC:	tu+foraj
        GLOSS:	it/she+be released

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	rb
     IS_TRANS:	rb
        INDEX:	P9W2
      OFFSETS:	3-5
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	yhwn
     IS_TRANS:	yhwn
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haw~in_1]
   UNSPLITVOC:	(yihaw~in)
          POS:	IV3MS+IV
          VOC:	yi+haw~in
        GLOSS:	he/it+facilitate/disparage

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	$
     IS_TRANS:	$
        INDEX:	P10W4
      OFFSETS:	13-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	($)
          POS:	PUNC
          VOC:	$
        GLOSS:	$

 INPUT STRING:	A
     IS_TRANS:	A
        INDEX:	P10W5
      OFFSETS:	14-15
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(A)
          POS:	TYPO
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	'
     IS_TRANS:	'
        INDEX:	P10W6
      OFFSETS:	15-16
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(')
          POS:	PUNC
          VOC:	'
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W7
      OFFSETS:	17-21
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_4]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تقلقي
     IS_TRANS:	tqlqy
        INDEX:	P11W2
      OFFSETS:	3-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiliq_1]
   UNSPLITVOC:	(tiqolaqiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+qolaq+iy
        GLOSS:	you+worry+you

