 INPUT STRING:	فانك
        GLOSS:	when

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P8W4
      OFFSETS:	12-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	درس
     IS_TRANS:	drs
        INDEX:	P9W2
      OFFSETS:	3-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(daros)
          POS:	NOUN
          VOC:	daros
        GLOSS:	studying/checking/examining/lesson/study/lessons/classes

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W3
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P9W4
      OFFSETS:	11-12
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W2-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mafiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	ma+fiy+uh+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	azakerha
     IS_TRANS:	azakerha
        INDEX:	P10W4
      OFFSETS:	14-22
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(azakerha)
          POS:	TRANSLIT_ERR
          VOC:	azakerha
        GLOSS:	azakerha

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P10W5
      OFFSETS:	23-25
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laughing

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	تعاليلي
     IS_TRANS:	tEAlyly
        INDEX:	P10W7
      OFFSETS:	31-38
       TOKENS:	P10W10-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(taEAliy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	taEAl+iy+li+iy
        GLOSS:	come/be high/be raised/be exalted+you+to/for+I

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P10W8
      OFFSETS:	39-40
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	هاستحمه
     IS_TRANS:	hAstHmh
        INDEX:	P11W1
      OFFSETS:	0-7
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistaHam~aY_1]
   UNSPLITVOC:	(HaAaAstaHam~ah)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+AstaHam~ah
        GLOSS:	will+I+bathe

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W2
      OFFSETS:	8-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P11W3
      OFFSETS:	10-14
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	شعري
     IS_TRANS:	$Ery
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	($aEoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	$aEor+iy
        GLOSS:	hair/hairs/hair-piece+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W5
      OFFSETS:	20-21
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	اجي
     IS_TRANS:	Ajy
        INDEX:	P11W6
      OFFSETS:	22-25
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(|jiy)
          POS:	IV1S+IV
          VOC:	|+jiy
        GLOSS:	I+occur/came/come/reach/arrive

 INPUT STRING:	اوكي
     IS_TRANS:	Awky
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Auwok~iyh_1]
   UNSPLITVOC:	(Auwok~iyh)
          POS:	INTERJ
          VOC:	Auwok~iyh
        GLOSS:	ok

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P12W2
      OFFSETS:	5-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	VERB
          VOC:	yal~A
        GLOSS:	lets go

 INPUT STRING:	انشالله
     IS_TRANS:	An$Allh
        INDEX:	P12W3
      OFFSETS:	9-16
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$Allh)
          POS:	NO_FUNC
          VOC:	An$Allh
        GLOSS:	nogloss

 INPUT STRING:	يجي
     IS_TRANS:	yjy
        INDEX:	P12W4
      OFFSETS:	17-20
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(yijiy)
          POS:	IV3MS+IV
          VOC:	yi+jiy
        GLOSS:	he/it+occur/came/come/reach/arrive

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P12W5
      OFFSETS:	21-27
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	NOUN
          VOC:	HADir
        GLOSS:	present time/ok

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P13W2
      OFFSETS:	5-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	اتسرح
     IS_TRANS:	AtsrH
        INDEX:	P13W3
      OFFSETS:	8-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sar~aH_1]
   UNSPLITVOC:	(Aatsar~aH)
