 INPUT STRING:	ريمو
        INDEX:	P2W4
      OFFSETS:	15-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حالك
     IS_TRANS:	HAlk
        INDEX:	P2W5
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	HAl+ik
        GLOSS:	situation/condition/case/situations/conditions/cases+your

 INPUT STRING:	تل
     IS_TRANS:	tl
        INDEX:	P2W6
      OFFSETS:	23-25
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tl)
          POS:	FOREIGN
          VOC:	tl
        GLOSS:	nogloss

 INPUT STRING:	يو
     IS_TRANS:	yw
        INDEX:	P2W7
      OFFSETS:	26-28
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yw)
          POS:	FOREIGN
          VOC:	yw
        GLOSS:	nogloss

 INPUT STRING:	فنيش
     IS_TRANS:	fny$
        INDEX:	P2W8
      OFFSETS:	29-33
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fny$)
          POS:	FOREIGN
          VOC:	fny$
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W9
      OFFSETS:	34-36
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	ويرد
     IS_TRANS:	wyrd
        INDEX:	P2W10
      OFFSETS:	37-41
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wyrd)
          POS:	FOREIGN
          VOC:	wyrd
        GLOSS:	nogloss

 INPUT STRING:	بيريود
     IS_TRANS:	byrywd
        INDEX:	P2W11
      OFFSETS:	42-48
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byrywd)
          POS:	FOREIGN
          VOC:	byrywd
        GLOSS:	nogloss

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P2W12
      OFFSETS:	49-53
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as/when

 INPUT STRING:	تخلصي
     IS_TRANS:	txlSy
        INDEX:	P2W13
      OFFSETS:	54-59
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aSiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xal~aS+iy
        GLOSS:	you+purify/refine/clarify/finish+you

 INPUT STRING:	تقولي
     IS_TRANS:	tqwly
        INDEX:	P2W14
      OFFSETS:	60-65
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P2W15
      OFFSETS:	66-68
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	ورد
     IS_TRANS:	wrd
        INDEX:	P3W2
      OFFSETS:	4-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrd)
          POS:	FOREIGN
          VOC:	wrd
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W3
      OFFSETS:	8-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W4
      OFFSETS:	11-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معاك
     IS_TRANS:	mEAk
        INDEX:	P3W5
      OFFSETS:	14-18
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	with+your

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W6
      OFFSETS:	19-21
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W7
      OFFSETS:	22-25
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W8
      OFFSETS:	26-28
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأكلم
     IS_TRANS:	b>klm
        INDEX:	P3W9
      OFFSETS:	29-34
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(bAakal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+kal~im
        GLOSS:	[present-tense]+I+talk/speak/talk to

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W10
      OFFSETS:	35-37
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	stop/halt/end/extent/limit/level/border/frontier/someone

 INPUT STRING:	بأشوف
     IS_TRANS:	b>$wf
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(bAa$uwf)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+$uwf
        GLOSS:	[present-tense]+I+look

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P4W2
      OFFSETS:	6-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	بالصدفة
     IS_TRANS:	bAlSdfp
        INDEX:	P4W3
      OFFSETS:	10-17
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sudofap_1]
   UNSPLITVOC:	(biAlSudofap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Sudof+ap
        GLOSS:	with/by+the+chance/coincidence/by chance/by coincidence/coincidences+[fem.sg.]

 INPUT STRING:	بحتة
     IS_TRANS:	bHtp
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baHot_1]
   UNSPLITVOC:	(baHot~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baHot~+ap
        GLOSS:	pure/exclusive+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W5
      OFFSETS:	23-25
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قصدي
     IS_TRANS:	qSdy
        INDEX:	P4W6
      OFFSETS:	26-30
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qaSod+iy
        GLOSS:	intent/purpose/goal/intentionally+my

 INPUT STRING:	إشطة
     IS_TRANS:	<$Tp
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$oTap_1]
   UNSPLITVOC:	(<i$oTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<i$oT+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W2
      OFFSETS:	5-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P5W3
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W4
      OFFSETS:	11-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mn)
          POS:	FOREIGN
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	سباكين
     IS_TRANS:	sbAkyn
        INDEX:	P5W5
      OFFSETS:	14-20
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sbAkyn)
          POS:	FOREIGN
          VOC:	sbAkyn
        GLOSS:	nogloss

 INPUT STRING:	فيت
     IS_TRANS:	fyt
        INDEX:	P5W6
      OFFSETS:	21-24
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyt)
          POS:	FOREIGN
          VOC:	fyt
        GLOSS:	nogloss

 INPUT STRING:	يو
     IS_TRANS:	yw
        INDEX:	P5W7
      OFFSETS:	25-27
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yw)
          POS:	FOREIGN
          VOC:	yw
        GLOSS:	nogloss

 INPUT STRING:	تو
     IS_TRANS:	tw
        INDEX:	P5W8
      OFFSETS:	28-30
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tw)
          POS:	FOREIGN
          VOC:	tw
        GLOSS:	nogloss

 INPUT STRING:	تل
     IS_TRANS:	tl
        INDEX:	P5W9
      OFFSETS:	31-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tl)
          POS:	FOREIGN
          VOC:	tl
        GLOSS:	nogloss

 INPUT STRING:	وتك
     IS_TRANS:	wtk
        INDEX:	P5W10
      OFFSETS:	34-37
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wtk)
          POS:	FOREIGN
          VOC:	wtk
        GLOSS:	nogloss

 INPUT STRING:	يوو
     IS_TRANS:	yww
        INDEX:	P5W11
      OFFSETS:	38-41
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yww)
          POS:	FOREIGN
          VOC:	yww
        GLOSS:	nogloss

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P5W12
      OFFSETS:	42-44
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tm)
          POS:	FOREIGN
          VOC:	tm
        GLOSS:	nogloss

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P5W13
      OFFSETS:	45-49
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as/when

 INPUT STRING:	الليلة
     IS_TRANS:	Allylp
        INDEX:	P5W14
      OFFSETS:	50-56
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liylap_1]
   UNSPLITVOC:	(Alliylap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+liyl+ap
        GLOSS:	the+night/evening/soire/nights/evenings/soires+[fem.sg.]

 INPUT STRING:	تخلص
     IS_TRANS:	txlS
        INDEX:	P5W15
      OFFSETS:	57-61
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(tixolaS)
          POS:	IV3FS+IV
          VOC:	ti+xolaS
        GLOSS:	it/they/she+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	ابقى
     IS_TRANS:	AbqY
        INDEX:	P5W16
      OFFSETS:	62-66
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(Aiboqiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiboq+iy
        GLOSS:	become/begin/start/be/begin a new day+you

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W17
      OFFSETS:	67-69
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W18
      OFFSETS:	70-72
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W2
      OFFSETS:	3-5
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mn)
          POS:	FOREIGN
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	نت
     IS_TRANS:	nt
        INDEX:	P6W3
      OFFSETS:	6-8
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nt)
          POS:	FOREIGN
          VOC:	nt
        GLOSS:	nogloss

 INPUT STRING:	مد
     IS_TRANS:	md
        INDEX:	P6W4
      OFFSETS:	9-11
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(md)
          POS:	FOREIGN
          VOC:	md
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P6W5
      OFFSETS:	12-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P6W6
      OFFSETS:	17-22
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	قصدي
     IS_TRANS:	qSdy
        INDEX:	P6W7
      OFFSETS:	23-27
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qaSod+iy
        GLOSS:	intent/purpose/goal/intentionally+my

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

