 INPUT STRING:	حمدالله
        LEMMA:	[wAHi$_1]
   UNSPLITVOC:	(waHi$nA)
          POS:	ADJ+POSS_PRON_1P
          VOC:	wAHi$+nA
        GLOSS:	missed+our

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P2W5
      OFFSETS:	20-23
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	والعيلة
     IS_TRANS:	wAlEylp
        INDEX:	P2W6
      OFFSETS:	24-31
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiylap_1]
   UNSPLITVOC:	(wiAlEiylap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Eiyl+ap
        GLOSS:	and+the+family/household/families/households+[fem.sg.]

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P3W3
      OFFSETS:	9-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	شافية
     IS_TRANS:	$Afyp
        INDEX:	P3W4
      OFFSETS:	13-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($Afyp)
          POS:	TYPO
          VOC:	$Afyp
        GLOSS:	nogloss

 INPUT STRING:	الرسالة
     IS_TRANS:	AlrsAlp
        INDEX:	P3W5
      OFFSETS:	19-26
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(AlrisAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+risAl+ap
        GLOSS:	the+letter/communication/dissertation/letters/messages/mission/task+[fem.sg.]

 INPUT STRING:	بتاعتك
     IS_TRANS:	btAEtk
        INDEX:	P3W6
      OFFSETS:	27-33
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEotak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	bitAE+ap+ak
        GLOSS:	owned by+[fem.sg.]+your

 INPUT STRING:	أصلى
     IS_TRANS:	>SlY
        INDEX:	P3W7
      OFFSETS:	34-38
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(ASoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aSol+iy
        GLOSS:	origin/source/root+my

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P3W8
      OFFSETS:	39-42
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	مشغولة
     IS_TRANS:	m$gwlp
        INDEX:	P3W9
      OFFSETS:	43-49
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oguwl_1]
   UNSPLITVOC:	(ma$oguwlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$oguwl+ap
        GLOSS:	busy/occupied+[fem.sg.]

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	وحشتنا
     IS_TRANS:	wH$tnA
        INDEX:	P4W3
      OFFSETS:	9-15
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(waHa$tinA)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:1P
          VOC:	waHa$+t+nA
        GLOSS:	miss+you+us

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W4
      OFFSETS:	16-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اسد
     IS_TRANS:	Asd
        INDEX:	P4W5
      OFFSETS:	19-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(>asad)
          POS:	NOUN
          VOC:	>asad
        GLOSS:	lion/lions/lioness

 INPUT STRING:	انشالله
     IS_TRANS:	An$Allh
        INDEX:	P4W6
      OFFSETS:	23-30
       TOKENS:	P4W7-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(An$Allh)
          POS:	SUB_CONJ+TYPO+TYPO
          VOC:	<in+$A+llh
        GLOSS:	if+nogloss+nogloss

 INPUT STRING:	تكونوا
     IS_TRANS:	tkwnwA
        INDEX:	P4W7
      OFFSETS:	31-37
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwnuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+kuwn+uwA
        GLOSS:	you+be/was/were+[pl.]

 INPUT STRING:	قضيتوا
     IS_TRANS:	qDytwA
        INDEX:	P4W8
      OFFSETS:	38-44
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaD~aY_1]
   UNSPLITVOC:	(qaD~iytuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	qaD~aY+tuwA
        GLOSS:	carry out/effectuate/accomplish/be carried out/be effectuated/be accomplished+you [pl.]

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P4W9
      OFFSETS:	45-48
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P4W10
      OFFSETS:	49-53
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W2
      OFFSETS:	5-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	السفرية
     IS_TRANS:	Alsfryp
        INDEX:	P5W3
      OFFSETS:	9-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safariy~ap_1]
   UNSPLITVOC:	(Alsafariy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+safariy~+ap
        GLOSS:	the+journey/travel+[fem.sg.]

 INPUT STRING:	هتكون
     IS_TRANS:	htkwn
        INDEX:	P5W4
      OFFSETS:	17-22
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(hatikuwn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	ha+ti+kuwn
        GLOSS:	will+it/they/she+be/was/were

 INPUT STRING:	مشغول
     IS_TRANS:	m$gwl
        INDEX:	P5W5
      OFFSETS:	23-28
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oguwl_1]
   UNSPLITVOC:	(ma$oguwl)
          POS:	ADJ
          VOC:	ma$oguwl
        GLOSS:	busy/occupied

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P6W2
      OFFSETS:	5-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+one

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P6W3
      OFFSETS:	12-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	بيرجع
     IS_TRANS:	byrjE
        INDEX:	P6W4
      OFFSETS:	16-21
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(biyirojaE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+rojaE
        GLOSS:	[present-tense]+he/it+come back/go back/return back/return

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P6W5
      OFFSETS:	22-27
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyokuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be/was/were

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P6W6
      OFFSETS:	28-31
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P6W7
      OFFSETS:	32-37
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	كتيرة
     IS_TRANS:	ktyrp
        INDEX:	P6W8
      OFFSETS:	38-43
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kitiyr+ap
        GLOSS:	numerous/many/several/much/a lot/very+[fem.sg.]

 INPUT STRING:	تتعمل
     IS_TRANS:	ttEml
        INDEX:	P6W9
      OFFSETS:	44-49
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(titoEimil)
          POS:	IV3FS+IV_PASS
          VOC:	ti+toEimil
        GLOSS:	it/they/she+function/make/act/do

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	قضينا
     IS_TRANS:	qDynA
        INDEX:	P7W3
      OFFSETS:	11-16
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaD~aY_1]
   UNSPLITVOC:	(qaD~aynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	qaD~+aynA
        GLOSS:	carry out/effectuate/accomplish/be carried out/be effectuated/be accomplished+we

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P7W4
      OFFSETS:	17-20
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P7W5
      OFFSETS:	21-25
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W6
      OFFSETS:	26-28
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P7W7
      OFFSETS:	29-33
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+climate/atmosphere/by air/by plane/air

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W8
      OFFSETS:	34-36
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كانش
     IS_TRANS:	kAn$
        INDEX:	P7W9
      OFFSETS:	37-41
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	kAn+(null)+$
        GLOSS:	be/was/were+he/it+not

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P7W10
      OFFSETS:	42-46
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P7W11
      OFFSETS:	47-50
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P7W12
      OFFSETS:	51-56
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time/moments/times

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	بتمطر
     IS_TRANS:	btmTr
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maT~ar_1]
   UNSPLITVOC:	(bitimaT~ar)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+maT~ar
        GLOSS:	[present-tense]+you+rain

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P8W3
      OFFSETS:	11-15
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P8W4
      OFFSETS:	16-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	matter/issue/regard/respect/especially/in particular+[acc.indef.]

 INPUT STRING:	بالليل
     IS_TRANS:	bAllyl
        INDEX:	P8W5
      OFFSETS:	22-28
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyl_1]
   UNSPLITVOC:	(biAlliyl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+liyl
        GLOSS:	with/by+the+night/nighttime/at night/by night

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[zay~_2]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W3
      OFFSETS:	8-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
