 INPUT STRING:	أزيك
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+masij
        GLOSS:	with/by+the + message

 INPUT STRING:	بتاعتك
     IS_TRANS:	btAEtk
        INDEX:	P2W8
      OFFSETS:	33-39
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEtak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	bitAE+ap+ak
        GLOSS:	thing/belonging+[fem.sg.]+your

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P2W9
      OFFSETS:	40-43
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	قريتها
     IS_TRANS:	qrythA
        INDEX:	P2W10
      OFFSETS:	44-50
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qarA_1]
   UNSPLITVOC:	(qariythA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	qar+iyt+hA
        GLOSS:	pierce/examine/be pierced/be examined/read+I+it/them/her

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P2W11
      OFFSETS:	51-59
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P2W12
      OFFSETS:	60-65
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P2W13
      OFFSETS:	66-71
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+who/which/that

 INPUT STRING:	بتهنينا
     IS_TRANS:	bthnynA
        INDEX:	P2W14
      OFFSETS:	72-79
       TOKENS:	P2W18-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[han~A_1]
   UNSPLITVOC:	(bithan~iynA)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:1P
          VOC:	bi+ti+han~iy+nA
        GLOSS:	[present-tense]+you+congratulate+us

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P2W15
      OFFSETS:	80-84
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/she

 INPUT STRING:	بتخرج
     IS_TRANS:	btxrj
        INDEX:	P2W16
      OFFSETS:	85-90
       TOKENS:	P2W23-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxar~uj_1]
   UNSPLITVOC:	(bitaxar~uj)
          POS:	PREP+NOUN
          VOC:	bi+taxar~uj
        GLOSS:	with/by+graduation

 INPUT STRING:	مريم
     IS_TRANS:	mrym
        INDEX:	P2W17
      OFFSETS:	91-95
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maroyam_1]
   UNSPLITVOC:	(maroyim)
          POS:	NOUN_PROP
          VOC:	maroyim
        GLOSS:	Mariam/Miriam/Mary

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	بسيطة
     IS_TRANS:	bsyTp
        INDEX:	P3W3
      OFFSETS:	8-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	basiyT+ap
        GLOSS:	simple/plain/okay/no problem+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P3W4
      OFFSETS:	14-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يفرحكم
     IS_TRANS:	yfrHkm
        INDEX:	P4W2
      OFFSETS:	5-11
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aH_1]
   UNSPLITVOC:	(yifar~aHkum)
          POS:	IV3MS+IV+IVSUFF_DO:2P
          VOC:	yi+far~aH+kum
        GLOSS:	he/it+gladden/make merry+you

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P4W3
      OFFSETS:	12-15
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bihA]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	أما
     IS_TRANS:	>mA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to/as for/as far as he (she/it/..etc) is concerned/but/however/yet

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W2
      OFFSETS:	4-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	الإجازة
     IS_TRANS:	Al<jAzp
        INDEX:	P5W3
      OFFSETS:	7-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(Al>ajAzap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>ajAz+ap
        GLOSS:	the+furlough/permit/holiday/leave/certificate/degree/forgiveness/pardon+[fem.sg.]

 INPUT STRING:	فكانت
     IS_TRANS:	fkAnt
        INDEX:	P5W4
      OFFSETS:	15-20
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(fakAnit)
          POS:	CONNEC_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	fa+kAn+it
        GLOSS:	so/then+be/was/were+it/they/she

 INPUT STRING:	لطيفة
     IS_TRANS:	lTyfp
        INDEX:	P5W5
      OFFSETS:	21-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laTiyf_1]
   UNSPLITVOC:	(laTiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	laTiyf+ap
        GLOSS:	delicate/gentle/polite+[fem.sg.]

 INPUT STRING:	جداً
     IS_TRANS:	jdAF
        INDEX:	P5W6
      OFFSETS:	27-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P5W7
      OFFSETS:	32-37
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P5W8
      OFFSETS:	38-41
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	بسيطه
     IS_TRANS:	bsyTh
        INDEX:	P6W4
      OFFSETS:	13-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	basiyT+ap
        GLOSS:	simple/plain/okay/no problem+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P6W5
      OFFSETS:	19-23
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P6W6
      OFFSETS:	24-31
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAlnisobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P6W7
      OFFSETS:	32-35
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P6W8
      OFFSETS:	36-39
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P6W9
      OFFSETS:	40-45
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	senior/major/large/big/important/great+[fem.sg.]

 INPUT STRING:	خااااالص
     IS_TRANS:	xAAAAAlS
        INDEX:	P6W10
      OFFSETS:	46-54
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAliS]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/sincere

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P6W11
      OFFSETS:	55-62
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAlnisobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+ratio/rate/percentage figure/ratios/rates/percentage figures/link/relation (concerning+[fem.sg.]

 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P6W12
      OFFSETS:	63-67
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lyinA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+we

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P6W13
      OFFSETS:	68-73
       TOKENS:	P6W17-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يخلي
     IS_TRANS:	yxly
        INDEX:	P6W14
      OFFSETS:	74-78
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iy)
          POS:	IV3MS+IV
          VOC:	yi+xal~iy
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W15
      OFFSETS:	79-81
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ايامكم
     IS_TRANS:	AyAmkm
        INDEX:	P6W16
      OFFSETS:	82-88
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~Amkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	>ay~Am+kum
        GLOSS:	ever/period/day/today/some days/some day/days+your

 INPUT STRING:	أفراح
     IS_TRANS:	>frAH
        INDEX:	P6W17
      OFFSETS:	89-94
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(>aforAH)
          POS:	NOUN
          VOC:	>aforAH
