 INPUT STRING:	بيفضوا
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P4W5
      OFFSETS:	13-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	النهضة
     IS_TRANS:	AlnhDp
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nahoDap_1]
   UNSPLITVOC:	(AlnahoDap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+nahoD+ap
        GLOSS:	the+nahdah+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P5W2
      OFFSETS:	7-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	طلعوا
     IS_TRANS:	TlEwA
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiloEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	TiloE+uwA
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+they

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P6W3
      OFFSETS:	11-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تحزن
     IS_TRANS:	tHzn
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haz~in_1]
   UNSPLITVOC:	(tiHaz~in)
          POS:	IV3FS+IV
          VOC:	ti+Haz~in
        GLOSS:	it/they/she+afflict/distress

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	البلتاجي
     IS_TRANS:	AlbltAjy
        INDEX:	P9W2
      OFFSETS:	4-12
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balotAjiy_1]
   UNSPLITVOC:	(AlbalotAjiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+balotAjiy
        GLOSS:	the+Beltaji/Baltaji

 INPUT STRING:	بيقولك
     IS_TRANS:	byqwlk
        INDEX:	P9W3
      OFFSETS:	13-19
       TOKENS:	P9W3-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl~ik)
          POS:	PROG_PART+IV2MS+IV+PREP+PRON_2FS
          VOC:	bi+yi+quwl+li+ik
        GLOSS:	[present-tense]+it/he+said/say+for/to+you

 INPUT STRING:	مذبحة
     IS_TRANS:	m*bHp
        INDEX:	P9W4
      OFFSETS:	20-25
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma*obaHap_1]
   UNSPLITVOC:	(ma*obaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ma*obaH+ap
        GLOSS:	massacre/slaughter/massacres/slaughterhouses+[fem.sg.]

 INPUT STRING:	الآنقلابيون
     IS_TRANS:	Al|nqlAbywn
        INDEX:	P9W5
      OFFSETS:	26-37
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inqilAbiy_1]
   UNSPLITVOC:	(Al<inqilAbiyuwn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+<inqilAbiy+uwn
        GLOSS:	the+insurgent+[masc.pl.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يحفظ
     IS_TRANS:	yHfZ
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(yiHofaZ)
          POS:	IV3MS+IV
          VOC:	yi+HofaZ
        GLOSS:	he/it+keep/preserve/protect/memorize

 INPUT STRING:	دم
     IS_TRANS:	dm
        INDEX:	P10W3
      OFFSETS:	10-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam_1]
   UNSPLITVOC:	(dam)
          POS:	NOUN
          VOC:	dam
        GLOSS:	blood

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P10W4
      OFFSETS:	13-18
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	الغلابة
     IS_TRANS:	AlglAbp
        INDEX:	P10W5
      OFFSETS:	19-26
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galobAn_1]
   UNSPLITVOC:	(AlgalAbap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+galAb+ap
        GLOSS:	the+Poor/so poor/Impoverished/humble+[fem.sg.]

 INPUT STRING:	صحبتي
     IS_TRANS:	SHbty
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SaHobitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	SaHob+ap+iy
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+[fem.sg.]+my

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W2
      OFFSETS:	6-10
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	ساكنة
     IS_TRANS:	sAknp
        INDEX:	P11W3
      OFFSETS:	11-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(sAkonap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	sAkon+ap
        GLOSS:	residing+[fem.sg.]

 INPUT STRING:	فش
     IS_TRANS:	f$
        INDEX:	P11W4
      OFFSETS:	17-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(f$)
          POS:	TYPO
          VOC:	f$
        GLOSS:	nogloss

 INPUT STRING:	الطيران
     IS_TRANS:	AlTyrAn
        INDEX:	P11W5
      OFFSETS:	20-27
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TayarAn_1]
   UNSPLITVOC:	(AlTayarAn)
          POS:	DET+NOUN
          VOC:	Al+TayarAn
        GLOSS:	the+airline/aviation/flying

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P11W6
      OFFSETS:	28-33
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/(for example)

 INPUT STRING:	ly
     IS_TRANS:	ly
        INDEX:	P11W7
      OFFSETS:	34-36
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~A)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	المكان
     IS_TRANS:	AlmkAn
        INDEX:	P11W8
      OFFSETS:	37-43
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlmakAn)
          POS:	DET+NOUN
          VOC:	Al+makAn
        GLOSS:	the+place/location/position/places/locations/positions

 INPUT STRING:	sAHp
     IS_TRANS:	sAHp
        INDEX:	P11W9
      OFFSETS:	44-48
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAHap_1]
   UNSPLITVOC:	(sAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAH+ap
        GLOSS:	scene/field/arena/scenes/fields/arenas/plaza/square+[fem.sg.]

 INPUT STRING:	Hrb
     IS_TRANS:	Hrb
        INDEX:	P11W10
      OFFSETS:	49-52
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

