 INPUT STRING:	منووسا
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	واللسان
     IS_TRANS:	wAllsAn
        INDEX:	P11W2
      OFFSETS:	4-11
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(wiAllisAn)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+lisAn
        GLOSS:	and+the+tongue

 INPUT STRING:	لونة
     IS_TRANS:	lwnp
        INDEX:	P11W3
      OFFSETS:	12-16
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawn_1]
   UNSPLITVOC:	(lawnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	lawn+uh
        GLOSS:	color/tint/colors/tints/type/sort/types/sorts+his/its

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P11W4
      OFFSETS:	17-20
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	لون
     IS_TRANS:	lwn
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwn_1]
   UNSPLITVOC:	(luwn)
          POS:	NOUN
          VOC:	luwn
        GLOSS:	color/tint/colors/tints/type/sort/types/sorts

 INPUT STRING:	الكتابة
     IS_TRANS:	AlktAbp
        INDEX:	P12W2
      OFFSETS:	4-11
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAbap_1]
   UNSPLITVOC:	(AlkitAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kitAb+ap
        GLOSS:	the+writing/essay/piece of writing/writings/essays+[fem.sg.]

 INPUT STRING:	فهمتي
     IS_TRANS:	fhmty
        INDEX:	P12W3
      OFFSETS:	12-17
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(fihimtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	fihim+tiy
        GLOSS:	understand/be understood/be heard/been able hear/be received information/be received news/be listened/be attentive+you

 INPUT STRING:	وند
     IS_TRANS:	wnd
        INDEX:	P12W4
      OFFSETS:	18-21
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wnd)
          POS:	FOREIGN
          VOC:	wnd
        GLOSS:	nogloss

 INPUT STRING:	الديسجن
     IS_TRANS:	Aldysjn
        INDEX:	P12W5
      OFFSETS:	22-29
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Aldysjn)
          POS:	FOREIGN
          VOC:	Aldysjn
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W6
      OFFSETS:	30-33
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W7
      OFFSETS:	34-36
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كبريه
     IS_TRANS:	kbryh
        INDEX:	P12W8
      OFFSETS:	37-42
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kab~ar_1]
   UNSPLITVOC:	(kab~ariyh)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3MS
          VOC:	kab~ar+iy+uh
        GLOSS:	magnify/amplify+you+it/him

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P12W9
      OFFSETS:	43-47
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P12W10
      OFFSETS:	48-51
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
