 INPUT STRING:	ميناس
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	مالهاش
     IS_TRANS:	mAlhA$
        INDEX:	P2W11
      OFFSETS:	40-46
       TOKENS:	P2W13-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(mAlhA$)
          POS:	VERB+PREP+PRON_3FS+NEG_PART
          VOC:	mA+li+hA+$
        GLOSS:	not+to/for+it/them/her+not

 INPUT STRING:	لازمة
     IS_TRANS:	lAzmp
        INDEX:	P2W12
      OFFSETS:	47-52
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzomap_1]
   UNSPLITVOC:	(lAzomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lAzom+ap
        GLOSS:	need/needs/thing/belongings/possession/object/large penis/chopper+[fem.sg.]

 INPUT STRING:	نكدر
     IS_TRANS:	nkdr
        INDEX:	P2W13
      OFFSETS:	53-57
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kad~ar_1]
   UNSPLITVOC:	(nikad~ar)
          POS:	IV1P+IV
          VOC:	ni+kad~ar
        GLOSS:	we+annoy

 INPUT STRING:	ندا
     IS_TRANS:	ndA
        INDEX:	P2W14
      OFFSETS:	58-61
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadA_1]
   UNSPLITVOC:	(nadA)
          POS:	NOUN_PROP
          VOC:	nadA
        GLOSS:	Nada

 INPUT STRING:	ريم
     IS_TRANS:	rym
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riym_1]
   UNSPLITVOC:	(riym)
          POS:	NOUN_PROP
          VOC:	riym
        GLOSS:	Reem/Rim

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W2
      OFFSETS:	4-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	جبت
     IS_TRANS:	jbt
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	jib+t
        GLOSS:	explore/traverse+I

 INPUT STRING:	آخرى
     IS_TRANS:	|xrY
        INDEX:	P3W4
      OFFSETS:	12-16
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(Axiriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Axir+iy
        GLOSS:	end/later part+my

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P3W5
      OFFSETS:	17-20
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with+sure

 INPUT STRING:	بأكرة
     IS_TRANS:	b>krp
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(bAakorah)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+korah
        GLOSS:	[present-tense]+I+loathe/dislike/hate

 INPUT STRING:	أسلوبكو
     IS_TRANS:	>slwbkw
        INDEX:	P4W2
      OFFSETS:	6-13
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ausoluwb_1]
   UNSPLITVOC:	(Ausoluwbkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Ausoluwb+kuw
        GLOSS:	method/manner/way+your

 INPUT STRING:	عمق
     IS_TRANS:	Emq
        INDEX:	P4W3
      OFFSETS:	14-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Emq)
          POS:	FOREIGN
          VOC:	Emq
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	بتر
     IS_TRANS:	btr
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(btr)
          POS:	FOREIGN
          VOC:	btr
        GLOSS:	nogloss

 INPUT STRING:	وأي
     IS_TRANS:	w>y
        INDEX:	P5W4
      OFFSETS:	13-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w>y)
          POS:	FOREIGN
          VOC:	w>y
        GLOSS:	nogloss

 INPUT STRING:	فالتعامل
     IS_TRANS:	fAltEAml
        INDEX:	P5W5
      OFFSETS:	17-25
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAmul_1]
   UNSPLITVOC:	(fiAltaEAmul)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+taEAmul
        GLOSS:	in+the+relations/dealings

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	عملوا
     IS_TRANS:	EmlwA
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamaluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eamal+uwA
        GLOSS:	function/make/act/do+they

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P6W4
      OFFSETS:	14-17
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	إطلعي
     IS_TRANS:	<TlEy
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(AiTolaEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiTolaE+iy
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+you

 INPUT STRING:	إقري
     IS_TRANS:	<qry
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(Aiqoriy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aiqor+iy
        GLOSS:	read/be read+you

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P7W3
      OFFSETS:	11-14
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwq)
          POS:	NOUN
          VOC:	fawq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	ورغدة
     IS_TRANS:	wrgdp
        INDEX:	P7W4
      OFFSETS:	15-20
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragdap_1]
   UNSPLITVOC:	(wiragdap)
          POS:	CONJ+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+ragd+ap
        GLOSS:	and+Raghda+[fem.sg.]

 INPUT STRING:	تقولي
     IS_TRANS:	tqwly
        INDEX:	P7W5
      OFFSETS:	21-26
       TOKENS:	P7W6-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl~iy)
          POS:	IV3FS+IV+PREP+PRON_1S
          VOC:	ti+quwl+li+iy
        GLOSS:	it/she/they+said/say/be said/(for example)+to/for+me

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W6
      OFFSETS:	27-29
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تفتيش
     IS_TRANS:	tfty$
        INDEX:	P7W7
      OFFSETS:	30-35
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AftaY_1]
   UNSPLITVOC:	(tiftiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+ft+iy+$
        GLOSS:	you+decreed+you+not

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P7W8
      OFFSETS:	36-41
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W9
      OFFSETS:	42-44
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حتلقي
     IS_TRANS:	Htlqy
        INDEX:	P7W10
      OFFSETS:	45-50
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqay_1]
   UNSPLITVOC:	(Hatilaqiy)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+laqiy
        GLOSS:	will+it/they/she+found/find/meet/encounter

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P7W11
      OFFSETS:	51-56
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+our

 INPUT STRING:	وحاجات
     IS_TRANS:	wHAjAt
        INDEX:	P7W12
      OFFSETS:	57-63
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(wiHAjAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+HAj+At
        GLOSS:	and+need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P7W13
      OFFSETS:	64-67
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P7W14
      OFFSETS:	68-70
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rd)
          POS:	FOREIGN
          VOC:	rd
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P7W15
      OFFSETS:	71-74
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P7W16
      OFFSETS:	75-78
       TOKENS:	P7W24-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwq)
          POS:	NOUN
          VOC:	fuwq
        GLOSS:	above/over/top/upper part

