 INPUT STRING:	ما
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وحشتيني
     IS_TRANS:	wH$tyny
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHa$_1]
   UNSPLITVOC:	(waHa$tiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	waHa$+tiy+niy
        GLOSS:	miss+you+me

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W2
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اسمك
     IS_TRANS:	Asmk
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Aisom+ak
        GLOSS:	name/names+your

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	اسمي
     IS_TRANS:	Asmy
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Aisom+iy
        GLOSS:	name/names+my

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P6W3
      OFFSETS:	9-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W4
      OFFSETS:	14-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P6W5
      OFFSETS:	18-22
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	كذاب
     IS_TRANS:	k*Ab
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*~Ab_1]
   UNSPLITVOC:	(ka*~Ab)
          POS:	NOUN
          VOC:	ka*~Ab
        GLOSS:	liar

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W2
      OFFSETS:	4-5
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	فشل
     IS_TRANS:	f$l
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(fa$al)
          POS:	NOUN
          VOC:	fa$al
        GLOSS:	failure

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P9W2
      OFFSETS:	4-5
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W3
      OFFSETS:	6-8
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W2
      OFFSETS:	3-4
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	فشل
     IS_TRANS:	f$l
        INDEX:	P10W3
      OFFSETS:	5-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$al_1]
   UNSPLITVOC:	(fa$al)
          POS:	NOUN
          VOC:	fa$al
        GLOSS:	failure

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W4
      OFFSETS:	8-9
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P10W5
      OFFSETS:	10-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how/what degree

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W6
      OFFSETS:	14-15
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	اعرفش
     IS_TRANS:	AErf$
        INDEX:	P11W2
      OFFSETS:	3-8
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf$)
          POS:	IV1S+IV+NEG_PART
          VOC:	Aa+Eoraf+$
        GLOSS:	I+know+not

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P11W3
      OFFSETS:	9-10
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	البتقولي
     IS_TRANS:	Albtqwly
        INDEX:	P12W2
      OFFSETS:	5-13
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Albtqwly)
          POS:	TYPO
          VOC:	Albtqwly
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P12W3
      OFFSETS:	14-15
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفني
     IS_TRANS:	EArfny
        INDEX:	P13W3
      OFFSETS:	7-13
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArifniy)
          POS:	ADJ.VN+PRON_1S
          VOC:	EArif+niy
        GLOSS:	knowing/having knowledge of+I

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W5
      OFFSETS:	18-20
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P13W6
      OFFSETS:	21-24
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عبيطة
     IS_TRANS:	EbyTp
        INDEX:	P14W2
      OFFSETS:	5-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabiyT_1]
   UNSPLITVOC:	(EabiyTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EabiyT+ap
        GLOSS:	fool/fools/prematurely dead/fresh+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قرفان
     IS_TRANS:	qrfAn
        INDEX:	P15W2
      OFFSETS:	4-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarofAn_1]
   UNSPLITVOC:	(qarofAn)
          POS:	ADJ
          VOC:	qarofAn
        GLOSS:	disgusted

 INPUT STRING:	وعامل
     IS_TRANS:	wEAml
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(wiEAmil)
          POS:	CONJ+ADJ
          VOC:	wi+EAmil
        GLOSS:	and+active/operating/working

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P16W3
      OFFSETS:	10-11
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	بأفكر
     IS_TRANS:	b>fkr
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(bAafak~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+fak~ar
        GLOSS:	[present-tense]+I+think/consider/ponder

 INPUT STRING:	أنام
     IS_TRANS:	>nAm
        INDEX:	P18W2
      OFFSETS:	6-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(AanAm)
          POS:	IV1S+IV
          VOC:	Aa+nAm
        GLOSS:	I+sleep/lie down

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P19W2
      OFFSETS:	4-6
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بأنامش
     IS_TRANS:	b>nAm$
        INDEX:	P19W3
      OFFSETS:	7-13
       TOKENS:	P19W3-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(bAanAm$)
          POS:	PROG_PART+IV1S+IV+NEG_PART
          VOC:	bi+Aa+nAm+$
        GLOSS:	[present-tense]+I+sleep/lie down+not

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P19W4
      OFFSETS:	14-17
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	بأنام
     IS_TRANS:	b>nAm
        INDEX:	P19W5
      OFFSETS:	18-23
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(bAanAm)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+nAm
        GLOSS:	[present-tense]+I+sleep/lie down

 INPUT STRING:	بأبقى
     IS_TRANS:	b>bqY
        INDEX:	P19W6
      OFFSETS:	24-29
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(bAaboqaY)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+boqaY
        GLOSS:	[present-tense]+I+become/begin/start/be/begin a new day

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P19W7
      OFFSETS:	30-32
       TOKENS:	P19W11-P19W11
