 INPUT STRING:	باباسي
          VOC:	fwAty
        GLOSS:	nogloss

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	بايس
     IS_TRANS:	bAys
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAys)
          POS:	FOREIGN
          VOC:	bAys
        GLOSS:	nogloss

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P3W3
      OFFSETS:	8-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how/what degree

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P3W4
      OFFSETS:	13-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

 INPUT STRING:	عيانة
     IS_TRANS:	EyAnp
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~An_1]
   UNSPLITVOC:	(Eay~Anap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eay~An+ap
        GLOSS:	sick/tired+[fem.sg.]

 INPUT STRING:	ياما
     IS_TRANS:	yAmA
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Am~A_1]
   UNSPLITVOC:	(yA_Am~A)
          POS:	VOC_PART+NOUN
          VOC:	yA+Am~A
        GLOSS:	O/oh+mother/mom

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W3
      OFFSETS:	11-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P4W4
      OFFSETS:	14-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W5
      OFFSETS:	18-20
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_9]
   UNSPLITVOC:	(mA)
          POS:	VERB
          VOC:	mA
        GLOSS:	is not

 INPUT STRING:	فيش
     IS_TRANS:	fy$
        INDEX:	P4W6
      OFFSETS:	21-24
       TOKENS:	P4W7-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy$)
          POS:	PREP+PRON_3MS+NEG_PART
          VOC:	fiy+uh+$
        GLOSS:	in+it/him+not

 INPUT STRING:	فواتي
     IS_TRANS:	fwAty
        INDEX:	P4W7
      OFFSETS:	25-30
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwAty)
          POS:	FOREIGN
          VOC:	fwAty
        GLOSS:	nogloss

 INPUT STRING:	اوف
     IS_TRANS:	Awf
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwf_1]
   UNSPLITVOC:	(>uwf)
          POS:	INTERJ
          VOC:	>uwf
        GLOSS:	disgusting/feeling bored

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

