 INPUT STRING:	أريك
 INPUT STRING:	عشمنا
     IS_TRANS:	E$mnA
        INDEX:	P5W8
      OFFSETS:	26-31
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ea$am_1]
   UNSPLITVOC:	(Ea$amnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Ea$am+nA
        GLOSS:	dry/hope+our

 INPUT STRING:	فيك
     IS_TRANS:	fyk
        INDEX:	P5W9
      OFFSETS:	32-35
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyok)
          POS:	PREP+PRON_2MS
          VOC:	fiy+ak
        GLOSS:	in+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W10
      OFFSETS:	35-36
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P5W11
      OFFSETS:	37-40
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	إخبارنا
     IS_TRANS:	<xbArnA
        INDEX:	P5W12
      OFFSETS:	41-48
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobArnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>axobAr+nA
        GLOSS:	news/report/reports+our

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W13
      OFFSETS:	49-51
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	العيله
     IS_TRANS:	AlEylh
        INDEX:	P5W14
      OFFSETS:	52-58
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiylap_1]
   UNSPLITVOC:	(AlEiylap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eiyl+ap
        GLOSS:	the+family/household/families/households+[fem.sg.]

 INPUT STRING:	مفروض
     IS_TRANS:	mfrwD
        INDEX:	P5W15
      OFFSETS:	59-64
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(maforuwD)
          POS:	ADJ
          VOC:	maforuwD
        GLOSS:	imposed/prescribed

 INPUT STRING:	هترجع
     IS_TRANS:	htrjE
        INDEX:	P5W16
      OFFSETS:	65-70
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HatirojaE)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+rojaE
        GLOSS:	will+it/they/she+come back/go back/return back/return

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W17
      OFFSETS:	71-73
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الرحلة
     IS_TRANS:	AlrHlp
        INDEX:	P5W18
      OFFSETS:	74-80
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(AlriHolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riHol+ap
        GLOSS:	the+career/journey/careers/journeys/trip/voyage/trips/voyages+[fem.sg.]

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P5W19
      OFFSETS:	81-89
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	بالليل
     IS_TRANS:	bAllyl
        INDEX:	P5W20
      OFFSETS:	90-96
       TOKENS:	P5W24-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layl_1]
   UNSPLITVOC:	(biAllayl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+layl
        GLOSS:	with/by+the+night/nighttime/at night/by night

 INPUT STRING:	يرجعوا
     IS_TRANS:	yrjEwA
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(yirojaEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+rojaE+uwA
        GLOSS:	they+come back/go back/return back/return+[pl.]

 INPUT STRING:	بالسلامة
     IS_TRANS:	bAlslAmp
        INDEX:	P6W2
      OFFSETS:	7-15
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(biAlsalAmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+salAm+ap
        GLOSS:	with/by+the+security/safety/integrity+[fem.sg.]

 INPUT STRING:	أنشاء
     IS_TRANS:	>n$A'
        INDEX:	P6W3
      OFFSETS:	16-21
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(<in$A')
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	<in+$A'+(null)
        GLOSS:	that/if+wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W4
      OFFSETS:	22-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be/was/were+[pl.]

 INPUT STRING:	قضوا
     IS_TRANS:	qDwA
        INDEX:	P7W3
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaDaY_1]
   UNSPLITVOC:	(qaDuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qaD+uwA
        GLOSS:	execute/perform/decree/pass/spend (time)+they [verb]

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P7W4
      OFFSETS:	17-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P7W5
      OFFSETS:	21-25
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P8W2
      OFFSETS:	4-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	برده
     IS_TRANS:	brdh
        INDEX:	P8W3
      OFFSETS:	8-12
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P8W4
      OFFSETS:	13-17
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	باصلى
     IS_TRANS:	bASlY
        INDEX:	P8W5
      OFFSETS:	18-23
       TOKENS:	P8W5-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(bi>aSoliy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	bi+>aSol+iy
        GLOSS:	with/by+origin/source/root/origins/sources/principles/originally/primarily+my

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P8W6
      OFFSETS:	24-27
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(whw)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he/it

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P8W7
      OFFSETS:	28-31
       TOKENS:	P8W10-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	للله
     IS_TRANS:	lllh
        INDEX:	P8W8
      OFFSETS:	32-36
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lllh)
          POS:	PREP+TYPO
          VOC:	li+llh
        GLOSS:	to/for+nogloss

 INPUT STRING:	عقبال
     IS_TRANS:	EqbAl
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EuqbAl_1]
   UNSPLITVOC:	(EuqbAl)
          POS:	NOUN
          VOC:	EuqbAl
        GLOSS:	following/consequence

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P9W4
      OFFSETS:	14-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	تقدر
     IS_TRANS:	tqdr
        INDEX:	P9W5
      OFFSETS:	19-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodar)
          POS:	IV2MS+IV
          VOC:	ti+qodar
        GLOSS:	you+be able/be able to/be capable of/no capacity

 INPUT STRING:	تروح
     IS_TRANS:	trwH
        INDEX:	P9W6
      OFFSETS:	24-28
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(turuwH)
          POS:	IV2MS+IV
          VOC:	tu+ruwH
        GLOSS:	you+begin/go

 INPUT STRING:	تتفسح
     IS_TRANS:	ttfsH
        INDEX:	P9W7
      OFFSETS:	29-34
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofas~aH_1]
   UNSPLITVOC:	(titofas~aH)
          POS:	IV2MS+IV
          VOC:	ti+tofas~aH
        GLOSS:	you+stroll around

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN
          VOC:	Al+wAHid
        GLOSS:	the+ones

 INPUT STRING:	حاسس
     IS_TRANS:	HAss
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAsis)
          POS:	ADJ.VN
          VOC:	HAsis
        GLOSS:	feeling

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P10W3
      OFFSETS:	12-15
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	مخنوق
     IS_TRANS:	mxnwq
        INDEX:	P10W4
      OFFSETS:	16-21
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxonuwq_1]
   UNSPLITVOC:	(maxonuwq)
          POS:	ADJ
          VOC:	maxonuwq
        GLOSS:	strangled/choked/throttled/suppressed

 INPUT STRING:	ونفسه
     IS_TRANS:	wnfsh
        INDEX:	P10W5
      OFFSETS:	22-27
       TOKENS:	P10W6-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(winifosh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+nifos+uh
        GLOSS:	and+appetite+his/its

 INPUT STRING:	يغير
     IS_TRANS:	ygyr
        INDEX:	P10W6
      OFFSETS:	28-32
       TOKENS:	P10W9-P10W9
