 INPUT STRING:	يوهه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwl~ak)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	Ha+Aa+quwl~+ak
        GLOSS:	will+I+said/say/be said/(for example)+you

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P4W5
      OFFSETS:	19-22
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAm_2]
   UNSPLITVOC:	(kAm)
          POS:	REL_PRON
          VOC:	kAm
        GLOSS:	much/how many/what

 INPUT STRING:	مره
     IS_TRANS:	mrh
        INDEX:	P4W6
      OFFSETS:	23-26
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(>anA)
          POS:	PRON_1S
          VOC:	>anA
        GLOSS:	I

 INPUT STRING:	غلطان
     IS_TRANS:	glTAn
        INDEX:	P5W2
      OFFSETS:	4-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTAn_1]
   UNSPLITVOC:	(galoTAn)
          POS:	ADJ
          VOC:	galoTAn
        GLOSS:	wrong/erring

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P5W3
      OFFSETS:	10-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	PRON_1S
          VOC:	<in~iy
        GLOSS:	I

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aitokal~im_]
   UNSPLITVOC:	(bAtokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk/speak

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P5W5
      OFFSETS:	20-25
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	something with/at/with+your

 INPUT STRING:	بتسميني
     IS_TRANS:	btsmyny
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sam~aY_1]
   UNSPLITVOC:	(bitsam~iyniy)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1S
          VOC:	bi+ti+sam~iy+niy
        GLOSS:	[present.tense]+she+name+me

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P6W2
      OFFSETS:	8-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	مستفزه
     IS_TRANS:	mstfzh
        INDEX:	P6W3
      OFFSETS:	14-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mustafiz~_1]
   UNSPLITVOC:	(mustafiz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mustafiz~+ap
        GLOSS:	challenging/provocative/Provoking/hurting+[fem.sg.]

 INPUT STRING:	اقولك
     IS_TRANS:	Aqwlk
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwlliak)
          POS:	IV1S+IV+PREP+PRON_2MS
          VOC:	Aa+quwl+li+ak
        GLOSS:	I+say/said/be said+for/to+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P7W2
      OFFSETS:	6-9
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	why/where/when/whatever/what/which

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P7W3
      OFFSETS:	10-14
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	محسني
     IS_TRANS:	mHsny
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mHsny)
          POS:	TYPO
          VOC:	mHsny
        GLOSS:	nogloss

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	بشتمك
     IS_TRANS:	b$tmk
        INDEX:	P8W3
      OFFSETS:	10-15
       TOKENS:	P8W4-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(bAa$otimak)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	bi+Aa+$otim+ak
        GLOSS:	[present-tense]+I+revile/curse+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(waAll~`h)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~`h
        GLOSS:	and+Allah/God

 INPUT STRING:	تشتمني
     IS_TRANS:	t$tmny
        INDEX:	P9W2
      OFFSETS:	6-12
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(ti$otimniy)
          POS:	IV2MS+IV+IVSUFF_DO:1S
          VOC:	ti+$otim+niy
        GLOSS:	you+revile/curse+me

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P9W3
      OFFSETS:	13-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAh_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	laugh

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(waAll~`h)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~`h
        GLOSS:	and+Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W2
      OFFSETS:	6-8
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$~_1]
   UNSPLITVOC:	(mi$~)
          POS:	NEG_PART
          VOC:	mi$~
        GLOSS:	not

 INPUT STRING:	بهزر
     IS_TRANS:	bhzr
        INDEX:	P11W3
      OFFSETS:	9-13
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haz~ar_1]
   UNSPLITVOC:	(bAahaz~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+haz~ar
        GLOSS:	[present-tense]+I+joke/make fun

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	never

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	NEG_PART
          VOC:	balA$
        GLOSS:	no/not/non-/except for/except/rhetorical question/do not/is

 INPUT STRING:	نتخانق
     IS_TRANS:	ntxAnq
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoxAniq_1]
   UNSPLITVOC:	(nitoxAniq)
          POS:	IV1P+IV
          VOC:	ni+toxAniq
        GLOSS:	we+quarrel

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Aly)
          POS:	TYPO
          VOC:	Aly
        GLOSS:	nogloss

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P14W2
      OFFSETS:	4-8
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iz~ay~_1]
   UNSPLITVOC:	(<iz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	<iz~ay~+ik
        GLOSS:	how are+you [fem.seg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P14W3
      OFFSETS:	9-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	جزمه
     IS_TRANS:	jzmh
        INDEX:	P14W4
      OFFSETS:	12-16
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazomap_1]
   UNSPLITVOC:	(jazomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jazom+ap
        GLOSS:	shoes/boots+[fem.sg.]

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	VERB
          VOC:	balA$
        GLOSS:	don't

 INPUT STRING:	جزمه
     IS_TRANS:	jzmh
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazomap_1]
   UNSPLITVOC:	(jazomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jazom+ap
        GLOSS:	shoes/boots+[fem.sg.]

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P15W3
      OFFSETS:	10-13
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then/so

 INPUT STRING:	عيب
     IS_TRANS:	Eyb
        INDEX:	P15W4
      OFFSETS:	14-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiyb_1]
   UNSPLITVOC:	(Eiyb)
          POS:	NOUN
          VOC:	Eiyb
        GLOSS:	weaknesses/faults/fault/shame

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	INTERJ
          VOC:	mA$iy
        GLOSS:	okey/ok

 INPUT STRING:	هاهاها
     IS_TRANS:	hAhAhA
        INDEX:	P16W2
      OFFSETS:	5-11
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAh_1]
   UNSPLITVOC:	(hAhAhA)
          POS:	INTERJ
          VOC:	hAhAhA
        GLOSS:	laugh

 INPUT STRING:	نامت
     IS_TRANS:	nAmt
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	nAm+it
        GLOSS:	sleep/lie down+it/they/she

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P17W2
      OFFSETS:	5-6
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P18W2
      OFFSETS:	3-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P19W2
      OFFSETS:	5-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al)
          POS:	TYPO
          VOC:	Al
        GLOSS:	nogloss

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P19W3
      OFFSETS:	8-11
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W4
      OFFSETS:	12-14
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	يارا
     IS_TRANS:	yArA
        INDEX:	P19W5
      OFFSETS:	15-19
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArA_1]
   UNSPLITVOC:	(yArA)
          POS:	NOUN_PROP
          VOC:	yArA
        GLOSS:	Yara

 INPUT STRING:	عمله
     IS_TRANS:	Emlh
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamil_1]
   UNSPLITVOC:	(Eamlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eaml+ap
        GLOSS:	doing+[fem.seg.]

 INPUT STRING:	ا
     IS_TRANS:	A
        INDEX:	P20W2
      OFFSETS:	5-6
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(A)
          POS:	NO_FUNC
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	كويسه
     IS_TRANS:	kwysh
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W2
      OFFSETS:	6-7
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P21W3
      OFFSETS:	8-11
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inota_1]
   UNSPLITVOC:	(<inota)
          POS:	PRON_2MS
          VOC:	<inota
        GLOSS:	you/you [masc.sg.]

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	الح
     IS_TRANS:	AlH
        INDEX:	P22W2
      OFFSETS:	5-8
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlH)
          POS:	TYPO
          VOC:	AlH
        GLOSS:	nogloss

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+you+function/make/act/do

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	why/where/when/whatever/what/which

 INPUT STRING:	اشترت
     IS_TRANS:	A$trt
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(Ai$otarit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ai$otar+it
        GLOSS:	buy+it/they/she

 INPUT STRING:	laptop
     IS_TRANS:	laptop
        INDEX:	P24W2
      OFFSETS:	6-12
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(laptop)
          POS:	TRANSLIT_ERR
          VOC:	laptop
        GLOSS:	laptop

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P24W3
      OFFSETS:	13-17
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	في
