 INPUT STRING:	سوري
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bysd)
          POS:	FOREIGN
          VOC:	bysd
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P1W8
      OFFSETS:	32-35
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W9
      OFFSETS:	36-38
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تزعليش
     IS_TRANS:	tzEly$
        INDEX:	P1W10
      OFFSETS:	39-45
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(tizoEaliy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	ti+zoEal+iy+$
        GLOSS:	you+be angry+you+not

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1W11
      OFFSETS:	46-47
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عت
     IS_TRANS:	Et
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Et)
          POS:	FOREIGN
          VOC:	Et
        GLOSS:	nogloss

 INPUT STRING:	أوكيه
     IS_TRANS:	>wkyh
        INDEX:	P2W2
      OFFSETS:	3-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Auwk~iyh_1]
   UNSPLITVOC:	(Auwk~iyh)
          POS:	INTERJ
          VOC:	Auwk~iyh
        GLOSS:	ok

 INPUT STRING:	بابي
     IS_TRANS:	bAby
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAby)
          POS:	FOREIGN
          VOC:	bAby
        GLOSS:	nogloss

 INPUT STRING:	موهة
     IS_TRANS:	mwhp
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwhap_1]
   UNSPLITVOC:	(muwhap)
          POS:	INTERJ
          VOC:	muwhap
        GLOSS:	kiss

