 INPUT STRING:	صحيه
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P5W4
      OFFSETS:	16-24
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P6W2
      OFFSETS:	3-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P6W3
      OFFSETS:	9-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W4
      OFFSETS:	13-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P6W5
      OFFSETS:	15-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yd)
          POS:	TYPO
          VOC:	yd
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P6W6
      OFFSETS:	18-21
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	هتعمل
     IS_TRANS:	htEml
        INDEX:	P6W7
      OFFSETS:	22-27
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HatiEomil)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+Eomil
        GLOSS:	will+you+function/make/act/do

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P6W8
      OFFSETS:	28-31
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P7W3
      OFFSETS:	8-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W4
      OFFSETS:	13-14
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W5
      OFFSETS:	15-16
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	المفرود
     IS_TRANS:	Almfrwd
        INDEX:	P7W6
      OFFSETS:	17-24
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwd_1]
   UNSPLITVOC:	(Almaforuwd)
          POS:	DET+NOUN
          VOC:	Al+maforuwd
        GLOSS:	the+should,must

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P7W7
      OFFSETS:	25-28
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P7W8
      OFFSETS:	29-33
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	كلب
     IS_TRANS:	klb
        INDEX:	P7W9
      OFFSETS:	34-37
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(klb)
          POS:	FOREIGN
          VOC:	klb
        GLOSS:	nogloss

 INPUT STRING:	35
     IS_TRANS:	35
        INDEX:	P7W10
      OFFSETS:	38-40
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[35_1]
   UNSPLITVOC:	(35)
          POS:	NOUN_NUM
          VOC:	35
        GLOSS:	35

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W11
      OFFSETS:	41-43
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	فكست
     IS_TRANS:	fkst
        INDEX:	P7W12
      OFFSETS:	44-48
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fakas_1]
   UNSPLITVOC:	(fakasit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fakas+it
        GLOSS:	ignored+she/it

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	ماليش
     IS_TRANS:	mAly$
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAly$)
          POS:	NO_FUNC
          VOC:	mAly$
        GLOSS:	nogloss

 INPUT STRING:	مزاج
     IS_TRANS:	mzAj
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAj)
          POS:	NOUN
          VOC:	mazAj
        GLOSS:	mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P9W3
      OFFSETS:	11-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P9W4
      OFFSETS:	16-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P9W5
      OFFSETS:	19-24
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W6
      OFFSETS:	25-29
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P9W7
      OFFSETS:	30-33
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	هروح
     IS_TRANS:	hrwH
        INDEX:	P9W8
      OFFSETS:	34-38
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HaAaruwH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+ruwH
        GLOSS:	will+I+begin/go

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P9W9
      OFFSETS:	39-44
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	مم
     IS_TRANS:	mm
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mom_1]
   UNSPLITVOC:	(mom)
          POS:	INTERJ
          VOC:	mom
        GLOSS:	hush

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	needing/liking/requiring/wanting/desiring

 INPUT STRING:	اشوفك
     IS_TRANS:	A$wfk
        INDEX:	P11W2
      OFFSETS:	5-10
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+$uwf+ak
        GLOSS:	I+look+you

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P12W2
      OFFSETS:	4-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAyom_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P12W3
      OFFSETS:	10-15
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+you+said/say/be said/(for example)

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W4
      OFFSETS:	16-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	فاضيه
     IS_TRANS:	fADyh
        INDEX:	P13W2
      OFFSETS:	5-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(fADoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fADoy+ap
        GLOSS:	empty/unoccupied/free+[fem.sg.]

 INPUT STRING:	امته
     IS_TRANS:	Amth
        INDEX:	P13W3
      OFFSETS:	11-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imtaY_1]
   UNSPLITVOC:	(<imtaY)
          POS:	REL_ADV
          VOC:	<imtaY
        GLOSS:	when

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P13W4
      OFFSETS:	16-19
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P13W5
      OFFSETS:	20-21
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	اشوفك
     IS_TRANS:	A$wfk
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+$uwf+ak
        GLOSS:	I+look+you

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P14W2
      OFFSETS:	6-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nahArod+ap
        GLOSS:	the+this day/morning/day/today+[fem.sg.]

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P14W3
      OFFSETS:	15-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	naharda
     IS_TRANS:	naharda
        INDEX:	P15W2
      OFFSETS:	3-10
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(naharda)
          POS:	TRANSLIT_ERR
          VOC:	naharda
        GLOSS:	naharda

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W3
      OFFSETS:	11-14
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	خارجه
     IS_TRANS:	xArjh
        INDEX:	P15W4
      OFFSETS:	15-20
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(xArojap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAroj+ap
        GLOSS:	outside/outer part/leaving/departing/exiting+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	yes

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P16W3
      OFFSETS:	9-13
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	امته
     IS_TRANS:	Amth
        INDEX:	P16W4
      OFFSETS:	14-18
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imtaY_1]
   UNSPLITVOC:	(<imtaY)
          POS:	REL_ADV
          VOC:	<imtaY
        GLOSS:	when

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P16W5
      OFFSETS:	19-20
