 INPUT STRING:	الوو
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisomap_1]
   UNSPLITVOC:	(nisomap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	nisom+ap
        GLOSS:	Nesma+[fem.sg]

 INPUT STRING:	صحبتي
     IS_TRANS:	SHbty
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SaHobitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	SaHob+ap+iy
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+[fem.sg.]+my

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كلمتها
     IS_TRANS:	klmthA
        INDEX:	P6W2
      OFFSETS:	5-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	kal~im+t+hA
        GLOSS:	talk/speak/talk to+I+it/them/her

 INPUT STRING:	بذوق
     IS_TRANS:	b*wq
        INDEX:	P6W3
      OFFSETS:	12-16
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*awq_1]
   UNSPLITVOC:	(bi*awq)
          POS:	PREP+NOUN
          VOC:	bi+*awq
        GLOSS:	with/by+taste/sense/sensitivity/tastes/sensitivities

 INPUT STRING:	ورغم
     IS_TRANS:	wrgm
        INDEX:	P6W4
      OFFSETS:	17-21
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(wiragom)
          POS:	CONJ+NOUN
          VOC:	wi+ragom
        GLOSS:	and+in spite of/despite

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P6W5
      OFFSETS:	22-25
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	زعلت
     IS_TRANS:	zElt
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(ziEolit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ziEol+it
        GLOSS:	be angry+it/they/she

 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	said/say/be said/(for example)+it/they/she

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P7W2
      OFFSETS:	5-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P8W2
      OFFSETS:	3-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	اده
     IS_TRANS:	Adh
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Adh)
          POS:	TYPO
          VOC:	Adh
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	said/say/be said/(for example)+it/they/she

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الول
     IS_TRANS:	Alwl
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alwl)
          POS:	FOREIGN
          VOC:	Alwl
        GLOSS:	nogloss

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P12W3
      OFFSETS:	9-13
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	الجهلاء
     IS_TRANS:	AljhlA'
        INDEX:	P13W1
      OFFSETS:	0-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AljAhil_1]
   UNSPLITVOC:	(AljuhalA')
          POS:	DET+ADJ
          VOC:	Al+juhalA'
        GLOSS:	the+ignorant/foolish

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P13W2
      OFFSETS:	8-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P13W3
      OFFSETS:	11-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P13W4
      OFFSETS:	14-18
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position/places/locations/positions

 INPUT STRING:	مهما
     IS_TRANS:	mhmA
        INDEX:	P13W5
      OFFSETS:	19-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahomA_1]
   UNSPLITVOC:	(mahomA)
          POS:	REL_PRON
          VOC:	mahomA
        GLOSS:	whatever

 INPUT STRING:	اتعلموا
     IS_TRANS:	AtElmwA
        INDEX:	P13W6
      OFFSETS:	24-31
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(AitoEal~imuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	AitoEal~im+uwA
        GLOSS:	learn+they

 INPUT STRING:	جهلاء
     IS_TRANS:	jhlA'
        INDEX:	P13W7
      OFFSETS:	32-37
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAhil_1]
   UNSPLITVOC:	(juhalA')
          POS:	ADJ
          VOC:	juhalA'
        GLOSS:	ignorant/foolish

 INPUT STRING:	انسانيا
     IS_TRANS:	AnsAnyA
        INDEX:	P13W8
      OFFSETS:	38-45
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inosAniy~_1]
   UNSPLITVOC:	(<inosAniy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	<inosAniy~+AF
        GLOSS:	human/humane/humanitarian+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	انهي
     IS_TRANS:	Anhy
        INDEX:	P14W2
      OFFSETS:	4-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anohiy_1]
   UNSPLITVOC:	(>anohiy)
          POS:	INTERROG_PRON
          VOC:	>anohiy
        GLOSS:	which one

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	بتعتك
     IS_TRANS:	btEtk
        INDEX:	P14W4
      OFFSETS:	14-19
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bitaE_1]
   UNSPLITVOC:	(bitaEtik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	bitaE+ap+ik
        GLOSS:	own+[fem.sg.]+you

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	كاتبه
     IS_TRANS:	kAtbh
        INDEX:	P15W2
      OFFSETS:	4-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAtib_1]
   UNSPLITVOC:	(kAtobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAtob+ap
        GLOSS:	writing+[fem.sg.]

 INPUT STRING:	خاجة
     IS_TRANS:	xAjp
        INDEX:	P15W3
      OFFSETS:	10-14
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(xAjp)
          POS:	TYPO
          VOC:	xAjp
        GLOSS:	nogloss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P15W4
      OFFSETS:	15-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P15W5
      OFFSETS:	18-21
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiy_1]
   UNSPLITVOC:	(Ealiy)
          POS:	NOUN_PROP
          VOC:	Ealiy
        GLOSS:	Ali

 INPUT STRING:	الحجار
     IS_TRANS:	AlHjAr
        INDEX:	P15W6
      OFFSETS:	22-28
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haj~Ar_1]
   UNSPLITVOC:	(AlHaj~Ar)
          POS:	DET+NOUN_PROP
          VOC:	Al+Haj~Ar
        GLOSS:	the+Hajar

 INPUT STRING:	اوله
     IS_TRANS:	Awlh
        INDEX:	P15W7
      OFFSETS:	29-33
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Awlh)
          POS:	TYPO
          VOC:	Awlh
        GLOSS:	nogloss

 INPUT STRING:	لدرجاتي
     IS_TRANS:	ldrjAty
        INDEX:	P15W8
      OFFSETS:	34-41
       TOKENS:	P15W8-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lidarajAtiy)
          POS:	PREP+NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	li+daraj+At+iy
        GLOSS:	for/to+degree/class/rank/grade/level/degrees/classes/ranks+[fem.pl.]+my

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	لقتها
     IS_TRANS:	lqthA
        INDEX:	P16W2
      OFFSETS:	3-8
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqithA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	laq+it+hA
        GLOSS:	find/be found/exist/ascertain/come upon/modal of probability/encounter/discover+I+it/them/her

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	سمعتي
     IS_TRANS:	smEty
        INDEX:	P17W2
      OFFSETS:	5-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiEtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	simiE+tiy
        GLOSS:	listen/hear+you

 INPUT STRING:	الاغنيه
     IS_TRANS:	AlAgnyh
        INDEX:	P17W3
      OFFSETS:	11-18
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ugoniyap_1]
   UNSPLITVOC:	(Al>ugoniyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>ugoniy+ap
        GLOSS:	the+song/melody/songs/melodies+[fem.sg.]

 INPUT STRING:	اسمعيها
     IS_TRANS:	AsmEyhA
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(AisomaEiyhA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3FS
          VOC:	AisomaE+iy+hA
        GLOSS:	listen/hear+you+it/them/her

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P18W2
      OFFSETS:	8-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al>aw~al_1]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ
          VOC:	Al+>aw~al
        GLOSS:	the+first/first-place/best/top/early/beginning/ancients/first of all

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فارقة
     IS_TRANS:	fArqp
        INDEX:	P19W2
      OFFSETS:	3-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAriq_1]
   UNSPLITVOC:	(fAroqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAroq+ap
        GLOSS:	distinctive/differentiating/discriminating+[fem.sg.]

 INPUT STRING:	الاغنية
     IS_TRANS:	AlAgnyp
        INDEX:	P19W3
      OFFSETS:	9-16
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
